dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.165182,7.948624,0.000200,0.019955,0.997727,49.886364,0.000664
0.020000,0.165240,7.948624,0.000258,0.002901,-0.852669,-92.519812,0.000516
0.020000,0.165356,7.948624,0.000374,0.005803,0.145107,49.888774,0.000218
0.020000,0.166756,7.948624,0.001774,0.070005,3.210088,153.249065,6.282957
0.020000,0.170181,7.948622,0.005199,0.171251,5.062295,92.610361,6.282361
0.020000,0.174463,7.948617,0.009480,0.214079,2.141379,-146.045824,6.281616
0.020000,0.179601,7.948607,0.014619,0.256911,2.141638,0.012964,6.280721
0.020000,0.185596,7.948589,0.020613,0.299743,2.141588,-0.002473,6.279675
0.020000,0.192448,7.948561,0.027466,0.342607,2.143191,0.080142,6.278479
0.020000,0.200157,7.948519,0.035175,0.385465,2.142886,-0.015268,6.277131
0.020000,0.208724,7.948461,0.043742,0.428339,2.143706,0.041024,6.275631
0.020000,0.218148,7.948382,0.053166,0.471227,2.144430,0.036175,6.273978
0.020000,0.228430,7.948278,0.063449,0.514142,2.145742,0.065591,6.272172
0.020000,0.239571,7.948144,0.074590,0.557062,2.146012,0.013496,6.270210
0.020000,0.251570,7.947976,0.086590,0.600006,2.147157,0.057275,6.268094
0.020000,0.264428,7.947767,0.099450,0.642970,2.148199,0.052105,6.265820
0.020000,0.278144,7.947513,0.113169,0.685949,2.148959,0.037972,6.263389
0.020000,0.292720,7.947205,0.127748,0.728969,2.151038,0.103956,6.260799
0.020000,0.308156,7.946838,0.143188,0.771997,2.151384,0.017302,6.258048
0.020000,0.324451,7.946405,0.159489,0.815055,2.152900,0.075791,6.255136
0.020000,0.341606,7.945897,0.176652,0.858138,2.154124,0.061240,6.252061
0.020000,0.359622,7.945307,0.194677,0.901258,2.156012,0.094376,6.248822
0.020000,0.378498,7.944626,0.213565,0.944394,2.156831,0.040962,6.245417
0.020000,0.398234,7.943845,0.233316,0.987571,2.158822,0.099559,6.241845
0.020000,0.418830,7.942954,0.253932,1.030781,2.160481,0.082930,6.238103
0.020000,0.440286,7.941944,0.275412,1.074017,2.161819,0.066882,6.234191
0.020000,0.462603,7.940804,0.297758,1.117286,2.163467,0.082406,6.230106
0.020000,0.485780,7.939524,0.320970,1.160591,2.165256,0.089472,6.225847
0.020000,0.509816,7.938091,0.345049,1.203937,2.167282,0.101287,6.221412
0.020000,0.534711,7.936493,0.369995,1.247316,2.168971,0.084479,6.216799
0.020000,0.560464,7.934719,0.395809,1.290723,2.170340,0.068439,6.212007
0.020000,0.587076,7.932755,0.422493,1.334185,2.173112,0.138604,6.207032
0.020000,0.614544,7.930588,0.450047,1.377672,2.174318,0.060258,6.201874
0.020000,0.642867,7.928204,0.478470,1.421197,2.176268,0.097549,6.196530
0.020000,0.672046,7.925588,0.507766,1.464771,2.178703,0.121734,6.190999
0.020000,0.702077,7.922725,0.537933,1.508369,2.179893,0.059509,6.185278
0.020000,0.732960,7.919599,0.568974,1.552017,2.182409,0.125790,6.179366
0.020000,0.764692,7.916195,0.600888,1.595701,2.184177,0.088384,6.173260
0.020000,0.797271,7.912496,0.633676,1.639423,2.186130,0.097675,6.166958
0.020000,0.830694,7.908483,0.667340,1.683174,2.187540,0.070472,6.160460
0.020000,0.864959,7.904140,0.701879,1.726972,2.189866,0.116308,6.153762
0.020000,0.900063,7.899448,0.737295,1.770800,2.191421,0.077730,6.146863
0.020000,0.936002,7.894388,0.773588,1.814668,2.193416,0.099763,6.139761
0.020000,0.972772,7.888941,0.810760,1.858558,2.194494,0.053898,6.132454
0.020000,1.010369,7.883086,0.848809,1.902489,2.196550,0.102819,6.124942
0.020000,1.048787,7.876804,0.887738,1.946442,2.197657,0.055334,6.117222
0.020000,1.088022,7.870072,0.927547,1.990421,2.198955,0.064928,6.109293
0.020000,1.128068,7.862869,0.968235,2.034433,2.200604,0.082455,6.101154
0.020000,1.168919,7.855173,1.009804,2.078455,2.201082,0.023894,6.092804
0.020000,1.210567,7.846962,1.052254,2.122499,2.202196,0.055685,6.084242
0.020000,1.253006,7.838212,1.095586,2.166556,2.202863,0.033365,6.075467
0.020000,1.296226,7.828900,1.139798,2.210619,2.203155,0.014568,6.066479
0.020000,1.340220,7.819002,1.184892,2.254695,2.203783,0.031420,6.057278
0.020000,1.384979,7.808493,1.230867,2.298765,2.203490,-0.014632,6.047863
0.020000,1.430491,7.797349,1.277724,2.342829,2.203226,-0.013216,6.038235
0.020000,1.476746,7.785545,1.325461,2.386889,2.202975,-0.012543,6.028394
0.020000,1.523733,7.773055,1.374080,2.430924,2.201776,-0.059975,6.018341
0.020000,1.571439,7.759853,1.423579,2.474941,2.200833,-0.047153,6.008078
0.020000,1.619850,7.745914,1.473957,2.518928,2.199354,-0.073935,5.997606
0.020000,1.668954,7.731212,1.525215,2.562876,2.197391,-0.098165,5.986926
0.020000,1.718735,7.715720,1.577350,2.606780,2.195215,-0.108776,5.976041
0.020000,1.769177,7.699413,1.630363,2.650632,2.192568,-0.132344,5.964955
0.020000,1.820264,7.682263,1.684252,2.694423,2.189570,-0.149893,5.953669
0.020000,1.871978,7.664246,1.739014,2.738145,2.186075,-0.174747,5.942188
0.020000,1.924301,7.645334,1.794650,2.781790,2.182247,-0.191430,5.930515
0.020000,1.977213,7.625502,1.851157,2.825347,2.177864,-0.219162,5.918654
0.020000,2.030493,7.604804,1.908316,2.857942,1.629781,-27.404115,5.906658
0.020000,2.083720,7.583387,1.965690,2.868703,0.538043,-54.586941,5.894621
0.020000,2.136681,7.561333,2.023060,2.868496,-0.010388,-27.421510,5.882594
0.020000,2.189368,7.538647,2.080424,2.868186,-0.015456,-0.253400,5.870584
0.020000,2.241772,7.515333,2.137779,2.867777,-0.020482,-0.251305,5.858594
0.020000,2.293883,7.491397,2.195125,2.867268,-0.025453,-0.248549,5.846631
0.020000,2.345694,7.466846,2.252458,2.866661,-0.030356,-0.245147,5.834699
0.020000,2.397195,7.441685,2.309777,2.865957,-0.035178,-0.241117,5.822803
0.020000,2.448380,7.415922,2.367080,2.865159,-0.039908,-0.236480,5.810948
0.020000,2.499241,7.389563,2.424366,2.864268,-0.044533,-0.231257,5.799138
0.020000,2.549770,7.362616,2.481631,2.863287,-0.049042,-0.225475,5.787379
0.020000,2.599961,7.335088,2.538876,2.862219,-0.053425,-0.219161,5.775675
0.020000,2.649807,7.306987,2.596097,2.861065,-0.057672,-0.212344,5.764029
0.020000,2.699302,7.278322,2.653294,2.859830,-0.061773,-0.205055,5.752447
0.020000,2.748440,7.249100,2.710464,2.858516,-0.065720,-0.197325,5.740933
0.020000,2.797216,7.219331,2.767606,2.857125,-0.069504,-0.189189,5.729490
0.020000,2.845624,7.189023,2.824720,2.855663,-0.073117,-0.180679,5.718122
0.020000,2.893660,7.158185,2.881802,2.854132,-0.076554,-0.171832,5.706832
0.020000,2.941319,7.126826,2.938853,2.852536,-0.079808,-0.162681,5.695624
0.020000,2.988598,7.094956,2.995870,2.850871,-0.083240,-0.171634,5.684502
0.020000,3.035492,7.062583,3.052853,2.849154,-0.085872,-0.131587,5.673468
0.020000,3.081999,7.029718,3.109801,2.847383,-0.088530,-0.132915,5.662524
0.020000,3.128116,6.996369,3.166712,2.845556,-0.091369,-0.141940,5.651675
0.020000,3.173839,6.962546,3.223586,2.843681,-0.093723,-0.117686,5.640921
0.020000,3.219167,6.928259,3.280421,2.841769,-0.095586,-0.093160,5.630265
0.020000,3.264098,6.893517,3.337217,2.839803,-0.098331,-0.137244,5.619711
0.020000,3.308630,6.858329,3.393974,2.837816,-0.099339,-0.050422,5.609258
0.020000,3.352763,6.822706,3.450689,2.835778,-0.101884,-0.127221,5.598910
0.020000,3.396494,6.786657,3.507364,2.833724,-0.102719,-0.041776,5.588667
0.020000,3.439824,6.750190,3.563996,2.831638,-0.104286,-0.078314,5.578531
0.020000,3.482752,6.713317,3.620587,2.829522,-0.105823,-0.076853,5.568503
0.020000,3.525278,6.676045,3.677135,2.827394,-0.106397,-0.028743,5.558585
0.020000,3.567402,6.638384,3.733640,2.825247,-0.107357,-0.047974,5.548777
0.020000,3.609125,6.600343,3.790101,2.823084,-0.108161,-0.040219,5.539080
0.020000,3.650448,6.561931,3.846520,2.820906,-0.108863,-0.035099,5.529495
0.020000,3.692278,6.522125,3.904263,2.887183,3.313823,171.134297,5.510532
0.020000,3.738461,6.475572,3.969838,3.278748,19.578261,813.221934,5.477460
0.020000,3.782398,6.428386,4.034313,3.223738,-2.750491,-1116.437622,5.447211
0.020000,3.824232,6.380776,4.097690,3.168867,-2.743558,0.346660,5.419776
0.020000,3.864118,6.332925,4.159986,3.114777,-2.704511,1.952350,5.395117
0.020000,3.902221,6.284984,4.221224,3.061903,-2.643696,3.040726,5.373170
0.020000,3.938704,6.237086,4.281434,3.010492,-2.570564,3.656606,5.353861
0.020000,3.973728,6.189342,4.340647,2.960649,-2.492123,3.922088,5.337108
0.020000,4.007449,6.141848,4.398894,2.912368,-2.414061,3.903071,5.322831
0.020000,4.040013,6.094688,4.456205,2.865554,-2.340696,3.668254,5.310956
0.020000,4.071562,6.047936,4.512606,2.820050,-2.275201,3.274757,5.301414
0.020000,4.102226,6.001660,4.568119,2.775653,-2.219837,2.768171,5.294150
0.020000,4.132129,5.955926,4.622762,2.732130,-2.176162,2.183773,5.289117
0.020000,4.161335,5.910870,4.676455,2.684684,-2.372276,-9.805705,5.286288
0.020000,4.189798,5.866794,4.728923,2.623396,-3.064419,-34.607132,5.285631
0.020000,4.217460,5.823997,4.779882,2.547918,-3.773884,-35.473240,5.287079
0.020000,4.244362,5.782598,4.829254,2.468594,-3.966236,-9.617604,5.290548
0.020000,4.270593,5.742620,4.877068,2.390744,-3.892468,3.688359,5.295963
0.020000,4.296230,5.704086,4.923352,2.314170,-3.828705,3.188173,5.303259
0.020000,4.321335,5.667013,4.968126,2.238710,-3.773000,2.785234,5.312377
0.020000,4.345963,5.631417,5.011411,2.164247,-3.723165,2.491766,5.323267
0.020000,4.370157,5.597313,5.053225,2.090710,-3.676824,2.317068,5.335881
0.020000,4.393950,5.564711,5.093586,2.018061,-3.632463,2.218007,5.350175
0.020000,4.417370,5.533618,5.132513,1.946317,-3.587193,2.263511,5.366100
0.020000,4.440436,5.504037,5.170023,1.875531,-3.539312,2.394041,5.383609
0.020000,4.463161,5.475967,5.206139,1.805803,-3.486388,2.646202,5.402647
0.020000,4.485554,5.449399,5.240885,1.737268,-3.426762,2.981301,5.423152
0.020000,4.507617,5.424321,5.274287,1.670105,-3.358142,3.431015,5.445056
0.020000,4.529352,5.400712,5.306377,1.604519,-3.279308,3.941728,5.468275
0.020000,4.550757,5.378545,5.337192,1.540748,-3.188557,4.537530,5.492719
0.020000,4.571831,5.357787,5.366773,1.479035,-3.085667,5.144520,5.518280
0.020000,4.592571,5.338396,5.395166,1.419635,-2.969991,5.783757,5.544841
0.020000,4.612976,5.320326,5.422422,1.362792,-2.842146,6.392253,5.572270
0.020000,4.633046,5.303525,5.448596,1.308723,-2.703427,6.935971,5.600425
0.020000,4.652784,5.287934,5.473748,1.257612,-2.555539,7.394387,5.629155
0.020000,4.672194,5.273495,5.497940,1.209591,-2.401053,7.724286,5.658301
0.020000,4.691283,5.260145,5.521235,1.164730,-2.243051,7.900105,5.687701
0.020000,4.710061,5.247821,5.543695,1.123034,-2.084802,7.912494,5.717192
0.020000,4.728536,5.236459,5.565384,1.084444,-1.929509,7.764618,5.746616
0.020000,4.746718,5.225999,5.586361,1.048828,-1.780808,7.435043,5.775820
0.020000,4.764619,5.216383,5.606681,1.015988,-1.641989,6.940983,5.804661
0.020000,4.782245,5.207554,5.626395,0.985700,-1.514401,6.379358,5.833009
