dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.165441,7.558624,0.000200,0.019955,0.997727,49.886364,0.000664
0.020000,0.165441,7.558624,0.000998,0.059864,1.995455,49.886364,0.000516
0.020000,0.165441,7.558624,0.002594,0.099773,1.995455,0.000000,0.000218
0.020000,0.166667,7.558624,0.004989,0.139682,1.995455,-0.000000,6.282957
0.020000,0.169860,7.558623,0.008181,0.179591,1.995455,-0.000000,6.282361
0.020000,0.173851,7.558618,0.012172,0.219500,1.995455,0.000000,6.281616
0.020000,0.178640,7.558608,0.016961,0.259409,1.995455,0.000000,6.280721
0.020000,0.184227,7.558591,0.022549,0.299318,1.995455,0.000000,6.279675
0.020000,0.190613,7.558565,0.028934,0.339227,1.995455,-0.000000,6.278479
0.020000,0.197796,7.558526,0.036118,0.379136,1.995455,0.000000,6.277131
0.020000,0.205778,7.558472,0.044100,0.419045,1.995455,-0.000000,6.275631
0.020000,0.214557,7.558399,0.052880,0.458955,1.995455,0.000000,6.273978
0.020000,0.224135,7.558302,0.062458,0.498864,1.995455,-0.000000,6.272172
0.020000,0.234511,7.558177,0.072834,0.538773,1.995455,0.000000,6.270210
0.020000,0.245684,7.558021,0.084009,0.578682,1.995455,-0.000000,6.268094
0.020000,0.257655,7.557826,0.095981,0.618591,1.995455,0.000000,6.265820
0.020000,0.270424,7.557589,0.108752,0.658500,1.995455,0.000000,6.263389
0.020000,0.283990,7.557303,0.122321,0.698409,1.995455,0.000000,6.260799
0.020000,0.298353,7.556961,0.136689,0.738318,1.995455,0.000000,6.258048
0.020000,0.313513,7.556558,0.151854,0.778227,1.995455,0.000000,6.255136
0.020000,0.329470,7.556086,0.167818,0.818136,1.995455,-0.000000,6.252061
0.020000,0.346223,7.555537,0.184580,0.858045,1.995455,-0.000000,6.248822
0.020000,0.363771,7.554904,0.202140,0.897955,1.995455,0.000000,6.245417
0.020000,0.382115,7.554178,0.220498,0.937864,1.995455,0.000000,6.241845
0.020000,0.401254,7.553351,0.239654,0.977773,1.995455,-0.000000,6.238103
0.020000,0.421186,7.552412,0.259609,1.017682,1.995455,0.000000,6.234191
0.020000,0.441912,7.551354,0.280361,1.057591,1.995455,0.000000,6.230106
0.020000,0.463430,7.550165,0.301912,1.097500,1.995455,0.000000,6.225847
0.020000,0.485739,7.548834,0.324261,1.137409,1.995455,0.000000,6.221412
0.020000,0.508839,7.547352,0.347409,1.177318,1.995455,0.000000,6.216799
0.020000,0.532728,7.545706,0.371354,1.217227,1.995455,0.000000,6.212007
0.020000,0.557405,7.543885,0.396098,1.257136,1.995455,0.000000,6.207032
0.020000,0.582867,7.541877,0.421640,1.297045,1.995455,-0.000000,6.201874
0.020000,0.609114,7.539667,0.447980,1.336955,1.995455,-0.000000,6.196530
0.020000,0.636144,7.537244,0.475118,1.376864,1.995455,0.000000,6.190999
0.020000,0.663954,7.534593,0.503054,1.416773,1.995455,0.000000,6.185278
0.020000,0.692543,7.531699,0.531789,1.456682,1.995455,0.000000,6.179366
0.020000,0.721907,7.528549,0.561321,1.496591,1.995455,0.000000,6.173260
0.020000,0.752044,7.525127,0.591652,1.536500,1.995455,-0.000000,6.166958
0.020000,0.782951,7.521417,0.622781,1.576409,1.995455,0.000000,6.160460
0.020000,0.814625,7.517402,0.654709,1.616318,1.995455,0.000000,6.153762
0.020000,0.847062,7.513067,0.687434,1.656227,1.995455,0.000000,6.146863
0.020000,0.880258,7.508393,0.720958,1.696136,1.995455,0.000000,6.139761
0.020000,0.914209,7.503363,0.755280,1.736045,1.995455,0.000000,6.132454
0.020000,0.948911,7.497959,0.790400,1.775955,1.995455,0.000000,6.124942
0.020000,0.984358,7.492162,0.826318,1.815864,1.995455,0.000000,6.117222
0.020000,1.020546,7.485953,0.863034,1.855773,1.995455,-0.000000,6.109293
0.020000,1.057468,7.479313,0.900549,1.895682,1.995455,0.000000,6.101154
0.020000,1.095118,7.472220,0.938861,1.935591,1.995455,0.000000,6.092804
0.020000,1.133490,7.464655,0.977972,1.975500,1.995455,-0.000000,6.084242
0.020000,1.172577,7.456596,1.017881,2.015409,1.995455,0.000000,6.075467
0.020000,1.212371,7.448022,1.058589,2.055318,1.995455,-0.000000,6.066479
0.020000,1.252864,7.438912,1.100094,2.095227,1.995455,0.000000,6.057278
0.020000,1.294048,7.429242,1.142398,2.135136,1.995455,-0.000000,6.047863
0.020000,1.335912,7.418991,1.185500,2.175045,1.995455,0.000000,6.038235
0.020000,1.378449,7.408136,1.229400,2.214955,1.995455,0.000000,6.028394
0.020000,1.421647,7.396653,1.274098,2.254864,1.995455,-0.000000,6.018341
0.020000,1.465495,7.384519,1.319594,2.294773,1.995455,0.000000,6.008078
0.020000,1.509982,7.371710,1.365889,2.334682,1.995455,-0.000000,5.997606
0.020000,1.555096,7.358202,1.412981,2.374591,1.995455,0.000000,5.986926
0.020000,1.600823,7.343972,1.460872,2.414500,1.995455,0.000000,5.976041
0.020000,1.647151,7.328994,1.509561,2.454409,1.995455,-0.000000,5.964955
0.020000,1.694066,7.313246,1.559049,2.494318,1.995455,0.000000,5.953669
0.020000,1.741551,7.296701,1.609334,2.534227,1.995455,0.000000,5.942188
0.020000,1.789593,7.279337,1.660418,2.574136,1.995455,-0.000000,5.930515
0.020000,1.838174,7.261128,1.712300,2.614045,1.995455,0.000000,5.918654
0.020000,1.887093,7.242125,1.764780,2.634000,0.997727,-49.886364,5.906658
0.020000,1.935964,7.222460,1.817460,2.634000,0.000000,-49.886364,5.894621
0.020000,1.984596,7.202209,1.870140,2.634000,0.000000,0.000000,5.882594
0.020000,2.032981,7.181375,1.922820,2.634000,0.000000,0.000000,5.870584
0.020000,2.081112,7.159962,1.975500,2.634000,0.000000,0.000000,5.858594
0.020000,2.128984,7.137974,2.028180,2.634000,0.000000,0.000000,5.846631
0.020000,2.176589,7.115415,2.080860,2.634000,0.000000,0.000000,5.834699
0.020000,2.223922,7.092291,2.133540,2.634000,0.000000,0.000000,5.822803
0.020000,2.270977,7.068606,2.186220,2.634000,0.000000,0.000000,5.810948
0.020000,2.317749,7.044367,2.238900,2.634000,0.000000,0.000000,5.799138
0.020000,2.364231,7.019577,2.291580,2.634000,0.000000,0.000000,5.787379
0.020000,2.410420,6.994245,2.344260,2.634000,0.000000,0.000000,5.775675
0.020000,2.456310,6.968374,2.396940,2.634000,0.000000,0.000000,5.764029
0.020000,2.501896,6.941973,2.449620,2.634000,0.000000,0.000000,5.752447
0.020000,2.547175,6.915046,2.502300,2.634000,0.000000,0.000000,5.740933
0.020000,2.592141,6.887602,2.554980,2.634000,0.000000,0.000000,5.729490
0.020000,2.636791,6.859647,2.607660,2.634000,0.000000,0.000000,5.718122
0.020000,2.681122,6.831187,2.660340,2.634000,0.000000,0.000000,5.706832
0.020000,2.725130,6.802231,2.713020,2.634000,0.000000,0.000000,5.695624
0.020000,2.768812,6.772785,2.765700,2.634000,0.000000,0.000000,5.684502
0.020000,2.812164,6.742858,2.818380,2.634000,0.000000,0.000000,5.673468
0.020000,2.855186,6.712455,2.871060,2.634000,0.000000,0.000000,5.662524
0.020000,2.897873,6.681586,2.923740,2.634000,0.000000,0.000000,5.651675
0.020000,2.940225,6.650257,2.976420,2.634000,0.000000,0.000000,5.640921
0.020000,2.982239,6.618476,3.029100,2.634000,0.000000,0.000000,5.630265
0.020000,3.023913,6.586252,3.081780,2.634000,0.000000,0.000000,5.619711
0.020000,3.065247,6.553592,3.134460,2.634000,0.000000,0.000000,5.609258
0.020000,3.106239,6.520504,3.187140,2.634000,0.000000,0.000000,5.598910
0.020000,3.146888,6.486996,3.239820,2.634000,0.000000,0.000000,5.588667
0.020000,3.187193,6.453075,3.292500,2.634000,0.000000,0.000000,5.578531
0.020000,3.227155,6.418749,3.345180,2.634000,0.000000,0.000000,5.568503
0.020000,3.266772,6.384027,3.397860,2.634000,0.000000,0.000000,5.558585
0.020000,3.306045,6.348915,3.450540,2.634000,0.000000,0.000000,5.548777
0.020000,3.344973,6.313422,3.503220,2.634000,0.000000,0.000000,5.539080
0.020000,3.383557,6.277556,3.555900,2.634000,0.000000,0.000000,5.529495
0.020000,3.420043,6.242861,3.608580,2.634000,0.000000,0.000000,5.510532
0.020000,3.457142,6.205463,3.661260,2.634000,0.000000,0.000000,5.477460
0.020000,3.493038,6.166908,3.713940,2.634000,0.000000,0.000000,5.447211
0.020000,3.527808,6.127335,3.766620,2.634000,0.000000,0.000000,5.419776
0.020000,3.561535,6.086869,3.819300,2.634000,0.000000,0.000000,5.395117
0.020000,3.594311,6.045628,3.871980,2.634000,0.000000,0.000000,5.373170
0.020000,3.626230,6.003720,3.924660,2.634000,0.000000,0.000000,5.353861
0.020000,3.657389,5.961243,3.977340,2.634000,0.000000,0.000000,5.337108
0.020000,3.687885,5.918289,4.030020,2.634000,0.000000,0.000000,5.322831
0.020000,3.717817,5.874939,4.082700,2.634000,0.000000,0.000000,5.310956
0.020000,3.747284,5.831271,4.135380,2.634000,0.000000,0.000000,5.301414
0.020000,3.776382,5.787357,4.188060,2.634000,0.000000,0.000000,5.294150
0.020000,3.805211,5.743265,4.240740,2.634000,0.000000,0.000000,5.289117
0.020000,3.833817,5.699135,4.293330,2.625034,-0.448294,-22.414711,5.286288
0.020000,3.862141,5.655274,4.345542,2.596114,-1.446022,-49.886364,5.285631
0.020000,3.890109,5.612003,4.397065,2.556205,-1.995455,-27.471652,5.287079
