dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.165700,7.168624,0.000200,0.019955,0.997727,49.886364,0.000664
0.020000,0.165642,7.168624,0.000258,0.002901,-0.852669,-92.519812,0.000516
0.020000,0.165526,7.168624,0.000374,0.005803,0.145107,49.888774,0.000218
0.020000,0.166578,7.168624,0.001425,0.052589,2.339290,109.709152,6.282957
0.020000,0.169538,7.168623,0.004386,0.148018,4.771432,121.607138,6.282361
0.020000,0.173239,7.168618,0.008086,0.185014,1.849826,-146.080332,6.281616
0.020000,0.177679,7.168609,0.012526,0.222001,1.849359,-0.023322,6.280721
0.020000,0.182858,7.168594,0.017706,0.258971,1.848489,-0.043516,6.279675
0.020000,0.188777,7.168569,0.023624,0.295949,1.848909,0.021022,6.278479
0.020000,0.195435,7.168534,0.030283,0.332900,1.847545,-0.068213,6.277131
0.020000,0.202832,7.168483,0.037679,0.369841,1.847018,-0.026348,6.275631
0.020000,0.210967,7.168415,0.045815,0.406766,1.846273,-0.037265,6.273978
0.020000,0.219840,7.168325,0.054688,0.443684,1.845902,-0.018559,6.272172
0.020000,0.229451,7.168210,0.064300,0.480574,1.844499,-0.070138,6.270210
0.020000,0.239799,7.168065,0.074649,0.517449,1.843721,-0.038905,6.268094
0.020000,0.250883,7.167885,0.085735,0.554303,1.842724,-0.049846,6.265820
0.020000,0.262704,7.167665,0.097557,0.591130,1.841356,-0.068410,6.263389
0.020000,0.275260,7.167401,0.110116,0.627950,1.840999,-0.017844,6.260799
0.020000,0.288551,7.167085,0.123411,0.664731,1.839025,-0.098681,6.258048
0.020000,0.302576,7.166712,0.137441,0.701489,1.837939,-0.054330,6.255136
0.020000,0.317334,7.166275,0.152205,0.738219,1.836483,-0.072760,6.252061
0.020000,0.332824,7.165767,0.167704,0.774929,1.835483,-0.050001,6.248822
0.020000,0.349045,7.165182,0.183936,0.811598,1.833454,-0.101487,6.245417
0.020000,0.365997,7.164511,0.200901,0.848244,1.832324,-0.056459,6.241845
0.020000,0.383678,7.163747,0.218598,0.884860,1.830807,-0.075893,6.238103
0.020000,0.402086,7.162880,0.237027,0.921439,1.828916,-0.094532,6.234191
0.020000,0.421221,7.161903,0.256186,0.957983,1.827200,-0.085779,6.230106
0.020000,0.441080,7.160805,0.276076,0.994493,1.825520,-0.083994,6.225847
0.020000,0.461663,7.159578,0.296696,1.030972,1.823964,-0.077813,6.221412
0.020000,0.482968,7.158211,0.318044,1.067413,1.822049,-0.095766,6.216799
0.020000,0.504992,7.156694,0.340120,1.103809,1.819797,-0.112592,6.212007
0.020000,0.527733,7.155016,0.362924,1.140183,1.818692,-0.055262,6.207032
0.020000,0.551191,7.153165,0.386454,1.176507,1.816203,-0.124418,6.201874
0.020000,0.575361,7.151130,0.410710,1.212794,1.814321,-0.094137,6.196530
0.020000,0.600242,7.148900,0.435691,1.249050,1.812830,-0.074541,6.190999
0.020000,0.625831,7.146460,0.461396,1.285256,1.810270,-0.127972,6.185278
0.020000,0.652126,7.143799,0.487825,1.321433,1.808848,-0.071121,6.179366
0.020000,0.679122,7.140903,0.514976,1.357569,1.806810,-0.101903,6.173260
0.020000,0.706818,7.137758,0.542849,1.393668,1.804969,-0.092057,6.166958
0.020000,0.735208,7.134350,0.571444,1.429723,1.802722,-0.112342,6.160460
0.020000,0.764291,7.130664,0.600759,1.465749,1.801330,-0.069619,6.153762
