dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.126386,6.879790,0.000200,0.019955,0.997727,49.886364,5.245911
0.020000,11.126338,6.879872,0.000294,0.004731,-0.761169,-87.944815,5.246154
0.020000,11.126241,6.880035,0.000484,0.009470,0.236934,49.905143,5.246639
0.020000,11.126096,6.880280,0.000768,0.014224,0.237686,0.037601,5.247369
0.020000,11.127041,6.878689,0.002618,0.092504,3.913998,183.815617,5.248344
0.020000,11.128836,6.875670,0.006131,0.175626,4.156102,12.105173,5.249567
0.020000,11.130995,6.872051,0.010345,0.210719,1.754664,-120.071890,5.251042
0.020000,11.133519,6.867836,0.015257,0.245622,1.745164,-0.474987,5.252773
0.020000,11.136409,6.863030,0.020866,0.280416,1.739700,-0.273197,5.254765
0.020000,11.139669,6.857635,0.027169,0.315150,1.736701,-0.149979,5.257022
0.020000,11.143301,6.851656,0.034165,0.349805,1.732734,-0.198313,5.259553
0.020000,11.147307,6.845100,0.041847,0.384131,1.716327,-0.820370,5.262362
0.020000,11.151694,6.837970,0.050219,0.418577,1.722306,0.298962,5.265460
0.020000,11.156462,6.830275,0.059272,0.452633,1.702797,-0.975437,5.268854
0.020000,11.161617,6.822021,0.069003,0.486558,1.696222,-0.328783,5.272555
0.020000,11.167164,6.813217,0.079409,0.520285,1.686374,-0.492387,5.276573
0.020000,11.173106,6.803871,0.090484,0.553748,1.673146,-0.661401,5.280921
0.020000,11.179449,6.793994,0.102222,0.586933,1.659219,-0.696326,5.285612
0.020000,11.186200,6.783594,0.114621,0.619962,1.651459,-0.388044,5.290661
0.020000,11.193363,6.772684,0.127672,0.652533,1.628540,-1.145954,5.296084
0.020000,11.200944,6.761278,0.141368,0.684796,1.613171,-0.768419,5.301897
0.020000,11.208950,6.749388,0.155702,0.716723,1.596330,-0.842072,5.308122
0.020000,11.217388,6.737029,0.170667,0.748224,1.575048,-1.064062,5.314777
0.020000,11.226263,6.724219,0.186251,0.779207,1.549157,-1.294574,5.321887
0.020000,11.235586,6.710973,0.202449,0.809879,1.533598,-0.777949,5.329477
0.020000,11.245361,6.697314,0.219246,0.839844,1.498265,-1.766642,5.337572
0.020000,11.255596,6.683260,0.236632,0.869312,1.473416,-1.242435,5.346203
0.020000,11.266301,6.668834,0.254595,0.898166,1.442705,-1.535593,5.355403
0.020000,11.277481,6.654062,0.273121,0.926285,1.405907,-1.839883,5.365206
0.020000,11.289146,6.638971,0.292195,0.953713,1.371444,-1.723133,5.375649
0.020000,11.301302,6.623589,0.311801,0.980276,1.328128,-2.165797,5.386775
0.020000,11.313958,6.607947,0.331921,1.006043,1.288369,-1.987951,5.398628
0.020000,11.327121,6.592079,0.352539,1.030862,1.240939,-2.371513,5.411257
0.020000,11.340798,6.576023,0.373630,1.054577,1.185727,-2.760610,5.424712
0.020000,11.354996,6.559817,0.395176,1.077294,1.135871,-2.492790,5.439053
0.020000,11.369720,6.543504,0.417151,1.098762,1.073405,-3.123314,5.454337
0.020000,11.384976,6.527129,0.439531,1.118978,1.010797,-3.130367,5.470630
