dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.790588,6.681448,0.000200,0.019955,0.997727,49.886364,5.245911
0.020000,10.790588,6.681448,0.000998,0.059864,1.995455,49.886364,5.246154
0.020000,10.790588,6.681448,0.002594,0.099773,1.995455,0.000000,5.246639
0.020000,10.790588,6.681448,0.004989,0.139682,1.995455,-0.000000,5.247369
0.020000,10.791726,6.679530,0.008181,0.179591,1.995455,-0.000000,5.248344
0.020000,10.793765,6.676102,0.012172,0.219500,1.995455,0.000000,5.249567
0.020000,10.796219,6.671988,0.016961,0.259409,1.995455,0.000000,5.251042
0.020000,10.799090,6.667194,0.022549,0.299318,1.995455,0.000000,5.252773
0.020000,10.802380,6.661723,0.028934,0.339227,1.995455,-0.000000,5.254765
0.020000,10.806095,6.655574,0.036118,0.379136,1.995455,0.000000,5.257022
0.020000,10.810239,6.648751,0.044100,0.419045,1.995455,-0.000000,5.259553
0.020000,10.814817,6.641261,0.052880,0.458955,1.995455,0.000000,5.262362
0.020000,10.819837,6.633102,0.062458,0.498864,1.995455,-0.000000,5.265460
0.020000,10.825302,6.624282,0.072834,0.538773,1.995455,0.000000,5.268854
0.020000,10.831222,6.614804,0.084009,0.578682,1.995455,-0.000000,5.272555
0.020000,10.837604,6.604674,0.095981,0.618591,1.995455,0.000000,5.276573
0.020000,10.844456,6.593897,0.108752,0.658500,1.995455,0.000000,5.280921
0.020000,10.851788,6.582480,0.122321,0.698409,1.995455,0.000000,5.285612
0.020000,10.859611,6.570428,0.136689,0.738318,1.995455,0.000000,5.290661
0.020000,10.867934,6.557751,0.151854,0.778227,1.995455,0.000000,5.296084
0.020000,10.876770,6.544457,0.167818,0.818136,1.995455,-0.000000,5.301897
0.020000,10.886132,6.530553,0.184580,0.858045,1.995455,-0.000000,5.308122
0.020000,10.896034,6.516050,0.202140,0.897955,1.995455,0.000000,5.314777
0.020000,10.906488,6.500961,0.220498,0.937864,1.995455,0.000000,5.321887
0.020000,10.917515,6.485295,0.239654,0.977773,1.995455,-0.000000,5.329477
0.020000,10.929127,6.469068,0.259609,1.017682,1.995455,0.000000,5.337572
0.020000,10.941344,6.452293,0.280361,1.057591,1.995455,0.000000,5.346203
0.020000,10.954187,6.434986,0.301912,1.097500,1.995455,0.000000,5.355403
0.020000,10.967674,6.417166,0.324261,1.137409,1.995455,0.000000,5.365206
0.020000,10.981830,6.398852,0.347409,1.177318,1.995455,0.000000,5.375649
0.020000,10.996676,6.380066,0.371354,1.217227,1.995455,0.000000,5.386775
0.020000,11.012240,6.360830,0.396098,1.257136,1.995455,0.000000,5.398628
0.020000,11.028549,6.341172,0.421640,1.297045,1.995455,-0.000000,5.411257
0.020000,11.045629,6.321121,0.447980,1.336955,1.995455,-0.000000,5.424712
0.020000,11.063512,6.300708,0.475118,1.376864,1.995455,0.000000,5.439053
0.020000,11.082230,6.279971,0.503054,1.416773,1.995455,0.000000,5.454337
0.020000,11.101817,6.258948,0.531789,1.456682,1.995455,0.000000,5.470630
0.020000,11.122310,6.237682,0.561321,1.496591,1.995455,0.000000,5.488000
0.020000,11.143744,6.216223,0.591652,1.536500,1.995455,-0.000000,5.506521
0.020000,11.166159,6.194623,0.622781,1.576409,1.995455,0.000000,5.526267
0.020000,11.189597,6.172943,0.654709,1.616318,1.995455,0.000000,5.547317
0.020000,11.214097,6.151249,0.687434,1.656227,1.995455,0.000000,5.569752
0.020000,11.239703,6.129613,0.720958,1.696136,1.995455,0.000000,5.593649
0.020000,11.266456,6.108116,0.755280,1.736045,1.995455,0.000000,5.619088
0.020000,11.294400,6.086844,0.790400,1.775955,1.995455,0.000000,5.646140
0.020000,11.323574,6.065894,0.826318,1.815864,1.995455,0.000000,5.674868
0.020000,11.354017,6.045370,0.863034,1.855773,1.995455,-0.000000,5.705323
0.020000,11.385763,6.025385,0.900549,1.895682,1.995455,0.000000,5.737536
0.020000,11.418842,6.006059,0.938861,1.935591,1.995455,0.000000,5.771515
0.020000,11.453277,5.987520,0.977972,1.975500,1.995455,-0.000000,5.807235
0.020000,11.489083,5.969899,1.017881,2.015409,1.995455,0.000000,5.844635
0.020000,11.526264,5.953334,1.058589,2.055318,1.995455,-0.000000,5.883611
0.020000,11.564815,5.937962,1.100094,2.095227,1.995455,0.000000,5.924010
0.020000,11.604717,5.923919,1.142398,2.135136,1.995455,-0.000000,5.965630
0.020000,11.645938,5.911337,1.185500,2.175045,1.995455,0.000000,6.008220
0.020000,11.688433,5.900336,1.229400,2.214955,1.995455,0.000000,6.051488
0.020000,11.732147,5.891026,1.274098,2.254864,1.995455,-0.000000,6.095103
0.020000,11.777013,5.883500,1.319594,2.294773,1.995455,0.000000,6.138716
0.020000,11.822956,5.877833,1.365889,2.334682,1.995455,-0.000000,6.181968
0.020000,11.869895,5.874078,1.412981,2.374591,1.995455,0.000000,6.224508
0.020000,11.917748,5.872270,1.460872,2.414500,1.995455,0.000000,6.266009
0.020000,11.966434,5.872420,1.509561,2.454409,1.995455,-0.000000,0.022989
0.020000,12.015873,5.874521,1.559049,2.494318,1.995455,0.000000,0.061569
0.020000,12.065994,5.878548,1.609334,2.534227,1.995455,0.000000,0.098357
0.020000,12.116732,5.884459,1.660418,2.574136,1.995455,-0.000000,0.133197
0.020000,12.168031,5.892202,1.712300,2.614045,1.995455,0.000000,0.165977
0.020000,12.219647,5.901673,1.764780,2.634000,0.997727,-49.886364,0.196513
0.020000,12.271160,5.912694,1.817460,2.634000,0.000000,-49.886364,0.224594
0.020000,12.322359,5.925092,1.870140,2.634000,0.000000,0.000000,0.250201
0.020000,12.373239,5.938738,1.922820,2.634000,0.000000,0.000000,0.273446
0.020000,12.423806,5.953505,1.975500,2.634000,0.000000,0.000000,0.294446
0.020000,12.473910,5.969225,2.028013,2.617275,-0.836240,-41.812009,0.313262
0.020000,12.523221,5.985662,2.079991,2.580596,-1.833967,-49.886364,0.329914
0.020000,12.571547,6.002612,2.131204,2.540687,-1.995455,-8.074355,0.344499
0.020000,12.618888,6.019946,2.181619,2.500778,-1.995455,0.000000,0.357179
0.020000,12.665275,6.037553,2.231235,2.460869,-1.995455,-0.000000,0.368107
0.020000,12.710738,6.055337,2.280054,2.420959,-1.995455,0.000000,0.377421
0.020000,12.755307,6.073213,2.328074,2.381050,-1.995455,0.000000,0.385245
0.020000,12.799008,6.091103,2.375296,2.341141,-1.995455,-0.000000,0.391688
0.020000,12.841869,6.108940,2.421719,2.301232,-1.995455,0.000000,0.396848
0.020000,12.883912,6.126663,2.467345,2.261323,-1.995455,-0.000000,0.400813
0.020000,12.925160,6.144215,2.512172,2.221414,-1.995455,0.000000,0.403659
0.020000,12.965634,6.161549,2.556202,2.181505,-1.995455,0.000000,0.405457
0.020000,13.005351,6.178620,2.599433,2.141596,-1.995455,-0.000000,0.406269
0.020000,13.044330,6.195389,2.641865,2.101687,-1.995455,0.000000,0.406150
0.020000,13.082584,6.211822,2.683500,2.061778,-1.995455,0.000000,0.405152
0.020000,13.120129,6.227886,2.724336,2.021869,-1.995455,-0.000000,0.403320
0.020000,13.156974,6.243554,2.764375,1.981959,-1.995455,0.000000,0.400697
0.020000,13.193130,6.258802,2.803615,1.942050,-1.995455,0.000000,0.397322
0.020000,13.228607,6.273607,2.842057,1.902141,-1.995455,0.000000,0.393230
0.020000,13.263411,6.287950,2.879701,1.862232,-1.995455,-0.000000,0.388455
0.020000,13.297548,6.301815,2.916546,1.822323,-1.995455,0.000000,0.383030
0.020000,13.331023,6.315188,2.952593,1.782414,-1.995455,-0.000000,0.376985
0.020000,13.363839,6.328057,2.987843,1.742505,-1.995455,0.000000,0.370349
0.020000,13.395998,6.340413,3.022294,1.702596,-1.995455,0.000000,0.363153
0.020000,13.427502,6.352247,3.055946,1.662687,-1.995455,0.000000,0.355424
0.020000,13.458349,6.363555,3.088801,1.622778,-1.995455,0.000000,0.347191
0.020000,13.488539,6.374333,3.120858,1.582869,-1.995455,0.000000,0.338484
0.020000,13.518070,6.384579,3.152116,1.542959,-1.995455,0.000000,0.329332
0.020000,13.546940,6.394294,3.182576,1.503050,-1.995455,0.000000,0.319765
0.020000,13.575143,6.403479,3.212238,1.463141,-1.995455,0.000000,0.309815
0.020000,13.602677,6.412139,3.241102,1.423232,-1.995455,-0.000000,0.299512
0.020000,13.629537,6.420278,3.269167,1.383323,-1.995455,0.000000,0.288890
0.020000,13.655715,6.427905,3.296435,1.343414,-1.995455,0.000000,0.277984
0.020000,13.681208,6.435028,3.322904,1.303505,-1.995455,0.000000,0.266828
0.020000,13.706008,6.441657,3.348575,1.263596,-1.995455,0.000000,0.255460
0.020000,13.730109,6.447804,3.373448,1.223687,-1.995455,-0.000000,0.243915
0.020000,13.753505,6.453482,3.397522,1.183778,-1.995455,-0.000000,0.232234
0.020000,13.776187,6.458707,3.420799,1.143869,-1.995455,0.000000,0.220454
0.020000,13.798150,6.463493,3.443277,1.103959,-1.995455,0.000000,0.208617
0.020000,13.819386,6.467858,3.464957,1.064050,-1.995455,0.000000,0.196763
0.020000,13.839888,6.471820,3.485839,1.024141,-1.995455,0.000000,0.184933
0.020000,13.859651,6.475397,3.505923,0.984232,-1.995455,0.000000,0.173168
0.020000,13.878667,6.478610,3.525208,0.944323,-1.995455,0.000000,0.161509
0.020000,13.896930,6.481479,3.543696,0.904414,-1.995455,0.000000,0.149997
0.020000,13.914435,6.484023,3.561385,0.864505,-1.995455,-0.000000,0.138672
0.020000,13.931176,6.486266,3.578276,0.824596,-1.995455,0.000000,0.127573
0.020000,13.947149,6.488227,3.594369,0.784687,-1.995455,0.000000,0.116739
0.020000,13.962349,6.489929,3.609663,0.744778,-1.995455,0.000000,0.106207
0.020000,13.976771,6.491392,3.624160,0.704869,-1.995455,-0.000000,0.096014
0.020000,13.990413,6.492638,3.637858,0.664959,-1.995455,0.000000,0.086192
0.020000,14.003270,6.493689,3.650758,0.625050,-1.995455,0.000000,0.076775
0.020000,14.015340,6.494563,3.662860,0.585141,-1.995455,-0.000000,0.067794
0.020000,14.026621,6.495281,3.674164,0.545232,-1.995455,0.000000,0.059277
0.020000,14.037110,6.495861,3.684669,0.505323,-1.995455,-0.000000,0.051251
0.020000,14.046807,6.496322,3.694377,0.465414,-1.995455,0.000000,0.043741
0.020000,14.055709,6.496680,3.703286,0.425505,-1.995455,-0.000000,0.036770
0.020000,14.063815,6.496953,3.711397,0.385596,-1.995455,0.000000,0.030359
0.020000,14.071125,6.497153,3.718710,0.345687,-1.995455,-0.000000,0.024525
0.020000,14.077638,6.497296,3.725224,0.305778,-1.995455,0.000000,0.019287
0.020000,14.083354,6.497393,3.730941,0.265869,-1.995455,-0.000000,0.014658
0.020000,14.088272,6.497455,3.735859,0.225959,-1.995455,0.000000,0.010652
0.020000,14.092392,6.497492,3.739979,0.186050,-1.995455,0.000000,0.007279
0.020000,14.095714,6.497512,3.743301,0.146141,-1.995455,-0.000000,0.004548
0.020000,14.098237,6.497521,3.745825,0.106232,-1.995455,0.000000,0.002466
0.020000,14.099963,6.497524,3.747550,0.066323,-1.995455,-0.000000,0.001040
0.020000,14.100890,6.497524,3.748478,0.026414,-1.995455,0.000000,0.000272
0.020000,14.101187,6.497525,3.748774,0.003230,-1.159214,41.812009,0.000027
0.020000,14.101219,6.497525,3.748807,0.000000,-0.161487,49.886364,0.000000
0.020000,14.101219,6.497525,3.748807,0.000000,0.000000,8.074355,0.000000
