dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.454789,6.483107,0.000200,0.019955,0.997727,49.886364,5.245911
0.020000,10.454837,6.483025,0.000294,0.004731,-0.761169,-87.944815,5.246154
0.020000,10.454934,6.482862,0.000484,0.009470,0.236934,49.905143,5.246639
0.020000,10.455079,6.482617,0.000768,0.014224,0.237686,0.037601,5.247369
0.020000,10.456411,6.480372,0.003379,0.130539,5.815783,278.904879,5.248344
0.020000,10.458694,6.476534,0.007845,0.223312,4.638636,-58.857384,5.249567
0.020000,10.461443,6.471926,0.013210,0.268254,2.247124,-119.575580,5.251042
0.020000,10.464660,6.466553,0.019473,0.313133,2.243951,-0.158681,5.252773
0.020000,10.468351,6.460415,0.026634,0.358084,2.247519,0.178418,5.254765
0.020000,10.472521,6.453513,0.034699,0.403202,2.255927,0.420390,5.257022
0.020000,10.477178,6.445847,0.043669,0.448500,2.264891,0.448202,5.259553
0.020000,10.482327,6.437422,0.053542,0.493695,2.259739,-0.257598,5.262362
0.020000,10.487980,6.428233,0.064330,0.539401,2.285315,1.278794,5.265460
0.020000,10.494143,6.418288,0.076031,0.585005,2.280191,-0.256191,5.268854
0.020000,10.500827,6.407586,0.088648,0.630883,2.293915,0.686215,5.272555
0.020000,10.508044,6.396130,0.102188,0.676999,2.305799,0.594170,5.276573
0.020000,10.515806,6.383923,0.116655,0.723316,2.315818,0.500952,5.280921
0.020000,10.524126,6.370967,0.132052,0.769868,2.327619,0.590093,5.285612
0.020000,10.533021,6.357263,0.148389,0.816878,2.350481,1.143088,5.290661
0.020000,10.542506,6.342818,0.165670,0.864009,2.356566,0.304261,5.296084
0.020000,10.552597,6.327635,0.183900,0.911528,2.375969,0.970109,5.301897
0.020000,10.563314,6.311718,0.203090,0.959472,2.397161,1.059614,5.308122
0.020000,10.574680,6.295072,0.223246,1.007801,2.416452,0.964565,5.314777
0.020000,10.586713,6.277704,0.244375,1.056477,2.433829,0.868823,5.321887
0.020000,10.599443,6.259617,0.266493,1.105877,2.469988,1.807947,5.329477
0.020000,10.612893,6.240822,0.289604,1.155564,2.484374,0.719315,5.337572
0.020000,10.627092,6.221326,0.313723,1.205937,2.518608,1.711690,5.346203
0.020000,10.642073,6.201138,0.338862,1.256955,2.550897,1.614453,5.355403
0.020000,10.657868,6.180270,0.365033,1.308579,2.581219,1.516098,5.365206
0.020000,10.674514,6.158733,0.392254,1.361017,2.621919,2.035028,5.375649
0.020000,10.692051,6.136543,0.420537,1.414171,2.657684,1.788255,5.386775
0.020000,10.710523,6.113714,0.449903,1.468307,2.706797,2.455618,5.398628
0.020000,10.729976,6.090265,0.480371,1.523381,2.753682,2.344265,5.411257
0.020000,10.750459,6.066219,0.511958,1.579346,2.798280,2.229903,5.424712
0.020000,10.772028,6.041600,0.544689,1.636559,2.860638,3.117903,5.439053
0.020000,10.794740,6.016438,0.578586,1.694842,2.914133,2.674731,5.454337
0.020000,10.818659,5.990766,0.613674,1.754392,2.977509,3.168800,5.470630
0.020000,10.843852,5.964622,0.649981,1.815354,3.048100,3.529554,5.488000
0.020000,10.870391,5.938053,0.687533,1.877631,3.113856,3.287833,5.506521
0.020000,10.898352,5.911110,0.726363,1.941494,3.193169,3.965643,5.526267
0.020000,10.927817,5.883856,0.766500,2.006817,3.266126,3.647823,5.547317
0.020000,10.958868,5.856363,0.807974,2.073696,3.343942,3.890820,5.569752
0.020000,10.991593,5.828712,0.850816,2.142134,3.421924,3.899108,5.593649
0.020000,11.026080,5.801001,0.895057,2.212038,3.495173,3.662418,5.619088
0.020000,11.062419,5.773339,0.940726,2.283469,3.571592,3.820973,5.646140
0.020000,11.100694,5.745856,0.987847,2.356009,3.626973,2.769048,5.674868
0.020000,11.140985,5.718694,1.036439,2.429603,3.679724,2.637541,5.705323
0.020000,11.183363,5.692017,1.086514,2.503761,3.707900,1.408784,5.737536
0.020000,11.227885,5.666007,1.138076,2.578111,3.717470,0.478537,5.771515
