dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.770000,3.349452,0.000200,0.019955,0.997727,49.886364,0.000001
0.020000,1.770000,3.349452,0.000200,0.000003,-0.997595,-99.766124,0.000001
0.020000,1.770000,3.349452,0.000200,0.000005,0.000132,49.886356,0.000000
0.020000,1.770989,3.349452,0.001188,0.049440,2.471722,123.579523,6.283185
0.020000,1.774182,3.349452,0.004381,0.159647,5.510359,151.931807,6.283185
0.020000,1.778173,3.349452,0.008373,0.199559,1.995585,-175.738674,6.283184
0.020000,1.782962,3.349452,0.013162,0.239470,1.995584,-0.000039,6.283183
0.020000,1.788550,3.349452,0.018750,0.279382,1.995583,-0.000047,6.283182
0.020000,1.794936,3.349452,0.025136,0.319294,1.995582,-0.000055,6.283181
0.020000,1.802120,3.349452,0.032320,0.359205,1.995581,-0.000063,6.283180
0.020000,1.810102,3.349452,0.040302,0.399117,1.995579,-0.000071,6.283179
0.020000,1.818883,3.349452,0.049083,0.439028,1.995578,-0.000079,6.283177
0.020000,1.828462,3.349451,0.058661,0.478940,1.995576,-0.000087,6.283176
0.020000,1.838839,3.349451,0.069038,0.518851,1.995574,-0.000095,6.283174
0.020000,1.850014,3.349451,0.080214,0.558763,1.995572,-0.000103,6.283172
0.020000,1.861987,3.349451,0.092187,0.598674,1.995570,-0.000110,6.283170
0.020000,1.874759,3.349451,0.104959,0.638586,1.995568,-0.000118,6.283168
0.020000,1.888329,3.349451,0.118529,0.678497,1.995565,-0.000126,6.283166
0.020000,1.902697,3.349450,0.132897,0.718408,1.995562,-0.000134,6.283164
0.020000,1.917863,3.349450,0.148063,0.758319,1.995560,-0.000142,6.283161
0.020000,1.933828,3.349450,0.164028,0.798230,1.995557,-0.000150,6.283159
0.020000,1.950591,3.349449,0.180791,0.838142,1.995553,-0.000158,6.283156
0.020000,1.968152,3.349449,0.198352,0.878053,1.995550,-0.000166,6.283153
0.020000,1.986511,3.349448,0.216711,0.917963,1.995547,-0.000174,6.283151
0.020000,2.005669,3.349447,0.235869,0.957874,1.995543,-0.000182,6.283148
0.020000,2.025624,3.349446,0.255824,0.997785,1.995539,-0.000189,6.283145
0.020000,2.046378,3.349446,0.276578,1.037696,1.995535,-0.000197,6.283142
0.020000,2.067930,3.349445,0.298130,1.077606,1.995531,-0.000205,6.283139
0.020000,2.090281,3.349444,0.320481,1.117517,1.995527,-0.000213,6.283135
