dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.238543,0.683747,0.075730,0.757302,3.786510,18.932548,0.007397
0.200000,0.465695,0.687751,0.302921,1.514604,3.786510,0.000000,0.027013
0.200000,0.844052,0.702479,0.681572,2.271906,3.786510,0.000000,0.048452
0.200000,1.373391,0.731058,1.211683,3.029208,3.786510,0.000000,0.054832
0.200000,1.911989,0.756023,1.750870,2.362663,-3.332723,-35.596164,0.033048
0.200000,2.308713,0.762850,2.147673,1.605361,-3.786510,-2.268932,6.281985
0.200000,2.554019,0.759138,2.393015,0.848059,-3.786510,-0.000000,6.253161
0.200000,2.647838,0.755738,2.486896,0.090757,-3.786510,0.000000,6.240617
0.200000,2.656905,0.755346,2.495972,0.000000,-0.453786,16.663616,6.239361
0.200000,2.656905,0.755346,2.495972,0.000000,0.000000,2.268932,6.239361
