dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.770000,2.569452,0.000200,0.019955,0.997727,49.886364,0.000001
0.020000,1.770000,2.569452,0.000200,0.000003,-0.997595,-99.766124,0.000001
0.020000,1.770000,2.569452,0.000200,0.000005,0.000132,49.886356,0.000000
0.020000,1.770989,2.569452,0.001188,0.049424,2.470931,123.539969,6.283185
0.020000,1.774181,2.569452,0.004381,0.159626,5.510096,151.958250,6.283185
0.020000,1.778172,2.569452,0.008371,0.199532,1.995324,-175.738611,6.283184
0.020000,1.782961,2.569452,0.013160,0.239439,1.995325,0.000039,6.283183
0.020000,1.788547,2.569452,0.018747,0.279345,1.995326,0.000047,6.283182
0.020000,1.794932,2.569452,0.025132,0.319252,1.995327,0.000055,6.283181
0.020000,1.802116,2.569452,0.032315,0.359158,1.995328,0.000063,6.283180
0.020000,1.810097,2.569452,0.040297,0.399065,1.995330,0.000071,6.283179
0.020000,1.818876,2.569452,0.049076,0.438972,1.995331,0.000079,6.283177
0.020000,1.828454,2.569451,0.058654,0.478878,1.995333,0.000087,6.283176
0.020000,1.838830,2.569451,0.069029,0.518785,1.995335,0.000095,6.283174
0.020000,1.850003,2.569451,0.080203,0.558692,1.995337,0.000103,6.283172
0.020000,1.861975,2.569451,0.092175,0.598599,1.995339,0.000110,6.283170
0.020000,1.874746,2.569451,0.104945,0.638505,1.995341,0.000118,6.283168
0.020000,1.888314,2.569451,0.118513,0.678412,1.995344,0.000126,6.283166
0.020000,1.902680,2.569450,0.132880,0.718319,1.995347,0.000134,6.283164
0.020000,1.917845,2.569450,0.148044,0.758226,1.995349,0.000142,6.283161
0.020000,1.933807,2.569450,0.164007,0.798133,1.995352,0.000150,6.283159
0.020000,1.950568,2.569449,0.180768,0.838040,1.995356,0.000158,6.283156
0.020000,1.968127,2.569449,0.198327,0.877947,1.995359,0.000166,6.283153
0.020000,1.986484,2.569448,0.216684,0.917855,1.995362,0.000174,6.283151
0.020000,2.005639,2.569447,0.235839,0.957762,1.995366,0.000182,6.283148
0.020000,2.025593,2.569446,0.255792,0.997669,1.995370,0.000189,6.283145
0.020000,2.046344,2.569446,0.276544,1.037577,1.995374,0.000197,6.283142
0.020000,2.067894,2.569445,0.298094,1.077484,1.995378,0.000205,6.283139
0.020000,2.090242,2.569444,0.320442,1.117392,1.995382,0.000213,6.283135
0.020000,2.113388,2.569442,0.343588,1.157300,1.995387,0.000221,6.283132
0.020000,2.137332,2.569441,0.367532,1.197208,1.995391,0.000229,6.283129
0.020000,2.162074,2.569440,0.392274,1.237116,1.995396,0.000237,6.283125
0.020000,2.187615,2.569438,0.417814,1.277024,1.995401,0.000245,6.283122
0.020000,2.213953,2.569436,0.444153,1.316932,1.995406,0.000253,6.283118
0.020000,2.241090,2.569434,0.471290,1.356840,1.995411,0.000260,6.283115
0.020000,2.269025,2.569432,0.499225,1.396748,1.995416,0.000268,6.283111
0.020000,2.297758,2.569430,0.527958,1.436657,1.995422,0.000276,6.283108
0.020000,2.327290,2.569428,0.557489,1.476565,1.995428,0.000284,6.283104
0.020000,2.357619,2.569425,0.587819,1.516474,1.995433,0.000292,6.283100
0.020000,2.388747,2.569423,0.618946,1.556383,1.995439,0.000300,6.283097
0.020000,2.420673,2.569420,0.650872,1.596292,1.995446,0.000308,6.283093
0.020000,2.453397,2.569417,0.683596,1.636201,1.995452,0.000316,6.283089
0.020000,2.486919,2.569413,0.717118,1.676110,1.995458,0.000324,6.283086
