dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000000,1.890000,0.000200,0.019955,0.997727,49.886364,0.000000
0.020000,2.000000,1.890000,0.000200,0.000000,-0.997727,-99.772727,0.000000
0.020000,2.000000,1.890000,0.000200,0.000000,0.000000,49.886364,0.000000
0.020000,2.000989,1.890000,0.001188,0.049432,2.471591,123.579545,0.000000
0.020000,2.004181,1.890000,0.004381,0.159636,5.510227,151.931818,0.000000
0.020000,2.008172,1.890000,0.008372,0.199545,1.995455,-175.738636,0.000000
0.020000,2.012961,1.890000,0.013161,0.239455,1.995455,-0.000000,0.000000
0.020000,2.018549,1.890000,0.018748,0.279364,1.995455,0.000000,0.000000
0.020000,2.024934,1.890000,0.025134,0.319273,1.995455,-0.000000,0.000000
0.020000,2.032118,1.890000,0.032317,0.359182,1.995455,0.000000,0.000000
0.020000,2.040100,1.890000,0.040299,0.399091,1.995455,0.000000,0.000000
0.020000,2.048880,1.890000,0.049079,0.439000,1.995455,-0.000000,0.000000
0.020000,2.058458,1.890000,0.058657,0.478909,1.995455,0.000000,0.000000
0.020000,2.068834,1.890000,0.069034,0.518818,1.995455,0.000000,0.000000
0.020000,2.080009,1.890000,0.080208,0.558727,1.995455,0.000000,0.000000
0.020000,2.091981,1.890000,0.092181,0.598636,1.995455,0.000000,0.000000
0.020000,2.104752,1.890000,0.104952,0.638545,1.995455,-0.000000,0.000000
0.020000,2.118321,1.890000,0.118521,0.678455,1.995455,0.000000,0.000000
0.020000,2.132689,1.890000,0.132888,0.718364,1.995455,0.000000,0.000000
0.020000,2.147854,1.890000,0.148054,0.758273,1.995455,-0.000000,0.000000
0.020000,2.163818,1.890000,0.164017,0.798182,1.995455,0.000000,0.000000
0.020000,2.180580,1.890000,0.180779,0.838091,1.995455,-0.000000,0.000000
0.020000,2.198140,1.890000,0.198339,0.878000,1.995455,0.000000,0.000000
0.020000,2.216498,1.890000,0.216697,0.917909,1.995455,-0.000000,0.000000
0.020000,2.235654,1.890000,0.235854,0.957818,1.995455,0.000000,0.000000
0.020000,2.255609,1.890000,0.255808,0.997727,1.995455,-0.000000,0.000000
0.020000,2.276361,1.890000,0.276561,1.037636,1.995455,0.000000,0.000000
0.020000,2.297912,1.890000,0.298112,1.077545,1.995455,0.000000,0.000000
0.020000,2.320261,1.890000,0.320461,1.117455,1.995455,-0.000000,0.000000
0.020000,2.343409,1.890000,0.343608,1.157364,1.995455,0.000000,0.000000
0.020000,2.367354,1.890000,0.367554,1.197273,1.995455,-0.000000,0.000000
0.020000,2.392098,1.890000,0.392297,1.237182,1.995455,0.000000,0.000000
0.020000,2.417640,1.890000,0.417839,1.277091,1.995455,-0.000000,0.000000
0.020000,2.443980,1.890000,0.444179,1.317000,1.995455,0.000000,0.000000
0.020000,2.471118,1.890000,0.471317,1.356909,1.995455,-0.000000,0.000000
0.020000,2.499054,1.890000,0.499254,1.396818,1.995455,0.000000,0.000000
0.020000,2.527789,1.890000,0.527988,1.436727,1.995455,-0.000000,0.000000
0.020000,2.557321,1.890000,0.557521,1.476636,1.995455,0.000000,0.000000
0.020000,2.587652,1.890000,0.587852,1.516545,1.995455,-0.000000,0.000000
0.020000,2.618781,1.890000,0.618981,1.556455,1.995455,0.000000,0.000000
0.020000,2.650709,1.890000,0.650908,1.596364,1.995455,0.000000,0.000000
0.020000,2.683434,1.890000,0.683634,1.636273,1.995455,-0.000000,0.000000
0.020000,2.716958,1.890000,0.717157,1.676182,1.995455,0.000000,0.000000
0.020000,2.751280,1.890000,0.751479,1.716091,1.995455,0.000000,0.000000
0.020000,2.786400,1.890000,0.786599,1.756000,1.995455,-0.000000,0.000000
0.020000,2.822318,1.890000,0.822517,1.795909,1.995455,0.000000,0.000000
0.020000,2.859034,1.890000,0.859234,1.835818,1.995455,0.000000,0.000000
0.020000,2.896549,1.890000,0.896748,1.875727,1.995455,-0.000000,0.000000
0.020000,2.934861,1.890000,0.935061,1.915636,1.995455,0.000000,0.000000
0.020000,2.973972,1.890000,0.974172,1.955545,1.995455,-0.000000,0.000000
0.020000,3.013881,1.890000,1.014081,1.995455,1.995455,0.000000,0.000000
0.020000,3.054589,1.890000,1.054788,2.035364,1.995455,-0.000000,0.000000
0.020000,3.096094,1.890000,1.096294,2.075273,1.995455,0.000000,0.000000
0.020000,3.138398,1.890000,1.138597,2.115182,1.995455,0.000000,0.000000
0.020000,3.181500,1.890000,1.181699,2.155091,1.995455,-0.000000,0.000000
0.020000,3.225400,1.890000,1.225599,2.195000,1.995455,0.000000,0.000000
0.020000,3.270098,1.890000,1.270297,2.234909,1.995455,-0.000000,0.000000
