dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000000,1.500000,0.000200,0.019955,0.997727,49.886364,0.000000
0.020000,2.000000,1.500000,0.000998,0.059864,1.995455,49.886364,0.000000
0.020000,2.000000,1.500000,0.002594,0.099773,1.995455,0.000000,0.000000
0.020000,2.000989,1.500000,0.004989,0.139682,1.995455,-0.000000,0.000000
0.020000,2.004181,1.500000,0.008181,0.179591,1.995455,-0.000000,0.000000
0.020000,2.008172,1.500000,0.012172,0.219500,1.995455,0.000000,0.000000
0.020000,2.012961,1.500000,0.016961,0.259409,1.995455,0.000000,0.000000
0.020000,2.018549,1.500000,0.022549,0.299318,1.995455,0.000000,0.000000
0.020000,2.024934,1.500000,0.028934,0.339227,1.995455,-0.000000,0.000000
0.020000,2.032118,1.500000,0.036118,0.379136,1.995455,0.000000,0.000000
0.020000,2.040100,1.500000,0.044100,0.419045,1.995455,-0.000000,0.000000
0.020000,2.048880,1.500000,0.052880,0.458955,1.995455,0.000000,0.000000
0.020000,2.058458,1.500000,0.062458,0.498864,1.995455,-0.000000,0.000000
0.020000,2.068834,1.500000,0.072834,0.538773,1.995455,0.000000,0.000000
0.020000,2.080009,1.500000,0.084009,0.578682,1.995455,-0.000000,0.000000
0.020000,2.091981,1.500000,0.095981,0.618591,1.995455,0.000000,0.000000
0.020000,2.104752,1.500000,0.108752,0.658500,1.995455,0.000000,0.000000
0.020000,2.118321,1.500000,0.122321,0.698409,1.995455,0.000000,0.000000
0.020000,2.132689,1.500000,0.136689,0.738318,1.995455,0.000000,0.000000
0.020000,2.147854,1.500000,0.151854,0.778227,1.995455,0.000000,0.000000
0.020000,2.163818,1.500000,0.167818,0.818136,1.995455,-0.000000,0.000000
0.020000,2.180580,1.500000,0.184580,0.858045,1.995455,-0.000000,0.000000
0.020000,2.198140,1.500000,0.202140,0.897955,1.995455,0.000000,0.000000
0.020000,2.216498,1.500000,0.220498,0.937864,1.995455,0.000000,0.000000
0.020000,2.235654,1.500000,0.239654,0.977773,1.995455,-0.000000,0.000000
0.020000,2.255609,1.500000,0.259609,1.017682,1.995455,0.000000,0.000000
0.020000,2.276361,1.500000,0.280361,1.057591,1.995455,0.000000,0.000000
0.020000,2.297912,1.500000,0.301912,1.097500,1.995455,0.000000,0.000000
0.020000,2.320261,1.500000,0.324261,1.137409,1.995455,0.000000,0.000000
0.020000,2.343409,1.500000,0.347409,1.177318,1.995455,0.000000,0.000000
0.020000,2.367354,1.500000,0.371354,1.217227,1.995455,0.000000,0.000000
0.020000,2.392098,1.500000,0.396098,1.257136,1.995455,0.000000,0.000000
0.020000,2.417640,1.500000,0.421640,1.297045,1.995455,-0.000000,0.000000
0.020000,2.443980,1.500000,0.447980,1.336955,1.995455,-0.000000,0.000000
0.020000,2.471118,1.500000,0.475118,1.376864,1.995455,0.000000,0.000000
0.020000,2.499054,1.500000,0.503054,1.416773,1.995455,0.000000,0.000000
0.020000,2.527789,1.500000,0.531789,1.456682,1.995455,0.000000,0.000000
0.020000,2.557321,1.500000,0.561321,1.496591,1.995455,0.000000,0.000000
0.020000,2.587652,1.500000,0.591652,1.536500,1.995455,-0.000000,0.000000
0.020000,2.618781,1.500000,0.622781,1.576409,1.995455,0.000000,0.000000
0.020000,2.650709,1.500000,0.654709,1.616318,1.995455,0.000000,0.000000
0.020000,2.683434,1.500000,0.687434,1.656227,1.995455,0.000000,0.000000
0.020000,2.716958,1.500000,0.720958,1.696136,1.995455,0.000000,0.000000
0.020000,2.751280,1.500000,0.755280,1.736045,1.995455,0.000000,0.000000
0.020000,2.786400,1.500000,0.790400,1.775955,1.995455,0.000000,0.000000
0.020000,2.822318,1.500000,0.826318,1.815864,1.995455,0.000000,0.000000
0.020000,2.859034,1.500000,0.863034,1.855773,1.995455,-0.000000,0.000000
0.020000,2.896549,1.500000,0.900549,1.895682,1.995455,0.000000,0.000000
0.020000,2.934861,1.500000,0.938861,1.935591,1.995455,0.000000,0.000000
0.020000,2.973972,1.500000,0.977972,1.975500,1.995455,-0.000000,0.000000
0.020000,3.013881,1.500000,1.017881,2.015409,1.995455,0.000000,0.000000
0.020000,3.054589,1.500000,1.058589,2.055318,1.995455,-0.000000,0.000000
