dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.095700,7.289812,0.000198,0.019751,0.987555,49.377740,4.712387
0.020000,11.095700,7.289615,0.000394,0.009843,-0.495426,-74.149059,4.712390
0.020000,11.095700,7.288037,0.001973,0.078916,3.453649,197.453791,4.712394
0.020000,11.095700,7.285669,0.004340,0.118374,1.972922,-74.036355,4.712401
0.020000,11.095700,7.282512,0.007497,0.157833,1.972962,0.002004,4.712410
0.020000,11.095700,7.278567,0.011443,0.197294,1.973016,0.002672,4.712421
0.020000,11.095700,7.273831,0.016178,0.236755,1.973083,0.003340,4.712434
0.020000,11.095700,7.268307,0.021702,0.276218,1.973163,0.004008,4.712450
0.020000,11.095701,7.261993,0.028016,0.315684,1.973256,0.004676,4.712467
0.020000,11.095701,7.254890,0.035119,0.355151,1.973363,0.005345,4.712486
0.020000,11.095702,7.246998,0.043011,0.394621,1.973484,0.006013,4.712506
0.020000,11.095703,7.238316,0.051693,0.434093,1.973617,0.006681,4.712528
0.020000,11.095705,7.228845,0.061164,0.473568,1.973764,0.007349,4.712552
0.020000,11.095706,7.218584,0.071425,0.513047,1.973924,0.008017,4.712576
0.020000,11.095709,7.207533,0.082476,0.552529,1.974098,0.008685,4.712602
0.020000,11.095711,7.195693,0.094316,0.592014,1.974285,0.009353,4.712629
0.020000,11.095715,7.183063,0.106946,0.631504,1.974486,0.010021,4.712656
0.020000,11.095718,7.169643,0.120366,0.670998,1.974699,0.010689,4.712684
0.020000,11.095723,7.155433,0.134576,0.710497,1.974927,0.011357,4.712712
0.020000,11.095728,7.140433,0.149576,0.750000,1.975167,0.012025,4.712739
0.020000,11.095733,7.124643,0.165366,0.789508,1.975421,0.012693,4.712767
0.020000,11.095740,7.108062,0.181947,0.829022,1.975688,0.013361,4.712794
0.020000,11.095747,7.090692,0.199318,0.868541,1.975969,0.014029,4.712820
0.020000,11.095755,7.072530,0.217479,0.908067,1.976263,0.014697,4.712844
0.020000,11.095764,7.053578,0.236431,0.947598,1.976570,0.015366,4.712868
0.020000,11.095774,7.033836,0.256174,0.987136,1.976891,0.016034,4.712889
0.020000,11.095784,7.013302,0.276707,1.026680,1.977225,0.016702,4.712909
0.020000,11.095796,6.991977,0.298032,1.066232,1.977572,0.017370,4.712925
0.020000,11.095808,6.969861,0.320148,1.105791,1.977933,0.018038,4.712939
0.020000,11.095820,6.946954,0.343055,1.145357,1.978307,0.018706,4.712950
0.020000,11.095834,6.923256,0.366753,1.184931,1.978694,0.019374,4.712957
0.020000,11.095848,6.898963,0.391046,1.214637,1.485323,-24.668565,4.712960
0.020000,11.095861,6.874613,0.415396,1.217495,0.142904,-67.120938,4.712958
0.020000,11.095875,6.850743,0.439266,1.193497,-1.199885,-67.139472,4.712952
0.020000,11.095888,6.827606,0.462403,1.156843,-1.832716,-31.641525,4.712943
0.020000,11.095900,6.805258,0.484751,1.117407,-1.971800,-6.954214,4.712930
0.020000,11.095912,6.783699,0.506310,1.077964,-1.972178,-0.018894,4.712914
0.020000,11.095922,6.762929,0.527081,1.038513,-1.972542,-0.018225,4.712896
0.020000,11.095932,6.742948,0.547062,0.999055,-1.972893,-0.017557,4.712875
0.020000,11.095941,6.723756,0.566254,0.959590,-1.973231,-0.016889,4.712852
0.020000,11.095950,6.705353,0.584656,0.920119,-1.973556,-0.016221,4.712828
0.020000,11.095957,6.687741,0.602269,0.880642,-1.973867,-0.015553,4.712802
0.020000,11.095964,6.670917,0.619092,0.841158,-1.974164,-0.014885,4.712776
0.020000,11.095970,6.654884,0.635125,0.801669,-1.974449,-0.014217,4.712749
0.020000,11.095975,6.639640,0.650369,0.762175,-1.974720,-0.013549,4.712721
0.020000,11.095980,6.625187,0.664822,0.722676,-1.974977,-0.012881,4.712693
0.020000,11.095984,6.611524,0.678486,0.683171,-1.975222,-0.012213,4.712666
0.020000,11.095987,6.598650,0.691359,0.643662,-1.975452,-0.011545,4.712638
0.020000,11.095990,6.586567,0.703442,0.604149,-1.975670,-0.010877,4.712612
0.020000,11.095992,6.575275,0.714735,0.564631,-1.975874,-0.010209,4.712586
0.020000,11.095994,6.564773,0.725237,0.525110,-1.976065,-0.009541,4.712561
0.020000,11.095996,6.555061,0.734948,0.485585,-1.976242,-0.008873,4.712537
0.020000,11.095997,6.546140,0.743870,0.446057,-1.976407,-0.008204,4.712514
0.020000,11.095998,6.538009,0.752000,0.406526,-1.976557,-0.007536,4.712493
0.020000,11.095999,6.530669,0.759340,0.366992,-1.976695,-0.006868,4.712474
0.020000,11.095999,6.524120,0.765889,0.327455,-1.976819,-0.006200,4.712456
0.020000,11.096000,6.518362,0.771647,0.287917,-1.976929,-0.005532,4.712441
0.020000,11.096000,6.513394,0.776615,0.248376,-1.977027,-0.004864,4.712427
0.020000,11.096000,6.509218,0.780792,0.208834,-1.977110,-0.004196,4.712415
0.020000,11.096000,6.505832,0.784177,0.169291,-1.977181,-0.003528,4.712406
0.020000,11.096000,6.503237,0.786772,0.129746,-1.977238,-0.002860,4.712398
0.020000,11.096000,6.501433,0.788576,0.090200,-1.977282,-0.002192,4.712393
0.020000,11.096000,6.500420,0.789589,0.050654,-1.977313,-0.001524,4.712390
0.020000,11.096000,6.500056,0.789954,0.018217,-1.621837,17.773773,4.712389
0.020000,11.096000,6.500000,0.790009,0.002777,-0.772016,42.491060,4.712389
0.020000,11.096000,6.500000,0.790009,0.000000,-0.138841,31.658731,4.712389
