dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.705700,7.289812,0.000198,0.019751,0.987555,49.377740,4.712387
0.020000,10.705700,7.289615,0.000988,0.059253,1.975110,49.377740,4.712390
0.020000,10.705700,7.288035,0.002568,0.098755,1.975110,-0.000000,4.712394
0.020000,10.705700,7.285664,0.004938,0.138258,1.975110,0.000000,4.712401
0.020000,10.705700,7.282504,0.008098,0.177760,1.975110,0.000000,4.712410
0.020000,10.705700,7.278554,0.012048,0.217262,1.975110,-0.000000,4.712421
0.020000,10.705700,7.273814,0.016788,0.256764,1.975110,0.000000,4.712434
0.020000,10.705700,7.268283,0.022319,0.296266,1.975110,-0.000000,4.712450
0.020000,10.705701,7.261963,0.028639,0.335769,1.975110,-0.000000,4.712467
0.020000,10.705701,7.254853,0.035749,0.375271,1.975110,0.000000,4.712486
0.020000,10.705702,7.246952,0.043650,0.414773,1.975110,-0.000000,4.712506
0.020000,10.705703,7.238262,0.052340,0.454275,1.975110,0.000000,4.712528
0.020000,10.705705,7.228781,0.061821,0.493777,1.975110,0.000000,4.712552
0.020000,10.705706,7.218511,0.072092,0.533280,1.975110,0.000000,4.712576
0.020000,10.705709,7.207450,0.083152,0.572782,1.975110,-0.000000,4.712602
0.020000,10.705711,7.195599,0.095003,0.612284,1.975110,0.000000,4.712629
0.020000,10.705715,7.182959,0.107643,0.651786,1.975110,-0.000000,4.712656
0.020000,10.705718,7.169528,0.121074,0.691288,1.975110,0.000000,4.712684
0.020000,10.705723,7.155307,0.135295,0.730791,1.975110,-0.000000,4.712712
0.020000,10.705728,7.140296,0.150306,0.770293,1.975110,0.000000,4.712739
0.020000,10.705734,7.124495,0.166107,0.809795,1.975110,0.000000,4.712767
0.020000,10.705740,7.107905,0.182698,0.849297,1.975110,0.000000,4.712794
0.020000,10.705747,7.090524,0.200079,0.888799,1.975110,-0.000000,4.712820
0.020000,10.705755,7.072353,0.218250,0.928302,1.975110,0.000000,4.712844
0.020000,10.705764,7.053392,0.237211,0.967804,1.975110,-0.000000,4.712868
0.020000,10.705774,7.033640,0.256962,1.007306,1.975110,0.000000,4.712889
0.020000,10.705784,7.013099,0.277503,1.046808,1.975110,-0.000000,4.712909
0.020000,10.705796,6.991768,0.298834,1.086310,1.975110,0.000000,4.712925
0.020000,10.705808,6.969647,0.320955,1.125812,1.975110,0.000000,4.712939
0.020000,10.705820,6.946736,0.343867,1.165315,1.975110,0.000000,4.712950
0.020000,10.705834,6.923034,0.367568,1.204817,1.975110,-0.000000,4.712957
0.020000,10.705848,6.898740,0.391862,1.224568,0.987555,-49.377740,4.712960
0.020000,10.705861,6.874391,0.416211,1.210364,-0.710185,-84.886985,4.712958
0.020000,10.705875,6.850523,0.440079,1.176409,-1.697740,-49.377740,4.712952
0.020000,10.705888,6.827390,0.463212,1.136907,-1.975110,-13.868494,4.712943
0.020000,10.705900,6.805047,0.485555,1.097405,-1.975110,-0.000000,4.712930
0.020000,10.705912,6.783494,0.507108,1.057903,-1.975110,0.000000,4.712914
0.020000,10.705922,6.762731,0.527871,1.018401,-1.975110,0.000000,4.712896
0.020000,10.705932,6.742758,0.547844,0.978898,-1.975110,-0.000000,4.712875
0.020000,10.705941,6.723575,0.567027,0.939396,-1.975110,0.000000,4.712852
0.020000,10.705950,6.705182,0.585420,0.899894,-1.975110,-0.000000,4.712828
0.020000,10.705957,6.687579,0.603023,0.860392,-1.975110,0.000000,4.712802
0.020000,10.705964,6.670767,0.619836,0.820890,-1.975110,0.000000,4.712776
0.020000,10.705970,6.654744,0.635859,0.781388,-1.975110,-0.000000,4.712749
0.020000,10.705975,6.639511,0.651091,0.741885,-1.975110,0.000000,4.712721
0.020000,10.705980,6.625068,0.665534,0.702383,-1.975110,0.000000,4.712693
0.020000,10.705984,6.611416,0.679187,0.662881,-1.975110,-0.000000,4.712666
0.020000,10.705987,6.598553,0.692049,0.623379,-1.975110,0.000000,4.712638
0.020000,10.705990,6.586481,0.704122,0.583877,-1.975110,-0.000000,4.712612
0.020000,10.705992,6.575198,0.715404,0.544374,-1.975110,0.000000,4.712586
0.020000,10.705994,6.564706,0.725897,0.504872,-1.975110,0.000000,4.712561
0.020000,10.705996,6.555003,0.735599,0.465370,-1.975110,-0.000000,4.712537
0.020000,10.705997,6.546091,0.744511,0.425868,-1.975110,0.000000,4.712514
0.020000,10.705998,6.537968,0.752634,0.386366,-1.975110,-0.000000,4.712493
0.020000,10.705999,6.530636,0.759966,0.346863,-1.975110,0.000000,4.712474
0.020000,10.705999,6.524094,0.766508,0.307361,-1.975110,0.000000,4.712456
0.020000,10.706000,6.518342,0.772261,0.267859,-1.975110,0.000000,4.712441
0.020000,10.706000,6.513380,0.777223,0.228357,-1.975110,-0.000000,4.712427
0.020000,10.706000,6.509207,0.781395,0.188855,-1.975110,0.000000,4.712415
0.020000,10.706000,6.505825,0.784777,0.149352,-1.975110,0.000000,4.712406
0.020000,10.706000,6.503233,0.787369,0.109850,-1.975110,0.000000,4.712398
0.020000,10.706000,6.501431,0.789171,0.070348,-1.975110,0.000000,4.712393
0.020000,10.706000,6.500419,0.790183,0.030846,-1.975110,-0.000000,4.712390
0.020000,10.706000,6.500055,0.790547,0.005547,-1.264925,35.509246,4.712389
0.020000,10.706000,6.500000,0.790602,0.000000,-0.277370,49.377740,4.712389
0.020000,10.706000,6.500000,0.790602,0.000000,0.000000,13.868494,4.712389
