dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.315700,7.289813,0.000198,0.019751,0.987555,49.377740,4.712387
0.020000,10.315700,7.289614,0.000396,0.009932,-0.490972,-73.926324,4.712390
0.020000,10.315700,7.288033,0.001978,0.079093,3.458077,197.452455,4.712394
0.020000,10.315700,7.285660,0.004351,0.118639,1.977297,-74.039028,4.712401
0.020000,10.315700,7.282496,0.007514,0.158184,1.977257,-0.002004,4.712410
0.020000,10.315700,7.278542,0.011469,0.197728,1.977203,-0.002672,4.712421
0.020000,10.315700,7.273796,0.016214,0.237271,1.977137,-0.003340,4.712434
0.020000,10.315700,7.268260,0.021751,0.276812,1.977056,-0.004008,4.712450
0.020000,10.315701,7.261933,0.028078,0.316351,1.976963,-0.004676,4.712467
0.020000,10.315701,7.254815,0.035196,0.355889,1.976856,-0.005345,4.712486
0.020000,10.315702,7.246907,0.043104,0.395423,1.976736,-0.006013,4.712506
0.020000,10.315703,7.238207,0.051803,0.434955,1.976602,-0.006681,4.712528
0.020000,10.315705,7.228718,0.061293,0.474484,1.976455,-0.007349,4.712552
0.020000,10.315706,7.218438,0.071573,0.514010,1.976295,-0.008017,4.712576
0.020000,10.315709,7.207367,0.082644,0.553533,1.976121,-0.008685,4.712602
0.020000,10.315711,7.195506,0.094505,0.593051,1.975934,-0.009353,4.712629
0.020000,10.315715,7.182855,0.107156,0.632566,1.975734,-0.010021,4.712656
0.020000,10.315718,7.169413,0.120598,0.672077,1.975520,-0.010689,4.712684
0.020000,10.315723,7.155181,0.134829,0.711582,1.975293,-0.011357,4.712712
0.020000,10.315728,7.140160,0.149851,0.751083,1.975052,-0.012025,4.712739
0.020000,10.315734,7.124348,0.165662,0.790579,1.974798,-0.012693,4.712767
0.020000,10.315740,7.107747,0.182264,0.830070,1.974531,-0.013361,4.712794
0.020000,10.315747,7.090356,0.199655,0.869555,1.974250,-0.014029,4.712820
0.020000,10.315755,7.072175,0.217836,0.909034,1.973957,-0.014697,4.712844
0.020000,10.315764,7.053205,0.236806,0.948507,1.973649,-0.015366,4.712868
0.020000,10.315774,7.033445,0.256565,0.987974,1.973329,-0.016034,4.712889
0.020000,10.315784,7.012897,0.277114,1.027434,1.972995,-0.016702,4.712909
0.020000,10.315796,6.991559,0.298452,1.066887,1.972647,-0.017370,4.712925
0.020000,10.315808,6.969432,0.320578,1.106332,1.972286,-0.018038,4.712939
0.020000,10.315820,6.946517,0.343494,1.145770,1.971912,-0.018706,4.712950
0.020000,10.315834,6.922813,0.367198,1.185201,1.971525,-0.019374,4.712957
0.020000,10.315848,6.898518,0.391493,1.214748,1.477341,-24.709175,4.712960
0.020000,10.315862,6.874169,0.415841,1.217437,0.134466,-67.143788,4.712958
0.020000,10.315875,6.850304,0.439707,1.193276,-1.208040,-67.125253,4.712952
0.020000,10.315888,6.827174,0.462836,1.156474,-1.840134,-31.604709,4.712943
0.020000,10.315900,6.804836,0.485174,1.116905,-1.978419,-6.914280,4.712930
0.020000,10.315912,6.783289,0.506721,1.077344,-1.978041,0.018894,4.712914
0.020000,10.315922,6.762533,0.527477,1.037791,-1.977677,0.018225,4.712896
0.020000,10.315932,6.742569,0.547442,0.998244,-1.977326,0.017557,4.712875
0.020000,10.315941,6.723394,0.566616,0.958705,-1.976988,0.016889,4.712852
0.020000,10.315950,6.705011,0.585000,0.919171,-1.976664,0.016221,4.712828
0.020000,10.315957,6.687418,0.602592,0.879644,-1.976353,0.015553,4.712802
0.020000,10.315964,6.670616,0.619395,0.840123,-1.976055,0.014885,4.712776
0.020000,10.315970,6.654604,0.635407,0.800608,-1.975770,0.014217,4.712749
0.020000,10.315975,6.639382,0.650629,0.761098,-1.975500,0.013549,4.712721
0.020000,10.315980,6.624950,0.665061,0.721593,-1.975242,0.012881,4.712693
0.020000,10.315984,6.611308,0.678703,0.682093,-1.974998,0.012213,4.712666
0.020000,10.315987,6.598456,0.691555,0.642598,-1.974767,0.011545,4.712638
0.020000,10.315990,6.586394,0.703617,0.603107,-1.974549,0.010877,4.712612
0.020000,10.315992,6.575121,0.714889,0.563620,-1.974345,0.010209,4.712586
0.020000,10.315994,6.564639,0.725372,0.524137,-1.974154,0.009541,4.712561
0.020000,10.315996,6.554945,0.735065,0.484657,-1.973977,0.008872,4.712537
0.020000,10.315997,6.546042,0.743969,0.445181,-1.973813,0.008204,4.712514
0.020000,10.315998,6.537928,0.752083,0.405708,-1.973662,0.007536,4.712493
0.020000,10.315999,6.530603,0.759408,0.366237,-1.973525,0.006868,4.712474
0.020000,10.315999,6.524068,0.765943,0.326769,-1.973401,0.006200,4.712456
0.020000,10.316000,6.518322,0.771689,0.287303,-1.973290,0.005532,4.712441
0.020000,10.316000,6.513365,0.776646,0.247840,-1.973193,0.004864,4.712427
0.020000,10.316000,6.509197,0.780813,0.208377,-1.973109,0.004196,4.712415
0.020000,10.316000,6.505819,0.784192,0.168917,-1.973038,0.003528,4.712406
0.020000,10.316000,6.503230,0.786781,0.129457,-1.972981,0.002860,4.712398
0.020000,10.316000,6.501430,0.788581,0.089998,-1.972937,0.002192,4.712393
0.020000,10.316000,6.500419,0.789592,0.050540,-1.972907,0.001524,4.712390
0.020000,10.316000,6.500055,0.789955,0.018176,-1.618197,17.735473,4.712389
0.020000,10.316000,6.500000,0.790011,0.002771,-0.770279,42.395926,4.712389
0.020000,10.316000,6.500000,0.790011,0.000000,-0.138529,31.587503,4.712389
