dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.169180,0.365812,0.000200,0.019955,0.997727,49.886364,1.548953
0.020000,12.169180,0.365806,0.000206,0.000299,-0.982756,-99.024186,1.548968
0.020000,12.169180,0.365794,0.000218,0.000599,0.014972,49.886409,1.548999
0.020000,12.169179,0.365776,0.000235,0.000898,0.014974,0.000090,1.549045
0.020000,12.169231,0.368132,0.002593,0.117855,5.847843,291.643480,1.549106
0.020000,12.169316,0.372093,0.006554,0.198048,4.009634,-91.910460,1.549183
0.020000,12.169419,0.376845,0.011307,0.237657,1.980476,-101.457895,1.549275
0.020000,12.169538,0.382389,0.016852,0.277267,1.980466,-0.000484,1.549383
0.020000,12.169673,0.388725,0.023190,0.316876,1.980452,-0.000718,1.549506
0.020000,12.169825,0.395853,0.030319,0.356485,1.980462,0.000488,1.549644
0.020000,12.169991,0.403773,0.038241,0.396094,1.980437,-0.001244,1.549798
0.020000,12.170174,0.412485,0.046955,0.435702,1.980423,-0.000699,1.549967
0.020000,12.170371,0.421989,0.056461,0.475311,1.980432,0.000437,1.550151
0.020000,12.170582,0.432285,0.066760,0.514919,1.980410,-0.001066,1.550351
0.020000,12.170808,0.443374,0.077850,0.554527,1.980395,-0.000745,1.550567
0.020000,12.171047,0.455254,0.089733,0.594135,1.980385,-0.000515,1.550798
0.020000,12.171299,0.467926,0.102408,0.633742,1.980369,-0.000822,1.551044
0.020000,12.171563,0.481391,0.115875,0.673349,1.980354,-0.000716,1.551306
0.020000,12.171839,0.495647,0.130134,0.712956,1.980353,-0.000085,1.551583
0.020000,12.172126,0.510696,0.145185,0.752562,1.980312,-0.002035,1.551876
0.020000,12.172423,0.526536,0.161029,0.792169,1.980306,-0.000279,1.552184
0.020000,12.172730,0.543169,0.177664,0.831774,1.980295,-0.000569,1.552508
0.020000,12.173046,0.560594,0.195092,0.871380,1.980263,-0.001589,1.552848
0.020000,12.173370,0.578810,0.213311,0.910985,1.980243,-0.000986,1.553203
0.020000,12.173701,0.597819,0.232323,0.950589,1.980239,-0.000209,1.553574
0.020000,12.174038,0.617620,0.252127,0.990193,1.980193,-0.002303,1.553960
