dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.559087,0.357294,0.000200,0.019955,0.997727,49.886364,1.548953
0.020000,12.559087,0.357294,0.000998,0.059864,1.995455,49.886364,1.548968
0.020000,12.559087,0.357294,0.002594,0.099773,1.995455,0.000000,1.548999
0.020000,12.559087,0.357294,0.004989,0.139682,1.995455,-0.000000,1.549045
0.020000,12.559139,0.359674,0.008181,0.179591,1.995455,-0.000000,1.549106
0.020000,12.559225,0.363664,0.012172,0.219500,1.995455,0.000000,1.549183
0.020000,12.559329,0.368452,0.016961,0.259409,1.995455,0.000000,1.549275
0.020000,12.559449,0.374038,0.022549,0.299318,1.995455,0.000000,1.549383
0.020000,12.559585,0.380422,0.028934,0.339227,1.995455,-0.000000,1.549506
0.020000,12.559737,0.387604,0.036118,0.379136,1.995455,0.000000,1.549644
0.020000,12.559905,0.395584,0.044100,0.419045,1.995455,-0.000000,1.549798
0.020000,12.560089,0.404362,0.052880,0.458955,1.995455,0.000000,1.549967
0.020000,12.560288,0.413938,0.062458,0.498864,1.995455,-0.000000,1.550151
0.020000,12.560501,0.424312,0.072834,0.538773,1.995455,0.000000,1.550351
0.020000,12.560728,0.435485,0.084009,0.578682,1.995455,-0.000000,1.550567
0.020000,12.560969,0.447455,0.095981,0.618591,1.995455,0.000000,1.550798
0.020000,12.561223,0.460223,0.108752,0.658500,1.995455,0.000000,1.551044
0.020000,12.561489,0.473790,0.122321,0.698409,1.995455,0.000000,1.551306
0.020000,12.561767,0.488154,0.136689,0.738318,1.995455,0.000000,1.551583
0.020000,12.562056,0.503317,0.151854,0.778227,1.995455,0.000000,1.551876
0.020000,12.562356,0.519278,0.167818,0.818136,1.995455,-0.000000,1.552184
0.020000,12.562665,0.536037,0.184580,0.858045,1.995455,-0.000000,1.552508
0.020000,12.562983,0.553594,0.202140,0.897955,1.995455,0.000000,1.552848
0.020000,12.563309,0.571949,0.220498,0.937864,1.995455,0.000000,1.553203
0.020000,12.563643,0.591103,0.239654,0.977773,1.995455,-0.000000,1.553574
0.020000,12.563983,0.611054,0.259609,1.017682,1.995455,0.000000,1.553960
0.020000,12.564328,0.631804,0.280361,1.057591,1.995455,0.000000,1.554362
0.020000,12.564677,0.653352,0.301912,1.097500,1.995455,0.000000,1.554780
0.020000,12.565030,0.675699,0.324261,1.137409,1.995455,0.000000,1.555213
0.020000,12.565386,0.698843,0.347409,1.177318,1.995455,0.000000,1.555662
0.020000,12.565743,0.722786,0.371354,1.217227,1.995455,0.000000,1.556127
0.020000,12.566100,0.747527,0.396098,1.257136,1.995455,0.000000,1.556608
0.020000,12.566456,0.773066,0.421640,1.297045,1.995455,-0.000000,1.557105
0.020000,12.566810,0.799404,0.447980,1.336955,1.995455,-0.000000,1.557617
0.020000,12.567160,0.826540,0.475118,1.376864,1.995455,0.000000,1.558145
0.020000,12.567506,0.854474,0.503054,1.416773,1.995455,0.000000,1.558690
0.020000,12.567846,0.883207,0.531789,1.456682,1.995455,0.000000,1.559250
0.020000,12.568178,0.912738,0.561321,1.496591,1.995455,0.000000,1.559826
0.020000,12.568502,0.943067,0.591652,1.536500,1.995455,-0.000000,1.560418
0.020000,12.568816,0.974194,0.622781,1.576409,1.995455,0.000000,1.561026
0.020000,12.569118,1.006120,0.654709,1.616318,1.995455,0.000000,1.561651
0.020000,12.569406,1.038844,0.687434,1.656227,1.995455,0.000000,1.562291
0.020000,12.569681,1.072367,0.720958,1.696136,1.995455,0.000000,1.562948
0.020000,12.569938,1.106688,0.755280,1.736045,1.995455,0.000000,1.563621
0.020000,12.570178,1.141807,0.790400,1.775955,1.995455,0.000000,1.564310
0.020000,12.570399,1.177724,0.826318,1.815864,1.995455,0.000000,1.565015
0.020000,12.570598,1.214440,0.863034,1.855773,1.995455,-0.000000,1.565737
0.020000,12.570774,1.251954,0.900549,1.895682,1.995455,0.000000,1.566475
0.020000,12.570925,1.290267,0.938861,1.935591,1.995455,0.000000,1.567230
0.020000,12.571049,1.329377,0.977972,1.975500,1.995455,-0.000000,1.568001
0.020000,12.571145,1.369286,1.017881,2.015409,1.995455,0.000000,1.568788
0.020000,12.571210,1.409994,1.058589,2.055318,1.995455,-0.000000,1.569592
0.020000,12.571243,1.451499,1.100094,2.095227,1.995455,0.000000,1.570413
0.020000,12.571242,1.493803,1.142398,2.135136,1.995455,-0.000000,1.571250
0.020000,12.571204,1.536905,1.185500,2.175045,1.995455,0.000000,1.572104
0.020000,12.571127,1.580804,1.229400,2.214955,1.995455,0.000000,1.572974
0.020000,12.571010,1.625502,1.274098,2.254864,1.995455,-0.000000,1.573862
0.020000,12.570850,1.670999,1.319594,2.294773,1.995455,0.000000,1.574766
0.020000,12.570645,1.717293,1.365889,2.334682,1.995455,-0.000000,1.575687
0.020000,12.570393,1.764385,1.412981,2.374591,1.995455,0.000000,1.576625
