dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.948994,0.348775,0.000200,0.019955,0.997727,49.886364,1.548953
0.020000,12.948994,0.348781,0.000206,0.000299,-0.982756,-99.024186,1.548968
0.020000,12.948995,0.348793,0.000218,0.000599,0.014972,49.886409,1.548999
0.020000,12.948995,0.348811,0.000235,0.000898,0.014974,0.000090,1.549045
0.020000,12.949047,0.351216,0.002640,0.120251,5.967628,297.632721,1.549106
0.020000,12.949134,0.355236,0.006661,0.201043,4.039594,-96.401702,1.549183
0.020000,12.949238,0.360060,0.011486,0.241252,2.010446,-101.457406,1.549275
0.020000,12.949359,0.365687,0.017116,0.281461,2.010447,0.000077,1.549383
0.020000,12.949496,0.372119,0.023549,0.321670,2.010446,-0.000067,1.549506
0.020000,12.949650,0.379355,0.030787,0.361879,2.010471,0.001252,1.549644
0.020000,12.949820,0.387395,0.038828,0.402088,2.010463,-0.000412,1.549798
0.020000,12.950004,0.396239,0.047674,0.442298,2.010467,0.000235,1.549967
0.020000,12.950205,0.405887,0.057324,0.482508,2.010497,0.001483,1.550151
0.020000,12.950419,0.416340,0.067779,0.522717,2.010498,0.000050,1.550351
0.020000,12.950648,0.427596,0.079037,0.562928,2.010508,0.000470,1.550567
0.020000,12.950891,0.439656,0.091100,0.603138,2.010523,0.000797,1.550798
0.020000,12.951147,0.452521,0.103967,0.643349,2.010535,0.000579,1.551044
0.020000,12.951415,0.466189,0.117638,0.683560,2.010551,0.000780,1.551306
0.020000,12.951695,0.480662,0.132114,0.723771,2.010581,0.001514,1.551583
0.020000,12.951986,0.495939,0.147393,0.763983,2.010573,-0.000373,1.551876
0.020000,12.952288,0.512020,0.163477,0.804195,2.010604,0.001502,1.552184
0.020000,12.952600,0.528905,0.180365,0.844408,2.010630,0.001300,1.552508
0.020000,12.952920,0.546595,0.198058,0.884620,2.010637,0.000357,1.552848
0.020000,12.953249,0.565088,0.216554,0.924833,2.010658,0.001061,1.553203
0.020000,12.953585,0.584386,0.235855,0.965047,2.010697,0.001941,1.553574
0.020000,12.953927,0.604489,0.255961,1.005261,2.010695,-0.000094,1.553960
0.020000,12.954275,0.625395,0.276870,1.045476,2.010732,0.001868,1.554362
0.020000,12.954627,0.647106,0.298584,1.085691,2.010743,0.000557,1.554780
0.020000,12.954983,0.669621,0.321102,1.125907,2.010786,0.002133,1.555213
0.020000,12.955341,0.692941,0.344425,1.166123,2.010803,0.000837,1.555662
0.020000,12.955701,0.717065,0.368551,1.206339,2.010828,0.001252,1.556127
0.020000,12.956061,0.741994,0.393482,1.246556,2.010867,0.001982,1.556608
0.020000,12.956419,0.767727,0.419218,1.286774,2.010879,0.000563,1.557105
0.020000,12.956776,0.794264,0.445758,1.326992,2.010915,0.001825,1.557617
0.020000,12.957129,0.821606,0.473102,1.367211,2.010942,0.001322,1.558145
0.020000,12.957477,0.849753,0.501251,1.407431,2.010987,0.002282,1.558690
0.020000,12.957820,0.878704,0.530204,1.447651,2.011005,0.000878,1.559250
0.020000,12.958155,0.908459,0.559961,1.487872,2.011039,0.001719,1.559826
0.020000,12.958481,0.939019,0.590523,1.528093,2.011073,0.001672,1.560418
0.020000,12.958797,0.970384,0.621889,1.568316,2.011123,0.002517,1.561026
0.020000,12.959101,1.002553,0.654060,1.608538,2.011131,0.000414,1.561651
0.020000,12.959392,1.035527,0.687035,1.648762,2.011194,0.003142,1.562291
0.020000,12.959669,1.069306,0.720815,1.688986,2.011212,0.000872,1.562948
0.020000,12.959928,1.103889,0.755399,1.729212,2.011256,0.002233,1.563621
0.020000,12.960170,1.139277,0.790788,1.769438,2.011297,0.002050,1.564310
0.020000,12.960392,1.175470,0.826981,1.809664,2.011335,0.001882,1.565015
0.020000,12.960593,1.212467,0.863979,1.849892,2.011369,0.001729,1.565737
0.020000,12.960770,1.250269,0.901782,1.890120,2.011424,0.002716,1.566475
0.020000,12.960922,1.288876,0.940389,1.930349,2.011449,0.001257,1.567230
0.020000,12.961048,1.328287,0.979800,1.970579,2.011511,0.003117,1.568001
0.020000,12.961144,1.368503,1.020016,2.010810,2.011539,0.001411,1.568788
0.020000,12.961210,1.409524,1.061037,2.051042,2.011587,0.002367,1.569592
0.020000,12.961243,1.451349,1.102863,2.091274,2.011631,0.002215,1.570413
0.020000,12.961242,1.493980,1.145493,2.131508,2.011677,0.002279,1.571250
0.020000,12.961204,1.537414,1.188928,2.171743,2.011734,0.002870,1.572104
0.020000,12.961126,1.581654,1.233167,2.211978,2.011761,0.001347,1.572974
0.020000,12.961008,1.626698,1.278211,2.252214,2.011827,0.003315,1.573862
0.020000,12.960847,1.672547,1.324061,2.292452,2.011867,0.002001,1.574766
0.020000,12.960640,1.719200,1.370714,2.332690,2.011915,0.002407,1.575687
0.020000,12.960386,1.766658,1.418173,2.372929,2.011966,0.002509,1.576625
0.020000,12.960082,1.814920,1.466436,2.413170,2.012015,0.002486,1.577581
0.020000,12.959725,1.863987,1.515505,2.453411,2.012078,0.003116,1.578553
0.020000,12.959313,1.913859,1.565378,2.493653,2.012110,0.001605,1.579542
0.020000,12.958845,1.964535,1.616056,2.533897,2.012183,0.003677,1.580548
0.020000,12.958316,2.016015,1.667538,2.574142,2.012222,0.001921,1.581572
0.020000,12.957726,2.068299,1.719826,2.614387,2.012279,0.002863,1.582613
0.020000,12.957073,2.121187,1.772718,2.644578,1.509560,-25.135943,1.583667
0.020000,12.956361,2.174275,1.825811,2.654659,0.504042,-50.275884,1.584726
0.020000,12.955594,2.227363,1.878905,2.654685,0.001270,-25.138616,1.585787
0.020000,12.954770,2.280451,1.931999,2.654710,0.001267,-0.000158,1.586849
0.020000,12.953889,2.333538,1.985093,2.654735,0.001264,-0.000159,1.587912
0.020000,12.952952,2.386625,2.038189,2.654760,0.001261,-0.000160,1.588977
0.020000,12.951959,2.439712,2.091284,2.654786,0.001260,-0.000048,1.590043
0.020000,12.950908,2.492798,2.144381,2.654811,0.001254,-0.000261,1.591110
0.020000,12.949802,2.545883,2.197477,2.654836,0.001250,-0.000197,1.592179
0.020000,12.948638,2.598967,2.250574,2.654861,0.001247,-0.000166,1.593249
0.020000,12.947417,2.652051,2.303672,2.654885,0.001244,-0.000167,1.594320
0.020000,12.946140,2.705134,2.356770,2.654910,0.001240,-0.000168,1.595392
0.020000,12.944806,2.758216,2.409869,2.654935,0.001237,-0.000170,1.596466
0.020000,12.943414,2.811297,2.462968,2.654960,0.001234,-0.000171,1.597540
0.020000,12.941966,2.864377,2.516068,2.654984,0.001230,-0.000172,1.598617
0.020000,12.940460,2.917455,2.569168,2.655009,0.001227,-0.000174,1.599694
0.020000,12.938897,2.970533,2.622269,2.655033,0.001224,-0.000148,1.600773
0.020000,12.937277,3.023609,2.675370,2.655058,0.001220,-0.000187,1.601852
0.020000,12.935599,3.076685,2.728472,2.655082,0.001216,-0.000212,1.602934
0.020000,12.933864,3.129758,2.781574,2.655106,0.001212,-0.000179,1.604016
0.020000,12.932072,3.182831,2.834676,2.655130,0.001209,-0.000180,1.605100
0.020000,12.930222,3.235902,2.887779,2.655155,0.001205,-0.000182,1.606184
0.020000,12.928314,3.288971,2.940883,2.655179,0.001201,-0.000183,1.607271
0.020000,12.926349,3.342039,2.993987,2.655203,0.001198,-0.000184,1.608358
0.020000,12.924326,3.395104,3.047092,2.655226,0.001194,-0.000186,1.609446
0.020000,12.922245,3.448169,3.100197,2.655250,0.001190,-0.000187,1.610536
0.020000,12.920106,3.501231,3.153302,2.655274,0.001186,-0.000197,1.611627
0.020000,12.917909,3.554292,3.206408,2.655298,0.001182,-0.000219,1.612719
0.020000,12.915655,3.607350,3.259514,2.655321,0.001178,-0.000171,1.613813
0.020000,12.913342,3.660407,3.312621,2.655345,0.001175,-0.000192,1.614907
0.020000,12.910971,3.713461,3.365729,2.655368,0.001171,-0.000194,1.616003
0.020000,12.908542,3.766513,3.418837,2.655391,0.001167,-0.000195,1.617100
0.020000,12.906055,3.819563,3.471945,2.655415,0.001163,-0.000196,1.618198
0.020000,12.903509,3.872611,3.525054,2.655438,0.001159,-0.000198,1.619298
0.020000,12.900905,3.925656,3.578163,2.655461,0.001155,-0.000199,1.620398
0.020000,12.898242,3.978699,3.631272,2.655484,0.001151,-0.000200,1.621500
0.020000,12.895521,4.031740,3.684383,2.655507,0.001147,-0.000202,1.622603
0.020000,12.892742,4.084777,3.737493,2.655530,0.001140,-0.000338,1.623707
0.020000,12.889904,4.137813,3.790604,2.655552,0.001138,-0.000092,1.624812
0.020000,12.887007,4.190845,3.843716,2.655575,0.001134,-0.000202,1.625919
0.020000,12.884051,4.243875,3.896828,2.655598,0.001130,-0.000207,1.627026
0.020000,12.881037,4.296902,3.949940,2.655620,0.001126,-0.000208,1.628135
0.020000,12.877964,4.349925,4.003053,2.655643,0.001122,-0.000210,1.629245
0.020000,12.874832,4.402946,4.056166,2.655665,0.001118,-0.000211,1.630356
0.020000,12.871641,4.455964,4.109280,2.655687,0.001113,-0.000212,1.631468
0.020000,12.868391,4.508979,4.162394,2.655710,0.001109,-0.000214,1.632582
0.020000,12.865082,4.561990,4.215509,2.655732,0.001105,-0.000215,1.633696
0.020000,12.861713,4.614998,4.268624,2.655754,0.001098,-0.000338,1.634812
0.020000,12.858286,4.668003,4.321739,2.655775,0.001094,-0.000220,1.635928
0.020000,12.854799,4.721005,4.374855,2.655797,0.001091,-0.000113,1.637046
0.020000,12.851253,4.774002,4.427972,2.655819,0.001087,-0.000220,1.638165
0.020000,12.847648,4.826997,4.481089,2.655841,0.001083,-0.000222,1.639285
0.020000,12.843983,4.879987,4.534206,2.655862,0.001078,-0.000223,1.640406
0.020000,12.840259,4.932974,4.587324,2.655884,0.001074,-0.000224,1.641528
0.020000,12.836475,4.985958,4.640442,2.655905,0.001069,-0.000226,1.642652
0.020000,12.832631,5.038937,4.693560,2.655926,0.001065,-0.000227,1.643776
0.020000,12.828728,5.091912,4.746679,2.655948,0.001060,-0.000228,1.644902
0.020000,12.824766,5.144884,4.799798,2.655969,0.001055,-0.000230,1.646028
0.020000,12.820743,5.197851,4.852918,2.655990,0.001046,-0.000477,1.647156
0.020000,12.816661,5.250814,4.906038,2.656010,0.001044,-0.000082,1.648285
0.020000,12.812519,5.303773,4.959159,2.656031,0.001041,-0.000155,1.649415
0.020000,12.808317,5.356727,5.012280,2.656052,0.001036,-0.000235,1.650545
0.020000,12.804055,5.409678,5.065402,2.656073,0.001032,-0.000236,1.651677
0.020000,12.799734,5.462623,5.118523,2.656093,0.001027,-0.000237,1.652810
0.020000,12.795352,5.515565,5.171646,2.656114,0.001022,-0.000239,1.653944
0.020000,12.790910,5.568501,5.224768,2.656134,0.001017,-0.000240,1.655080
0.020000,12.786407,5.621433,5.277891,2.656154,0.001013,-0.000241,1.656216
0.020000,12.781845,5.674360,5.331015,2.656174,0.001008,-0.000243,1.657353
0.020000,12.777223,5.727283,5.384139,2.656194,0.001003,-0.000244,1.658491
0.020000,12.772540,5.780200,5.437263,2.656214,0.000994,-0.000426,1.659630
0.020000,12.767796,5.833113,5.490388,2.656234,0.000988,-0.000306,1.660770
0.020000,12.762993,5.886020,5.543513,2.656254,0.000988,-0.000024,1.661912
0.020000,12.758129,5.938923,5.596638,2.656274,0.000983,-0.000249,1.663054
0.020000,12.753204,5.991820,5.649764,2.656293,0.000978,-0.000250,1.664197
0.020000,12.748219,6.044712,5.702890,2.656313,0.000973,-0.000252,1.665341
