dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.213337,6.135822,0.000200,0.019955,0.997727,49.886364,3.138860
0.020000,14.213534,6.135821,0.000397,0.009864,-0.504503,-75.111501,3.139366
0.020000,14.213929,6.135821,0.000792,0.019741,0.493806,49.915428,3.140378
0.020000,14.214041,6.135820,0.000903,0.005579,-0.708080,-60.094290,3.141898
0.020000,14.211640,6.135817,0.003304,0.120034,5.722736,321.540822,3.143930
0.020000,14.208643,6.135806,0.006301,0.149871,1.491844,-211.544643,3.146478
0.020000,14.205051,6.135783,0.009893,0.179578,1.485378,-0.323265,3.149548
0.020000,14.200869,6.135743,0.014076,0.209144,1.478314,-0.353208,3.153147
0.020000,14.196096,6.135678,0.018849,0.238641,1.474849,-0.173236,3.157285
0.020000,14.190741,6.135581,0.024205,0.267820,1.458943,-0.795313,3.161968
0.020000,14.184804,6.135445,0.030143,0.296910,1.454498,-0.222275,3.167208
0.020000,14.178292,6.135259,0.036658,0.325727,1.440828,-0.683498,3.173017
0.020000,14.171211,6.135014,0.043744,0.354290,1.428164,-0.633164,3.179407
0.020000,14.163564,6.134698,0.051397,0.382656,1.418284,-0.494040,3.186392
0.020000,14.155361,6.134299,0.059609,0.410623,1.398338,-0.997285,3.193985
0.020000,14.146607,6.133804,0.068377,0.438412,1.389454,-0.444176,3.202203
0.020000,14.137311,6.133198,0.077693,0.465803,1.369581,-0.993655,3.211062
0.020000,14.127480,6.132467,0.087551,0.492872,1.353458,-0.806178,3.220577
0.020000,14.117124,6.131595,0.097944,0.519636,1.338194,-0.763190,3.230769
0.020000,14.106253,6.130563,0.108864,0.546022,1.319283,-0.945563,3.241653
0.020000,14.094875,6.129354,0.120306,0.572081,1.302940,-0.817128,3.253249
0.020000,14.083003,6.127949,0.132261,0.597766,1.284243,-0.934857,3.265573
0.020000,14.070646,6.126328,0.144723,0.623110,1.267212,-0.851553,3.278643
0.020000,14.057817,6.124468,0.157687,0.648169,1.252944,-0.713409,3.292476
0.020000,14.044528,6.122348,0.171144,0.672870,1.235048,-0.894769,3.307086
0.020000,14.030789,6.119945,0.185091,0.697375,1.225272,-0.488838,3.322489
0.020000,14.016613,6.117234,0.199524,0.721622,1.212343,-0.646425,3.338695
0.020000,14.002013,6.114189,0.214439,0.745735,1.205675,-0.333410,3.355711
0.020000,13.987000,6.110784,0.229833,0.769714,1.198922,-0.337658,3.373542
0.020000,13.971585,6.106992,0.245707,0.793731,1.200853,0.096538,3.392189
0.020000,13.955778,6.102782,0.262065,0.817865,1.206716,0.293179,3.411646
0.020000,13.939591,6.098124,0.278909,0.842205,1.216979,0.513150,3.431901
0.020000,13.923032,6.092987,0.296247,0.866887,1.234104,0.856230,3.452935
0.020000,13.906108,6.087337,0.314089,0.892100,1.260677,1.328682,3.474724
0.020000,13.888826,6.081138,0.332449,0.917997,1.294841,1.708188,3.497231
0.020000,13.871191,6.074354,0.351343,0.944729,1.336592,2.087564,3.520414
0.020000,13.853207,6.066947,0.370793,0.972496,1.388360,2.588382,3.544220
0.020000,13.834877,6.058874,0.390823,1.001486,1.449505,3.057272,3.568585
0.020000,13.816200,6.050094,0.411461,1.031885,1.519938,3.521625,3.593438
0.020000,13.797177,6.040562,0.432738,1.063855,1.598494,3.927786,3.618697
0.020000,13.777808,6.030232,0.454689,1.097584,1.686436,4.397104,3.644274
0.020000,13.758091,6.019057,0.477353,1.133184,1.779985,4.677457,3.670072
0.020000,13.738025,6.006988,0.500769,1.170786,1.880126,5.007080,3.695988
0.020000,13.717610,5.993976,0.524978,1.210473,1.984357,5.211521,3.721915
0.020000,13.696844,5.979973,0.550024,1.252294,2.091051,5.334722,3.747744
0.020000,13.675730,5.964929,0.575949,1.296260,2.198298,5.362354,3.773366
0.020000,13.654269,5.948799,0.602796,1.342350,2.304477,5.308913,3.798670
0.020000,13.632465,5.931537,0.630606,1.390506,2.407805,5.166413,3.823551
0.020000,13.610321,5.913102,0.659419,1.440638,2.506598,4.939657,3.847908
0.020000,13.587845,5.893456,0.689272,1.492636,2.599923,4.666226,3.871645
0.020000,13.565041,5.872563,0.720199,1.546364,2.686397,4.323722,3.894673
0.020000,13.541918,5.850394,0.752233,1.601673,2.765430,3.951625,3.916912
0.020000,13.518482,5.826923,0.785401,1.658411,2.836928,3.574899,3.938288
0.020000,13.494740,5.802129,0.819729,1.716423,2.900575,3.182377,3.958736
0.020000,13.470696,5.775996,0.855240,1.775552,2.956457,2.794075,3.978198
0.020000,13.446354,5.748513,0.891954,1.835665,3.005630,2.458650,3.996624
0.020000,13.421716,5.719671,0.929886,1.896635,3.048542,2.145616,4.013970
0.020000,13.396780,5.689468,0.969053,1.958351,3.085803,1.863040,4.030198
0.020000,13.371540,5.657903,1.009468,2.020725,3.118696,1.644666,4.045274
0.020000,13.345989,5.624983,1.051141,2.083671,3.147277,1.429053,4.059169
0.020000,13.320111,5.590712,1.094085,2.147175,3.175216,1.396937,4.071854
0.020000,13.293890,5.555100,1.138308,2.211179,3.200186,1.248518,4.083303
0.020000,13.267302,5.518160,1.183822,2.275694,3.225742,1.277788,4.093491
0.020000,13.240318,5.479904,1.230637,2.340740,3.252334,1.329601,4.102390
0.020000,13.212902,5.440349,1.278764,2.406348,3.280355,1.401068,4.109971
0.020000,13.185013,5.399512,1.328216,2.472596,3.312406,1.602550,4.116201
0.020000,13.156710,5.357571,1.378814,2.529882,2.864338,-22.403424,4.121029
0.020000,13.128153,5.314879,1.430176,2.568106,1.911178,-47.657977,4.124408
0.020000,13.099397,5.271640,1.482104,2.596415,1.415456,-24.786115,4.126335
0.020000,13.070381,5.227898,1.534595,2.624530,1.405761,-0.484755,4.126821
0.020000,13.041045,5.183695,1.587646,2.652593,1.403148,-0.130669,4.125868
0.020000,13.011322,5.139073,1.641262,2.680755,1.408087,0.246990,4.123470
0.020000,12.981192,5.094142,1.695360,2.704924,1.208444,-9.982161,4.119623
0.020000,12.950747,5.049188,1.749653,2.714652,0.486391,-36.102659,4.114345
0.020000,12.920115,5.004534,1.803804,2.707547,-0.355241,-42.081622,4.107686
0.020000,12.889315,4.960333,1.857678,2.693686,-0.693034,-16.889626,4.099692
0.020000,12.858301,4.916636,1.911262,2.679205,-0.724081,-1.552361,4.090394
0.020000,12.827032,4.873493,1.964545,2.664168,-0.751839,-1.387888,4.079819
0.020000,12.795466,4.830953,2.017517,2.648613,-0.777732,-1.294645,4.067996
0.020000,12.763568,4.789064,2.070168,2.632552,-0.803045,-1.265636,4.054950
0.020000,12.731307,4.747876,2.122488,2.615958,-0.829694,-1.332491,4.040707
0.020000,12.698653,4.707437,2.174464,2.598819,-0.856968,-1.363692,4.025297
0.020000,12.665585,4.667797,2.226086,2.581078,-0.887057,-1.504437,4.008750
0.020000,12.632085,4.629008,2.277338,2.562644,-0.921716,-1.732959,3.991101
0.020000,12.598142,4.591120,2.328207,2.543444,-0.959959,-1.912121,3.972390
0.020000,12.563750,4.554186,2.378674,2.523340,-1.005231,-2.263603,3.952664
0.020000,12.528913,4.518258,2.428718,2.502215,-1.056244,-2.550676,3.931973
0.020000,12.493642,4.483388,2.478317,2.479924,-1.114568,-2.916170,3.910379
0.020000,12.457954,4.449627,2.527443,2.456324,-1.179987,-3.270977,3.887949
0.020000,12.421877,4.417026,2.576068,2.431254,-1.253497,-3.675516,3.864757
