dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.214403,6.525821,0.000200,0.019955,0.997727,49.886364,3.138860
0.020000,14.214403,6.525821,0.000998,0.059864,1.995455,49.886364,3.139366
0.020000,14.214403,6.525821,0.002594,0.099773,1.995455,0.000000,3.140378
0.020000,14.213922,6.525820,0.004989,0.139682,1.995455,-0.000000,3.141898
0.020000,14.210729,6.525816,0.008181,0.179591,1.995455,-0.000000,3.143930
0.020000,14.206737,6.525802,0.012172,0.219500,1.995455,0.000000,3.146478
0.020000,14.201949,6.525771,0.016961,0.259409,1.995455,0.000000,3.149548
0.020000,14.196362,6.525717,0.022549,0.299318,1.995455,0.000000,3.153147
0.020000,14.189976,6.525630,0.028934,0.339227,1.995455,-0.000000,3.157285
0.020000,14.182795,6.525500,0.036118,0.379136,1.995455,0.000000,3.161968
0.020000,14.174815,6.525317,0.044100,0.419045,1.995455,-0.000000,3.167208
0.020000,14.166038,6.525066,0.052880,0.458955,1.995455,0.000000,3.173017
0.020000,14.156466,6.524735,0.062458,0.498864,1.995455,-0.000000,3.179407
0.020000,14.146098,6.524306,0.072834,0.538773,1.995455,0.000000,3.186392
0.020000,14.134938,6.523764,0.084009,0.578682,1.995455,-0.000000,3.193985
0.020000,14.122983,6.523088,0.095981,0.618591,1.995455,0.000000,3.202203
0.020000,14.110239,6.522258,0.108752,0.658500,1.995455,0.000000,3.211062
0.020000,14.096708,6.521251,0.122321,0.698409,1.995455,0.000000,3.220577
0.020000,14.082392,6.520045,0.136689,0.738318,1.995455,0.000000,3.230769
0.020000,14.067294,6.518612,0.151854,0.778227,1.995455,0.000000,3.241653
0.020000,14.051420,6.516926,0.167818,0.818136,1.995455,-0.000000,3.253249
0.020000,14.034774,6.514956,0.184580,0.858045,1.995455,-0.000000,3.265573
0.020000,14.017364,6.512671,0.202140,0.897955,1.995455,0.000000,3.278643
0.020000,13.999196,6.510037,0.220498,0.937864,1.995455,0.000000,3.292476
0.020000,13.980279,6.507020,0.239654,0.977773,1.995455,-0.000000,3.307086
0.020000,13.960623,6.503581,0.259609,1.017682,1.995455,0.000000,3.322489
0.020000,13.940240,6.499683,0.280361,1.057591,1.995455,0.000000,3.338695
0.020000,13.919143,6.495283,0.301912,1.097500,1.995455,0.000000,3.355711
0.020000,13.897348,6.490340,0.324261,1.137409,1.995455,0.000000,3.373542
0.020000,13.874872,6.484810,0.347409,1.177318,1.995455,0.000000,3.392189
0.020000,13.851733,6.478647,0.371354,1.217227,1.995455,0.000000,3.411646
0.020000,13.827955,6.471805,0.396098,1.257136,1.995455,0.000000,3.431901
0.020000,13.803560,6.464237,0.421640,1.297045,1.995455,-0.000000,3.452935
0.020000,13.778577,6.455896,0.447980,1.336955,1.995455,-0.000000,3.474724
0.020000,13.753032,6.446734,0.475118,1.376864,1.995455,0.000000,3.497231
0.020000,13.726959,6.436704,0.503054,1.416773,1.995455,0.000000,3.520414
0.020000,13.700391,6.425760,0.531789,1.456682,1.995455,0.000000,3.544220
0.020000,13.673364,6.413858,0.561321,1.496591,1.995455,0.000000,3.568585
0.020000,13.645915,6.400955,0.591652,1.536500,1.995455,-0.000000,3.593438
0.020000,13.618085,6.387010,0.622781,1.576409,1.995455,0.000000,3.618697
0.020000,13.589915,6.371987,0.654709,1.616318,1.995455,0.000000,3.644274
0.020000,13.561445,6.355851,0.687434,1.656227,1.995455,0.000000,3.670072
0.020000,13.532718,6.338574,0.720958,1.696136,1.995455,0.000000,3.695988
0.020000,13.503775,6.320128,0.755280,1.736045,1.995455,0.000000,3.721915
0.020000,13.474658,6.300493,0.790400,1.775955,1.995455,0.000000,3.747744
0.020000,13.445405,6.279652,0.826318,1.815864,1.995455,0.000000,3.773366
0.020000,13.416055,6.257593,0.863034,1.855773,1.995455,-0.000000,3.798670
0.020000,13.386642,6.234310,0.900549,1.895682,1.995455,0.000000,3.823551
0.020000,13.357198,6.209798,0.938861,1.935591,1.995455,0.000000,3.847908
0.020000,13.327750,6.184060,0.977972,1.975500,1.995455,-0.000000,3.871645
0.020000,13.298324,6.157102,1.017881,2.015409,1.995455,0.000000,3.894673
0.020000,13.268940,6.128931,1.058589,2.055318,1.995455,-0.000000,3.916912
0.020000,13.239613,6.099562,1.100094,2.095227,1.995455,0.000000,3.938288
0.020000,13.210354,6.069009,1.142398,2.135136,1.995455,-0.000000,3.958736
0.020000,13.181170,6.037291,1.185500,2.175045,1.995455,0.000000,3.978198
0.020000,13.152064,6.004429,1.229400,2.214955,1.995455,0.000000,3.996624
0.020000,13.123031,5.970444,1.274098,2.254864,1.995455,-0.000000,4.013970
0.020000,13.094065,5.935361,1.319594,2.294773,1.995455,0.000000,4.030198
0.020000,13.065152,5.899205,1.365889,2.334682,1.995455,-0.000000,4.045274
0.020000,13.036278,5.862004,1.412981,2.374591,1.995455,0.000000,4.059169
0.020000,13.007418,5.823785,1.460872,2.414500,1.995455,0.000000,4.071854
0.020000,12.978549,5.784578,1.509561,2.454409,1.995455,-0.000000,4.083303
0.020000,12.949640,5.744413,1.559049,2.494318,1.995455,0.000000,4.093491
0.020000,12.920655,5.703322,1.609334,2.534227,1.995455,0.000000,4.102390
0.020000,12.891555,5.661337,1.660418,2.574136,1.995455,-0.000000,4.109971
0.020000,12.862295,5.618494,1.712300,2.614045,1.995455,0.000000,4.116201
0.020000,12.832938,5.574992,1.764780,2.634000,0.997727,-49.886364,4.121029
0.020000,12.803649,5.531205,1.817460,2.634000,0.000000,-49.886364,4.124408
0.020000,12.774476,5.487341,1.870140,2.634000,0.000000,0.000000,4.126335
0.020000,12.745356,5.443441,1.922820,2.634000,0.000000,0.000000,4.126821
0.020000,12.716225,5.399548,1.975500,2.634000,0.000000,0.000000,4.125868
0.020000,12.687021,5.355703,2.028180,2.634000,0.000000,0.000000,4.123470
0.020000,12.657726,5.312019,2.080778,2.625809,-0.409528,-20.476408,4.119623
0.020000,12.628436,5.268769,2.133013,2.597664,-1.407255,-49.886364,4.114345
0.020000,12.599273,5.226256,2.184567,2.557755,-1.995455,-29.409956,4.107686
0.020000,12.570256,5.184613,2.235323,2.517846,-1.995455,0.000000,4.099692
0.020000,12.541342,5.143873,2.285281,2.477937,-1.995455,-0.000000,4.090394
0.020000,12.512492,5.104069,2.334441,2.438028,-1.995455,0.000000,4.079819
0.020000,12.483675,5.065231,2.382802,2.398119,-1.995455,-0.000000,4.067996
0.020000,12.454860,5.027390,2.430365,2.358210,-1.995455,0.000000,4.054950
0.020000,12.426024,4.990574,2.477130,2.318301,-1.995455,0.000000,4.040707
0.020000,12.397147,4.954811,2.523097,2.278392,-1.995455,0.000000,4.025297
0.020000,12.368213,4.920126,2.568266,2.238483,-1.995455,-0.000000,4.008750
0.020000,12.339213,4.886546,2.612637,2.198573,-1.995455,0.000000,3.991101
0.020000,12.310139,4.854092,2.656209,2.158664,-1.995455,-0.000000,3.972390
0.020000,12.280990,4.822788,2.698983,2.118755,-1.995455,0.000000,3.952664
0.020000,12.251771,4.792652,2.740959,2.078846,-1.995455,-0.000000,3.931973
0.020000,12.222489,4.763703,2.782137,2.038937,-1.995455,0.000000,3.910379
0.020000,12.193156,4.735953,2.822517,1.999028,-1.995455,0.000000,3.887949
0.020000,12.163791,4.709415,2.862098,1.959119,-1.995455,0.000000,3.864757
0.020000,12.134413,4.684096,2.900881,1.919210,-1.995455,-0.000000,3.840888
0.020000,12.105049,4.660001,2.938867,1.879301,-1.995455,0.000000,3.816432
0.020000,12.075729,4.637130,2.976053,1.839392,-1.995455,0.000000,3.791485
0.020000,12.046483,4.615479,3.012442,1.799483,-1.995455,0.000000,3.766150
0.020000,12.017350,4.595038,3.048033,1.759573,-1.995455,0.000000,3.740533
0.020000,11.988365,4.575794,3.082825,1.719664,-1.995455,-0.000000,3.714744
0.020000,11.959569,4.557729,3.116819,1.679755,-1.995455,0.000000,3.688891
0.020000,11.931003,4.540821,3.150015,1.639846,-1.995455,0.000000,3.663083
0.020000,11.902708,4.525042,3.182413,1.599937,-1.995455,0.000000,3.637424
0.020000,11.874726,4.510362,3.214013,1.560028,-1.995455,0.000000,3.612015
0.020000,11.847099,4.496746,3.244814,1.520119,-1.995455,0.000000,3.586951
0.020000,11.819866,4.484156,3.274818,1.480210,-1.995455,0.000000,3.562316
0.020000,11.793067,4.472550,3.304023,1.440301,-1.995455,0.000000,3.538190
0.020000,11.766738,4.461887,3.332430,1.400392,-1.995455,-0.000000,3.514641
0.020000,11.740915,4.452120,3.360038,1.360483,-1.995455,0.000000,3.491729
0.020000,11.715631,4.443204,3.386849,1.320573,-1.995455,0.000000,3.469503
0.020000,11.690917,4.435092,3.412861,1.280664,-1.995455,0.000000,3.448004
