dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.215469,6.915819,0.000200,0.019955,0.997727,49.886364,3.138860
0.020000,14.215271,6.915820,0.000397,0.009864,-0.504503,-75.111501,3.139366
0.020000,14.214877,6.915820,0.000792,0.019741,0.493806,49.915428,3.140378
0.020000,14.213802,6.915820,0.001866,0.053713,1.698636,60.241491,3.141898
0.020000,14.209817,6.915815,0.005851,0.199264,7.277556,278.946032,3.143930
0.020000,14.204832,6.915797,0.010836,0.249247,2.499115,-238.922081,3.146478
0.020000,14.198846,6.915759,0.016822,0.299315,2.503399,0.214231,3.149548
0.020000,14.191856,6.915691,0.023813,0.349508,2.509673,0.313670,3.153147
0.020000,14.183857,6.915582,0.031813,0.400008,2.524976,0.765187,3.157285
0.020000,14.174849,6.915419,0.040822,0.450456,2.522398,-0.128909,3.161968
0.020000,14.164826,6.915189,0.050848,0.501295,2.541983,0.979237,3.167208
0.020000,14.153785,6.914874,0.061893,0.552274,2.548947,0.348184,3.173017
0.020000,14.141722,6.914456,0.073963,0.603482,2.560385,0.571900,3.179407
0.020000,14.128632,6.913915,0.087064,0.655068,2.579309,0.946232,3.186392
0.020000,14.114514,6.913228,0.101199,0.706740,2.583579,0.213471,3.193985
0.020000,14.099360,6.912371,0.116378,0.758924,2.609236,1.282867,3.202203
0.020000,14.083168,6.911317,0.132603,0.811287,2.618119,0.444125,3.211062
0.020000,14.065936,6.910036,0.149883,0.863992,2.635281,0.858099,3.220577
0.020000,14.047659,6.908495,0.168225,0.917101,2.655450,1.008451,3.230769
0.020000,14.028336,6.906662,0.187635,0.970505,2.670182,0.736605,3.241653
0.020000,14.007964,6.904497,0.208121,1.024302,2.689830,0.982417,3.253249
0.020000,13.986546,6.901962,0.229689,1.078400,2.704920,0.754486,3.265573
0.020000,13.964082,6.899014,0.252346,1.132835,2.721733,0.840640,3.278643
0.020000,13.940574,6.895606,0.276099,1.187661,2.741320,0.979375,3.292476
0.020000,13.916031,6.891691,0.300953,1.242676,2.750746,0.471317,3.307086
0.020000,13.890458,6.887218,0.326914,1.298080,2.770182,0.971795,3.322489
0.020000,13.863867,6.882132,0.353987,1.353624,2.777242,0.352970,3.338695
0.020000,13.836273,6.876377,0.382174,1.409376,2.787560,0.515928,3.355711
