dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.215377,1.764090,0.000199,0.019926,0.996289,49.814470,3.144090
0.020000,14.215165,1.764090,0.000411,0.010580,-0.467283,-73.178595,3.143548
0.020000,14.214742,1.764089,0.000834,0.021168,0.529381,49.833170,3.142462
0.020000,14.212991,1.764090,0.002585,0.087562,3.319701,139.515999,3.140832
0.020000,14.208954,1.764097,0.006622,0.201827,5.713270,119.678466,3.138656
0.020000,14.203905,1.764119,0.011671,0.252445,2.530891,-159.118948,3.135929
0.020000,14.197843,1.764163,0.017734,0.303141,2.534803,0.195586,3.132646
0.020000,14.190765,1.764240,0.024811,0.353883,2.537075,0.113604,3.128803
0.020000,14.182670,1.764362,0.032908,0.404823,2.547046,0.498568,3.124393
0.020000,14.173555,1.764541,0.042024,0.455831,2.550387,0.167023,3.119410
0.020000,14.163418,1.764794,0.052165,0.507013,2.559111,0.436204,3.113846
0.020000,14.152257,1.765138,0.063331,0.558331,2.565901,0.339504,3.107693
0.020000,14.140068,1.765593,0.075528,0.609854,2.576135,0.511691,3.100943
0.020000,14.126851,1.766179,0.088758,0.661496,2.582082,0.297351,3.093586
0.020000,14.112603,1.766920,0.103026,0.713377,2.594041,0.597961,3.085614
0.020000,14.097322,1.767843,0.118335,0.765446,2.603478,0.471866,3.077016
0.020000,14.081008,1.768973,0.134688,0.817654,2.610386,0.345377,3.067784
0.020000,14.063661,1.770342,0.152089,0.870045,2.619556,0.458496,3.057909
0.020000,14.045281,1.771981,0.170541,0.922612,2.628327,0.438577,3.047381
0.020000,14.025871,1.773925,0.190048,0.975357,2.637281,0.447659,3.036192
0.020000,14.005434,1.776209,0.210612,1.028211,2.642711,0.271538,3.024336
0.020000,13.983975,1.778873,0.232236,1.081188,2.648841,0.306464,3.011807
0.020000,13.961501,1.781957,0.254921,1.134231,2.652148,0.165386,2.998601
0.020000,13.938021,1.785504,0.278668,1.187339,2.655374,0.161275,2.984716
0.020000,13.913546,1.789559,0.303476,1.240412,2.653680,-0.084677,2.970153
0.020000,13.888092,1.794166,0.329344,1.293412,2.649971,-0.185486,2.954915
0.020000,13.861674,1.799373,0.356270,1.346280,2.643392,-0.328922,2.939009
