dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.214403,2.154089,0.000199,0.019926,0.996289,49.814470,3.144090
0.020000,14.214403,2.154089,0.000996,0.059777,1.992579,49.814470,3.143548
0.020000,14.214403,2.154089,0.002590,0.099629,1.992579,0.000000,3.142462
0.020000,14.213287,2.154090,0.004981,0.139481,1.992579,-0.000000,3.140832
0.020000,14.210100,2.154096,0.008170,0.179332,1.992579,0.000000,3.138656
0.020000,14.206114,2.154113,0.012155,0.219184,1.992579,-0.000000,3.135929
0.020000,14.201332,2.154148,0.016937,0.259035,1.992579,-0.000000,3.132646
0.020000,14.195753,2.154208,0.022516,0.298887,1.992579,0.000000,3.128803
0.020000,14.189378,2.154304,0.028892,0.338738,1.992579,-0.000000,3.124393
0.020000,14.182206,2.154445,0.036066,0.378590,1.992579,0.000000,3.119410
0.020000,14.174238,2.154644,0.044036,0.418442,1.992579,0.000000,3.113846
0.020000,14.165475,2.154914,0.052803,0.458293,1.992579,0.000000,3.107693
0.020000,14.155917,2.155271,0.062368,0.498145,1.992579,0.000000,3.100943
0.020000,14.145566,2.155730,0.072729,0.537996,1.992579,0.000000,3.093586
0.020000,14.134423,2.156310,0.083888,0.577848,1.992579,0.000000,3.085614
0.020000,14.122489,2.157030,0.095843,0.617699,1.992579,0.000000,3.077016
0.020000,14.109767,2.157911,0.108596,0.657551,1.992579,-0.000000,3.067784
0.020000,14.096259,2.158977,0.122145,0.697403,1.992579,0.000000,3.057909
0.020000,14.081970,2.160251,0.136492,0.737254,1.992579,0.000000,3.047381
0.020000,14.066902,2.161760,0.151635,0.777106,1.992579,-0.000000,3.036192
0.020000,14.051060,2.163531,0.167576,0.816957,1.992579,0.000000,3.024336
0.020000,14.034450,2.165593,0.184314,0.856809,1.992579,0.000000,3.011807
0.020000,14.017078,2.167977,0.201848,0.896660,1.992579,0.000000,2.998601
0.020000,13.998952,2.170715,0.220180,0.936512,1.992579,0.000000,2.984716
0.020000,13.980081,2.173841,0.239309,0.976364,1.992579,0.000000,2.970153
0.020000,13.960474,2.177390,0.259234,1.016215,1.992579,-0.000000,2.954915
0.020000,13.940143,2.181398,0.279957,1.056067,1.992579,0.000000,2.939009
0.020000,13.919099,2.185902,0.301477,1.095918,1.992579,-0.000000,2.922447
0.020000,13.897359,2.190940,0.323794,1.135770,1.992579,0.000000,2.905243
0.020000,13.874937,2.196553,0.346908,1.175621,1.992579,-0.000000,2.887417
0.020000,13.851851,2.202778,0.370819,1.215473,1.992579,0.000000,2.868996
0.020000,13.828120,2.209656,0.395527,1.255325,1.992579,-0.000000,2.850009
0.020000,13.803765,2.217226,0.421032,1.295176,1.992579,0.000000,2.830495
0.020000,13.778808,2.225527,0.447334,1.335028,1.992579,-0.000000,2.810496
0.020000,13.753273,2.234598,0.474433,1.374879,1.992579,0.000000,2.790061
0.020000,13.727185,2.244476,0.502329,1.414731,1.992579,-0.000000,2.769246
0.020000,13.700570,2.255197,0.531022,1.454583,1.992579,0.000000,2.748111
0.020000,13.673457,2.266795,0.560512,1.494434,1.992579,-0.000000,2.726723
0.020000,13.645873,2.279302,0.590800,1.534286,1.992579,0.000000,2.705153
0.020000,13.617848,2.292747,0.621884,1.574137,1.992579,-0.000000,2.683477
0.020000,13.589410,2.307157,0.653765,1.613989,1.992579,0.000000,2.661772
