dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.213429,2.544088,0.000199,0.019926,0.996289,49.814470,3.144090
0.020000,14.213640,2.544089,0.000411,0.010580,-0.467283,-73.178595,3.143548
0.020000,14.214064,2.544089,0.000834,0.021168,0.529381,49.833170,3.142462
0.020000,14.213584,2.544090,0.001314,0.023998,0.141523,-19.392887,3.140832
0.020000,14.211245,2.544094,0.003653,0.116953,4.647761,225.311883,3.138656
0.020000,14.208323,2.544106,0.006575,0.146077,1.456200,-159.578040,3.135929
0.020000,14.204821,2.544132,0.010077,0.175110,1.451636,-0.228197,3.132646
0.020000,14.200741,2.544176,0.014157,0.204007,1.444865,-0.338561,3.128803
0.020000,14.196085,2.544246,0.018814,0.232834,1.441329,-0.176817,3.124393
0.020000,14.190856,2.544349,0.024044,0.261491,1.432842,-0.424328,3.119410
0.020000,14.185058,2.544494,0.029844,0.290019,1.426415,-0.321325,3.113846
0.020000,14.178693,2.544690,0.036212,0.318378,1.417955,-0.423039,3.107693
0.020000,14.171766,2.544948,0.043143,0.346592,1.410667,-0.364391,3.100943
0.020000,14.164282,2.545280,0.050635,0.374598,1.400312,-0.517749,3.093586
0.020000,14.156243,2.545699,0.058685,0.402456,1.392926,-0.369279,3.085614
0.020000,14.147656,2.546217,0.067287,0.430134,1.383883,-0.452160,3.077016
0.020000,14.138526,2.546850,0.076439,0.457603,1.373465,-0.520913,3.067784
0.020000,14.128858,2.547612,0.086137,0.484897,1.364665,-0.439982,3.057909
0.020000,14.118658,2.548522,0.096378,0.512023,1.356325,-0.416993,3.047381
0.020000,14.107932,2.549596,0.107158,0.539006,1.349156,-0.358492,3.036192
0.020000,14.096685,2.550853,0.118475,0.565837,1.341553,-0.380138,3.024336
0.020000,14.084924,2.552313,0.130326,0.592564,1.336348,-0.260247,3.011807
0.020000,14.072655,2.553997,0.142710,0.619207,1.332145,-0.210119,2.998601
0.020000,14.059883,2.555926,0.155627,0.645828,1.331040,-0.055272,2.984716
0.020000,14.046615,2.558124,0.169075,0.672449,1.331036,-0.000187,2.970153
0.020000,14.032856,2.560614,0.183058,0.699137,1.334402,0.168264,2.954915
0.020000,14.018611,2.563422,0.197578,0.725964,1.341375,0.348691,2.939009
0.020000,14.003884,2.566574,0.212638,0.753016,1.352572,0.559819,2.922447
0.020000,13.988680,2.570098,0.228245,0.780353,1.366885,0.715648,2.905243
0.020000,13.973002,2.574022,0.244407,0.808085,1.386599,0.985697,2.887417
0.020000,13.956852,2.578377,0.261133,0.836314,1.411437,1.241894,2.868996
0.020000,13.940233,2.583194,0.278436,0.865153,1.441952,1.525785,2.850009
0.020000,13.923146,2.588505,0.296330,0.894701,1.477375,1.771147,2.830495
0.020000,13.905589,2.594345,0.314832,0.925107,1.520299,2.146186,2.810496
0.020000,13.887564,2.600748,0.333961,0.956455,1.567428,2.356450,2.790061
0.020000,13.869068,2.607752,0.353739,0.988882,1.621342,2.695728,2.769246
0.020000,13.850099,2.615393,0.374189,1.022509,1.681364,3.001057,2.748111
0.020000,13.830655,2.623711,0.395337,1.057419,1.745494,3.206540,2.726723
0.020000,13.810733,2.632744,0.417212,1.093725,1.815297,3.490152,2.705153
0.020000,13.790329,2.642533,0.439842,1.131499,1.888670,3.668635,2.683477
