dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.017486,4.793621,0.000200,0.019955,0.997727,49.886364,6.281826
0.020000,11.017250,4.793621,0.000435,0.011756,-0.409936,-70.383163,6.282429
0.020000,11.017375,4.793621,0.000560,0.006251,-0.275243,6.734659,0.000450
0.020000,11.019063,4.793623,0.002247,0.084367,3.905802,209.052261,0.002264
0.020000,11.021310,4.793631,0.004494,0.112340,1.398647,-125.357758,0.004689
0.020000,11.024114,4.793648,0.007298,0.140206,1.393307,-0.267006,0.007732
0.020000,11.027472,4.793681,0.010656,0.167921,1.385742,-0.378272,0.011401
0.020000,11.031380,4.793734,0.014565,0.195443,1.376110,-0.481590,0.015704
0.020000,11.035835,4.793815,0.019021,0.222765,1.366072,-0.501919,0.020653
0.020000,11.040830,4.793932,0.024017,0.249843,1.353944,-0.606367,0.026260
0.020000,11.046361,4.794094,0.029551,0.276664,1.341023,-0.646073,0.032539
0.020000,11.052421,4.794313,0.035614,0.303186,1.326092,-0.746543,0.039503
0.020000,11.059003,4.794598,0.042202,0.329398,1.310594,-0.774885,0.047171
0.020000,11.066099,4.794963,0.049308,0.355263,1.293284,-0.865506,0.055558
0.020000,11.073701,4.795420,0.056923,0.380775,1.275561,-0.886161,0.064683
0.020000,11.081799,4.795985,0.065041,0.405915,1.257016,-0.927215,0.074567
0.020000,11.090385,4.796672,0.073654,0.430653,1.236928,-1.004434,0.085227
0.020000,11.099447,4.797499,0.082755,0.455012,1.217925,-0.950121,0.096686
0.020000,11.108976,4.798482,0.092334,0.478965,1.197638,-1.014378,0.108963
0.020000,11.118960,4.799640,0.102385,0.502530,1.178245,-0.969623,0.122077
0.020000,11.129387,4.800993,0.112899,0.525735,1.160263,-0.899131,0.136049
0.020000,11.140246,4.802562,0.123871,0.548581,1.142292,-0.898528,0.150895
0.020000,11.151525,4.804367,0.135294,0.571137,1.127815,-0.723879,0.166632
0.020000,11.163213,4.806433,0.147162,0.593439,1.115077,-0.636903,0.183271
0.020000,11.175298,4.808782,0.159474,0.615573,1.106703,-0.418667,0.200821
0.020000,11.187770,4.811441,0.172226,0.637622,1.102448,-0.212761,0.219288
0.020000,11.200620,4.814436,0.185420,0.659704,1.104122,0.083676,0.238669
0.020000,11.213839,4.817794,0.199059,0.681945,1.112073,0.397590,0.258955
0.020000,11.227420,4.821546,0.213150,0.704513,1.128367,0.814679,0.280131
0.020000,11.241359,4.825723,0.227701,0.727573,1.153012,1.232246,0.302171
0.020000,11.255653,4.830358,0.242728,0.751328,1.187725,1.735666,0.325039
0.020000,11.270301,4.835488,0.258247,0.775990,1.233111,2.269288,0.348688
0.020000,11.285304,4.841150,0.274283,0.801798,1.290435,2.866225,0.373061
0.020000,11.300666,4.847386,0.290863,0.828978,1.358981,3.427273,0.398087
0.020000,11.316393,4.854239,0.308018,0.857780,1.440103,4.056115,0.423682
0.020000,11.332494,4.861755,0.325787,0.888427,1.532362,4.612966,0.449752
0.020000,11.348977,4.869984,0.344210,0.921144,1.635852,5.174451,0.476191
0.020000,11.365853,4.878977,0.363332,0.956122,1.748857,5.650284,0.502883
0.020000,11.383133,4.888787,0.383203,0.993520,1.869937,6.053969,0.529703
0.020000,11.400827,4.899471,0.403872,1.033460,1.996975,6.351925,0.556521
0.020000,11.418945,4.911083,0.425392,1.076016,2.127793,6.540878,0.583204
0.020000,11.437496,4.923681,0.447817,1.121215,2.259973,6.609030,0.609616
0.020000,11.456488,4.937318,0.471197,1.169036,2.391025,6.552565,0.635622
0.020000,11.475925,4.952048,0.495585,1.219410,2.518728,6.385160,0.661091
0.020000,11.495811,4.967921,0.521030,1.272231,2.641049,6.116066,0.685898
0.020000,11.516149,4.984984,0.547577,1.327358,2.756337,5.764410,0.709924
0.020000,11.536938,5.003279,0.575270,1.384624,2.863322,5.349254,0.733061
0.020000,11.558179,5.022842,0.604147,1.443852,2.961406,4.904191,0.755207
0.020000,11.579872,5.043705,0.634244,1.504856,3.050177,4.438538,0.776271
0.020000,11.602017,5.065894,0.665593,1.567453,3.129851,3.983724,0.796172
0.020000,11.624617,5.089429,0.698222,1.631476,3.201152,3.565010,0.814836
0.020000,11.647677,5.114326,0.732158,1.696772,3.264776,3.181237,0.832199
0.020000,11.671205,5.140594,0.767422,1.763215,3.322166,2.869469,0.848201
0.020000,11.695213,5.168238,0.804036,1.830706,3.374557,2.619544,0.862788
0.020000,11.719720,5.197258,0.842020,1.899176,3.423503,2.447318,0.875912
0.020000,11.744749,5.227650,0.881392,1.968592,3.470809,2.365298,0.887522
0.020000,11.770330,5.259408,0.922171,2.038952,3.517975,2.358315,0.897570
0.020000,11.796501,5.292520,0.964377,2.110290,3.566929,2.447702,0.906007
0.020000,11.823309,5.326973,1.008030,2.182677,3.619358,2.621425,0.912779
0.020000,11.850809,5.362749,1.053154,2.256220,3.677105,2.887364,0.917826
0.020000,11.879067,5.399830,1.099776,2.331060,3.742003,3.244898,0.921081
0.020000,11.908161,5.438193,1.147923,2.407377,3.815872,3.693429,0.922470
0.020000,11.938182,5.477811,1.197631,2.485390,3.900639,4.238385,0.921905
0.020000,11.969234,5.518655,1.248938,2.565353,3.998156,4.875832,0.919285
0.020000,12.001436,5.560689,1.301889,2.647559,4.110316,5.608012,0.914496
0.020000,12.031894,5.600003,1.351622,2.486616,-8.047160,-607.873832,0.909889
0.020000,12.063997,5.641310,1.403937,2.615759,6.457169,725.216496,0.910313
0.020000,12.096288,5.682882,1.456577,2.631999,0.811988,-282.259096,0.910415
0.020000,12.128659,5.724552,1.509343,2.638303,0.315183,-24.840242,0.910195
0.020000,12.161124,5.766309,1.562235,2.644611,0.315406,0.011185,0.909650
0.020000,12.193695,5.808143,1.615254,2.650929,0.315918,0.025604,0.908782
0.020000,12.226388,5.850043,1.668399,2.657264,0.316711,0.039602,0.907589
0.020000,12.259216,5.891999,1.721671,2.663622,0.317934,0.061191,0.906070
0.020000,12.292193,5.934000,1.775071,2.670008,0.319289,0.067716,0.904224
0.020000,12.325334,5.976035,1.828600,2.676428,0.321011,0.086106,0.902048
0.020000,12.358654,6.018094,1.882258,2.682892,0.323175,0.108214,0.899540
0.020000,12.392167,6.060166,1.936046,2.689398,0.325317,0.107120,0.896699
0.020000,12.425889,6.102239,1.989965,2.695959,0.328057,0.136958,0.893522
0.020000,12.459834,6.144301,2.044017,2.702577,0.330879,0.141128,0.890005
0.020000,12.494019,6.186342,2.098202,2.709256,0.333951,0.153590,0.886146
0.020000,12.528458,6.228349,2.152522,2.716007,0.337535,0.179211,0.881940
0.020000,12.563168,6.270310,2.206978,2.722824,0.340862,0.166329,0.877385
0.020000,12.598165,6.312213,2.261573,2.729726,0.345119,0.212873,0.872476
0.020000,12.633464,6.354043,2.316307,2.736700,0.348707,0.179410,0.867209
0.020000,12.669082,6.395788,2.371182,2.743769,0.353446,0.236924,0.861580
0.020000,12.705036,6.437433,2.426201,2.750916,0.357346,0.194984,0.855584
0.020000,12.741342,6.478965,2.481364,2.758163,0.362342,0.249811,0.849216
0.020000,12.778017,6.520367,2.536674,2.765495,0.366595,0.212648,0.842473
0.020000,12.815077,6.561624,2.592132,2.772925,0.371507,0.245610,0.835348
0.020000,12.852540,6.602721,2.647741,2.780449,0.376221,0.235722,0.827838
0.020000,12.890421,6.643639,2.703502,2.788064,0.380724,0.225118,0.819936
0.020000,12.928739,6.684362,2.759418,2.795779,0.385731,0.250361,0.811640
0.020000,12.967508,6.724870,2.815490,2.803579,0.390002,0.213541,0.802943
0.020000,13.006747,6.765145,2.871719,2.811464,0.394291,0.214480,0.793842
0.020000,13.046472,6.805166,2.928108,2.819436,0.398562,0.213553,0.784332
0.020000,13.086697,6.844912,2.984657,2.827483,0.402370,0.190401,0.774409
0.020000,13.127440,6.884361,3.041369,2.835595,0.405600,0.161490,0.764070
0.020000,13.168715,6.923491,3.098244,2.843766,0.408533,0.146624,0.753312
0.020000,13.210538,6.962278,3.155284,2.851984,0.410897,0.118205,0.742132
0.020000,13.252922,7.000697,3.212489,2.860237,0.412687,0.089484,0.730530
0.020000,13.295880,7.038721,3.269859,2.868509,0.413567,0.044003,0.718503
0.020000,13.339426,7.076326,3.327395,2.876780,0.413569,0.000129,0.706052
0.020000,13.383571,7.113482,3.385095,2.885034,0.412672,-0.044860,0.693177
0.020000,13.428326,7.150161,3.442960,2.893247,0.410697,-0.098751,0.679881
0.020000,13.473699,7.186335,3.500988,2.901398,0.407537,-0.157993,0.666167
0.020000,13.519699,7.221972,3.559177,2.909460,0.403087,-0.222486,0.652040
0.020000,13.566275,7.256999,3.617455,2.913875,0.220765,-9.116138,0.637523
0.020000,13.613192,7.291217,3.675525,2.903483,-0.519627,-37.019585,0.622700
0.020000,13.660134,7.324392,3.733006,2.874077,-1.470282,-47.532733,0.607688
0.020000,13.706953,7.356432,3.789738,2.836603,-1.873715,-20.171677,0.592551
0.020000,13.753618,7.387338,3.845710,2.798590,-1.900646,-1.346531,0.577316
0.020000,13.800101,7.417111,3.900911,2.760036,-1.927683,-1.351837,0.562012
0.020000,13.846370,7.445758,3.955330,2.720942,-1.954706,-1.351169,0.546666
0.020000,13.892393,7.473283,4.008956,2.681312,-1.981498,-1.339602,0.531306
0.020000,13.938138,7.499697,4.061779,2.641149,-2.008138,-1.332017,0.515959
0.020000,13.983572,7.525010,4.113788,2.600470,-2.033957,-1.290938,0.500651
0.020000,14.028661,7.549237,4.164974,2.559287,-2.059167,-1.260480,0.485409
0.020000,14.073373,7.572392,4.215326,2.517615,-2.083584,-1.220855,0.470257
0.020000,14.117675,7.594494,4.264836,2.475467,-2.107433,-1.192444,0.455220
0.020000,14.161536,7.615561,4.313493,2.432878,-2.129431,-1.099914,0.440320
0.020000,14.204923,7.635614,4.361290,2.389863,-2.150753,-1.066099,0.425580
0.020000,14.247806,7.654678,4.408219,2.346451,-2.170597,-0.992194,0.411020
