dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.016955,4.403621,0.000200,0.019955,0.997727,49.886364,6.281826
0.020000,11.016955,4.403621,0.000998,0.059864,1.995455,49.886364,6.282429
0.020000,11.017551,4.403621,0.002594,0.099773,1.995455,0.000000,0.000450
0.020000,11.019946,4.403624,0.004989,0.139682,1.995455,-0.000000,0.002264
0.020000,11.023138,4.403635,0.008181,0.179591,1.995455,-0.000000,0.004689
0.020000,11.027129,4.403660,0.012172,0.219500,1.995455,0.000000,0.007732
0.020000,11.031918,4.403706,0.016961,0.259409,1.995455,0.000000,0.011401
0.020000,11.037505,4.403782,0.022549,0.299318,1.995455,0.000000,0.015704
0.020000,11.043889,4.403898,0.028934,0.339227,1.995455,-0.000000,0.020653
0.020000,11.051071,4.404066,0.036118,0.379136,1.995455,0.000000,0.026260
0.020000,11.059049,4.404301,0.044100,0.419045,1.995455,-0.000000,0.032539
0.020000,11.067823,4.404617,0.052880,0.458955,1.995455,0.000000,0.039503
0.020000,11.077393,4.405032,0.062458,0.498864,1.995455,-0.000000,0.047171
0.020000,11.087755,4.405564,0.072834,0.538773,1.995455,0.000000,0.055558
0.020000,11.098909,4.406236,0.084009,0.578682,1.995455,-0.000000,0.064683
0.020000,11.110853,4.407069,0.095981,0.618591,1.995455,0.000000,0.074567
0.020000,11.123583,4.408088,0.108752,0.658500,1.995455,0.000000,0.085227
0.020000,11.137096,4.409320,0.122321,0.698409,1.995455,0.000000,0.096686
0.020000,11.151388,4.410795,0.136689,0.738318,1.995455,0.000000,0.108963
0.020000,11.166452,4.412542,0.151854,0.778227,1.995455,0.000000,0.122077
0.020000,11.182283,4.414597,0.167818,0.818136,1.995455,-0.000000,0.136049
0.020000,11.198872,4.416993,0.184580,0.858045,1.995455,-0.000000,0.150895
0.020000,11.216211,4.419769,0.202140,0.897955,1.995455,0.000000,0.166632
0.020000,11.234289,4.422964,0.220498,0.937864,1.995455,0.000000,0.183271
0.020000,11.253093,4.426620,0.239654,0.977773,1.995455,-0.000000,0.200821
0.020000,11.272609,4.430781,0.259609,1.017682,1.995455,0.000000,0.219288
0.020000,11.292819,4.435491,0.280361,1.057591,1.995455,0.000000,0.238669
0.020000,11.313706,4.440797,0.301912,1.097500,1.995455,0.000000,0.258955
0.020000,11.335248,4.446748,0.324261,1.137409,1.995455,0.000000,0.280131
0.020000,11.357421,4.453393,0.347409,1.177318,1.995455,0.000000,0.302171
0.020000,11.380198,4.460779,0.371354,1.217227,1.995455,0.000000,0.325039
0.020000,11.403550,4.468958,0.396098,1.257136,1.995455,0.000000,0.348688
0.020000,11.427446,4.477976,0.421640,1.297045,1.995455,-0.000000,0.373061
0.020000,11.451852,4.487882,0.447980,1.336955,1.995455,-0.000000,0.398087
