dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.016425,4.013621,0.000200,0.019955,0.997727,49.886364,6.281826
0.020000,11.016660,4.013621,0.000435,0.011756,-0.409936,-70.383163,6.282429
0.020000,11.017727,4.013621,0.001501,0.053314,2.077896,124.391602,0.000450
0.020000,11.020829,4.013625,0.004603,0.155092,5.088901,150.550227,0.002264
0.020000,11.024967,4.013640,0.008741,0.206915,2.591167,-124.886678,0.004689
0.020000,11.030144,4.013672,0.013919,0.258885,2.598493,0.366281,0.007732
0.020000,11.036364,4.013731,0.020139,0.311004,2.605965,0.373628,0.011401
0.020000,11.043629,4.013830,0.027404,0.363281,2.613817,0.392603,0.015704
0.020000,11.051943,4.013981,0.035720,0.415782,2.625064,0.562355,0.020653
0.020000,11.061311,4.014201,0.045090,0.468512,2.636494,0.571489,0.026260
0.020000,11.071737,4.014507,0.055521,0.521520,2.650397,0.695131,0.032539
0.020000,11.083226,4.014921,0.067017,0.574806,2.664319,0.696093,0.039503
0.020000,11.095782,4.015466,0.079585,0.628421,2.680750,0.821561,0.047171
0.020000,11.109412,4.016166,0.093233,0.682362,2.697027,0.813834,0.055558
0.020000,11.124118,4.017051,0.107966,0.736670,2.715425,0.919943,0.064683
0.020000,11.139907,4.018152,0.123793,0.791364,2.734685,0.962955,0.074567
0.020000,11.156782,4.019503,0.140722,0.846419,2.752741,0.902843,0.085227
0.020000,11.174745,4.021142,0.158760,0.901898,2.773959,1.060893,0.096686
0.020000,11.193799,4.023108,0.177915,0.957752,2.792716,0.937857,0.108963
0.020000,11.213944,4.025445,0.198194,1.013995,2.812125,0.970417,0.122077
0.020000,11.235178,4.028201,0.219607,1.070632,2.831844,0.985980,0.136049
0.020000,11.257498,4.031425,0.242159,1.127578,2.847332,0.774383,0.150895
0.020000,11.280897,4.035171,0.265856,1.184852,2.863703,0.818563,0.166632
0.020000,11.305365,4.039496,0.290703,1.242354,2.875090,0.569321,0.183271
0.020000,11.330888,4.044458,0.316704,1.300041,2.884327,0.461860,0.200821
0.020000,11.357447,4.050120,0.343860,1.357801,2.888017,0.184494,0.219288
0.020000,11.385019,4.056546,0.372170,1.415537,2.886816,-0.060025,0.238669
0.020000,11.413574,4.063801,0.401632,1.473099,2.878104,-0.435634,0.258955
0.020000,11.443076,4.071951,0.432239,1.530356,2.862839,-0.763205,0.280131
0.020000,11.473482,4.081062,0.463982,1.587108,2.837600,-1.261992,0.302171
0.020000,11.504743,4.091200,0.496845,1.643165,2.802855,-1.737231,0.325039
0.020000,11.536800,4.102427,0.530811,1.698307,2.757083,-2.288600,0.348688
0.020000,11.569589,4.114802,0.565858,1.752324,2.700844,-2.811928,0.373061
0.020000,11.603037,4.128379,0.601957,1.804948,2.631234,-3.480501,0.398087
0.020000,11.637067,4.143205,0.639076,1.855968,2.550978,-4.012843,0.423682
0.020000,11.671593,4.159322,0.677178,1.905128,2.457983,-4.649746,0.449752
0.020000,11.706527,4.176761,0.716223,1.952225,2.354884,-5.154915,0.476191
0.020000,11.741776,4.195543,0.756164,1.997062,2.241825,-5.652951,0.502883
0.020000,11.777249,4.215681,0.796954,2.039479,2.120868,-6.047859,0.529703
0.020000,11.812850,4.237175,0.838541,2.079355,1.993781,-6.354372,0.556521
0.020000,11.848492,4.260015,0.880873,2.116615,1.863015,-6.538274,0.583204
0.020000,11.884087,4.284184,0.923898,2.151234,1.730969,-6.602293,0.609616
0.020000,11.919557,4.309650,0.967562,2.183233,1.599915,-6.552702,0.635622
0.020000,11.954828,4.336376,1.011816,2.212678,1.472262,-6.382658,0.661091
0.020000,11.989838,4.364318,1.056610,2.239678,1.350001,-6.113058,0.685898
0.020000,12.024534,4.393424,1.101897,2.264374,1.234786,-5.760756,0.709924
0.020000,12.058873,4.423637,1.147636,2.286929,1.127737,-5.352439,0.733061
0.020000,12.092822,4.454900,1.193786,2.307525,1.029826,-4.895553,0.755207
0.020000,12.126358,4.487150,1.240313,2.326346,0.941060,-4.438295,0.776271
0.020000,12.159470,4.520324,1.287185,2.343572,0.861307,-3.987644,0.796172
0.020000,12.192155,4.554359,1.334372,2.359376,0.790175,-3.556634,0.814836
0.020000,12.224419,4.589190,1.381850,2.373904,0.726397,-3.188881,0.832199
0.020000,12.256276,4.624754,1.429596,2.387286,0.669130,-2.863369,0.848201
0.020000,12.287747,4.660987,1.477588,2.399621,0.616730,-2.619958,0.862788
0.020000,12.318860,4.697826,1.525808,2.410974,0.567666,-2.453221,0.875912
0.020000,12.349646,4.735208,1.574235,2.421384,0.520482,-2.359178,0.887522
0.020000,12.380145,4.773069,1.622852,2.430848,0.473194,-2.364420,0.897570
0.020000,12.410398,4.811343,1.671639,2.439333,0.424261,-2.446647,0.906007
0.020000,12.440450,4.849964,1.720574,2.446769,0.371782,-2.623977,0.912779
0.020000,12.470349,4.888861,1.769635,2.453049,0.313994,-2.889363,0.917826
0.020000,12.500147,4.927962,1.818796,2.458030,0.249069,-3.246276,0.921081
0.020000,12.529896,4.967187,1.868027,2.461532,0.175111,-3.697896,0.922470
0.020000,12.559650,5.006454,1.917293,2.463338,0.090292,-4.240921,0.921905
0.020000,12.589465,5.045672,1.966557,2.463192,-0.007320,-4.880598,0.919285
0.020000,12.619396,5.084741,2.015773,2.460800,-0.119568,-5.612438,0.914496
0.020000,12.647654,5.121213,2.061912,2.306920,-7.693997,-378.721422,0.909889
0.020000,12.679959,5.162781,2.114557,2.632286,16.268292,1198.114438,0.910313
0.020000,12.712300,5.204416,2.167277,2.636001,0.185753,-804.126927,0.910415
0.020000,12.744565,5.245950,2.219871,2.629697,-0.315192,-25.047260,0.910195
0.020000,12.776769,5.287372,2.272339,2.623390,-0.315391,-0.009967,0.909650
0.020000,12.808925,5.328672,2.324681,2.617071,-0.315921,-0.026479,0.908782
0.020000,12.841045,5.369838,2.376895,2.610735,-0.316786,-0.043257,0.907589
0.020000,12.873143,5.410861,2.428983,2.604379,-0.317834,-0.052398,0.906070
0.020000,12.905230,5.451729,2.480943,2.597992,-0.319354,-0.076028,0.904224
0.020000,12.937321,5.492431,2.532774,2.591570,-0.321107,-0.087627,0.902048
0.020000,12.969426,5.532958,2.584476,2.585109,-0.323012,-0.095271,0.899540
0.020000,13.001558,5.573296,2.636048,2.578599,-0.325506,-0.124711,0.896699
0.020000,13.033730,5.613435,2.687489,2.572040,-0.327980,-0.123660,0.893522
0.020000,13.065953,5.653363,2.738797,2.565421,-0.330909,-0.146472,0.890005
0.020000,13.098238,5.693068,2.789972,2.558739,-0.334115,-0.160281,0.886146
0.020000,13.130598,5.732539,2.841012,2.551993,-0.337327,-0.160611,0.881940
0.020000,13.163043,5.771762,2.891915,2.545168,-0.341244,-0.195840,0.877385
0.020000,13.195585,5.810726,2.942681,2.538273,-0.344720,-0.173831,0.872476
0.020000,13.228234,5.849416,2.993307,2.531289,-0.349215,-0.224746,0.867209
0.020000,13.261003,5.887821,3.043791,2.524229,-0.352997,-0.189104,0.861580
0.020000,13.293900,5.925926,3.094133,2.517072,-0.357860,-0.243126,0.855584
0.020000,13.326937,5.963719,3.144329,2.509832,-0.361970,-0.205488,0.849216
0.020000,13.360124,6.001184,3.194379,2.502493,-0.366952,-0.249132,0.842473
0.020000,13.393471,6.038307,3.244281,2.495064,-0.371462,-0.225474,0.835348
0.020000,13.426986,6.075074,3.294031,2.487540,-0.376203,-0.237086,0.827838
0.020000,13.460681,6.111470,3.343630,2.479918,-0.381102,-0.244902,0.819936
0.020000,13.494564,6.147480,3.393074,2.472210,-0.385427,-0.216255,0.811640
0.020000,13.528643,6.183088,3.442362,2.464406,-0.390180,-0.237660,0.802943
0.020000,13.562928,6.218278,3.491492,2.456514,-0.394575,-0.219771,0.793842
0.020000,13.597426,6.253034,3.540463,2.448544,-0.398528,-0.197642,0.784332
0.020000,13.632146,6.287341,3.589273,2.440498,-0.402294,-0.188290,0.774409
0.020000,13.667095,6.321181,3.637921,2.432382,-0.405824,-0.176488,0.764070
0.020000,13.702281,6.354538,3.686405,2.424207,-0.408720,-0.144798,0.753312
0.020000,13.737709,6.387395,3.734725,2.415986,-0.411051,-0.116588,0.742132
0.020000,13.773388,6.419736,3.782879,2.407733,-0.412651,-0.079958,0.730530
0.020000,13.809322,6.451544,3.830869,2.399461,-0.413617,-0.048340,0.718503
0.020000,13.845517,6.482801,3.878692,2.391186,-0.413733,-0.005781,0.706052
0.020000,13.881979,6.513490,3.926351,2.382930,-0.412822,0.045524,0.693177
0.020000,13.918712,6.543596,3.973845,2.374713,-0.410838,0.099216,0.679881
0.020000,13.955721,6.573102,4.021176,2.366559,-0.407672,0.158293,0.666167
0.020000,13.993010,6.601991,4.068346,2.358495,-0.403219,0.222662,0.652040
0.020000,14.030536,6.630213,4.115300,2.347712,-0.539140,-6.796057,0.637523
0.020000,14.068112,6.657618,4.161809,2.325418,-1.114690,-28.777492,0.622700
0.020000,14.105492,6.684035,4.207581,2.288595,-1.841169,-36.323960,0.607688
0.020000,14.142566,6.709408,4.252506,2.246251,-2.117210,-13.802045,0.592551
0.020000,14.179324,6.733752,4.296595,2.204445,-2.090283,1.346352,0.577316
0.020000,14.215755,6.757087,4.339858,2.163181,-2.063198,1.354267,0.562012
0.020000,14.251847,6.779433,4.382307,2.122458,-2.036154,1.352183,0.546666
0.020000,14.287588,6.800809,4.423953,2.082273,-2.009280,1.343720,0.531306
0.020000,14.322966,6.821237,4.464805,2.042614,-1.982932,1.317392,0.515959
0.020000,14.357969,6.840739,4.504875,2.003476,-1.956880,1.302588,0.500651
0.020000,14.392585,6.859339,4.544172,1.964845,-1.931566,1.265695,0.485409
0.020000,14.426803,6.877060,4.582706,1.926703,-1.907105,1.223037,0.470257
0.020000,14.460610,6.893926,4.620486,1.889025,-1.883902,1.160161,0.455220
0.020000,14.493995,6.909961,4.657522,1.851801,-1.861186,1.135830,0.440320
0.020000,14.526945,6.925191,4.693822,1.815001,-1.840032,1.057676,0.425580
0.020000,14.559450,6.939641,4.729394,1.778601,-1.819978,1.002726,0.411020
0.020000,14.591498,6.953336,4.764246,1.742568,-1.801632,0.917258,0.396658
0.020000,14.623078,6.966302,4.798383,1.706890,-1.783930,0.885117,0.382513
0.020000,14.654178,6.978564,4.831814,1.671519,-1.768512,0.770888,0.368602
0.020000,14.684788,6.990148,4.864542,1.636437,-1.754108,0.720210,0.354937
0.020000,14.714898,7.001079,4.896575,1.601626,-1.740543,0.678233,0.341534
0.020000,14.744497,7.011382,4.927916,1.567035,-1.729560,0.549173,0.328404
0.020000,14.773575,7.021082,4.958569,1.532659,-1.718818,0.537093,0.315558
0.020000,14.802122,7.030203,4.988538,1.498460,-1.709962,0.442791,0.303004
0.020000,14.830129,7.038771,5.017826,1.464415,-1.702242,0.386014,0.290750
0.020000,14.857587,7.046809,5.046436,1.430491,-1.696193,0.302470,0.278804
0.020000,14.884486,7.054340,5.074370,1.396679,-1.690578,0.280747,0.267171
0.020000,14.910818,7.061388,5.101629,1.362959,-1.686034,0.227206,0.255854
0.020000,14.936575,7.067974,5.128215,1.329295,-1.683208,0.141253,0.244858
0.020000,14.961749,7.074122,5.154128,1.295681,-1.680695,0.125682,0.234185
0.020000,14.986332,7.079852,5.179370,1.262095,-1.679284,0.070529,0.223836
0.020000,15.010317,7.085186,5.203941,1.228531,-1.678191,0.054670,0.213813
0.020000,15.033696,7.090143,5.227840,1.194972,-1.677941,0.012496,0.204114
0.020000,15.056463,7.094745,5.251068,1.161379,-1.679683,-0.087082,0.194741
0.020000,15.078613,7.099009,5.273624,1.127797,-1.679070,0.030643,0.185691
0.020000,15.100137,7.102956,5.295507,1.094163,-1.681719,-0.132484,0.176962
0.020000,15.121031,7.106602,5.316717,1.060483,-1.684011,-0.114602,0.168554
0.020000,15.141289,7.109964,5.337252,1.026767,-1.685800,-0.089403,0.160464
0.020000,15.160907,7.113061,5.357113,0.993018,-1.687444,-0.082233,0.152688
0.020000,15.179878,7.115908,5.376296,0.959178,-1.692011,-0.228360,0.145225
0.020000,15.198198,7.118521,5.394802,0.925295,-1.694153,-0.107096,0.138070
0.020000,15.215864,7.120914,5.412629,0.891354,-1.697021,-0.143366,0.131221
0.020000,15.232870,7.123102,5.429775,0.857313,-1.702036,-0.250769,0.124674
0.020000,15.249214,7.125098,5.446241,0.823262,-1.702562,-0.026295,0.118425
0.020000,15.264890,7.126916,5.462022,0.789081,-1.709067,-0.325259,0.112472
0.020000,15.279897,7.128568,5.477120,0.754871,-1.710496,-0.071438,0.106811
0.020000,15.294231,7.130066,5.491531,0.720592,-1.713939,-0.172134,0.101438
0.020000,15.307888,7.131421,5.505256,0.686210,-1.719118,-0.258970,0.096349
0.020000,15.320867,7.132643,5.518292,0.651813,-1.719840,-0.036124,0.091542
