dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.327911,6.121673,0.000199,0.019939,0.996945,49.847244,3.142423
0.020000,14.327817,6.121673,0.000293,0.004663,-0.763772,-88.035841,3.142184
0.020000,14.327631,6.121673,0.000479,0.009326,0.233110,49.844092,3.141705
0.020000,14.325334,6.121673,0.002776,0.114825,5.274954,252.092191,3.140988
0.020000,14.321771,6.121677,0.006339,0.178158,3.166680,-105.413701,3.140032
0.020000,14.317317,6.121687,0.010793,0.222695,2.226853,-46.991338,3.138836
0.020000,14.311973,6.121705,0.016138,0.267238,2.227143,0.014510,3.137402
0.020000,14.305737,6.121737,0.022373,0.311772,2.226712,-0.021542,3.135729
0.020000,14.298611,6.121785,0.029499,0.356305,2.226604,-0.005410,3.133817
0.020000,14.290595,6.121856,0.037516,0.400837,2.226602,-0.000115,3.131666
0.020000,14.281688,6.121955,0.046423,0.445365,2.226418,-0.009197,3.129277
0.020000,14.271891,6.122089,0.056221,0.489890,2.226261,-0.007827,3.126650
0.020000,14.261205,6.122264,0.066909,0.534407,2.225821,-0.022004,3.123784
0.020000,14.249628,6.122488,0.078487,0.578923,2.225804,-0.000870,3.120681
0.020000,14.237163,6.122769,0.090956,0.623421,2.224931,-0.043621,3.117341
0.020000,14.223809,6.123117,0.104314,0.667913,2.224602,-0.016482,3.113765
0.020000,14.209568,6.123541,0.118562,0.712390,2.223841,-0.038016,3.109952
0.020000,14.194439,6.124050,0.133699,0.756858,2.223368,-0.023697,3.105904
0.020000,14.178425,6.124656,0.149725,0.801301,2.222157,-0.060541,3.101622
0.020000,14.161525,6.125370,0.166640,0.845726,2.221281,-0.043775,3.097107
0.020000,14.143742,6.126204,0.184442,0.890121,2.219743,-0.076926,3.092359
0.020000,14.125077,6.127171,0.203132,0.934499,2.218908,-0.041724,3.087382
0.020000,14.105532,6.128282,0.222709,0.978834,2.216733,-0.108770,3.082175
0.020000,14.085109,6.129553,0.243171,1.023131,2.214845,-0.094415,3.076742
0.020000,14.063810,6.130997,0.264519,1.067397,2.213317,-0.076362,3.071084
0.020000,14.041638,6.132628,0.286751,1.111603,2.210288,-0.151479,3.065204
0.020000,14.018596,6.134462,0.309867,1.155759,2.207810,-0.123861,3.059105
0.020000,13.994687,6.136515,0.333864,1.199852,2.204642,-0.158447,3.052789
0.020000,13.969914,6.138802,0.358741,1.243887,2.201771,-0.143537,3.046261
0.020000,13.944283,6.141341,0.384498,1.287840,2.197642,-0.206428,3.039523
0.020000,13.917797,6.144146,0.411132,1.331713,2.193635,-0.200375,3.032580
0.020000,13.890461,6.147237,0.438642,1.375501,2.189408,-0.211338,3.025437
0.020000,13.862281,6.150630,0.467026,1.419186,2.184259,-0.257440,3.018099
0.020000,13.833262,6.154343,0.496281,1.462766,2.178974,-0.264283,3.010570
0.020000,13.803411,6.158394,0.526406,1.506232,2.173287,-0.284305,3.002858
0.020000,13.772734,6.162801,0.557398,1.549571,2.166959,-0.316435,2.994968
0.020000,13.741240,6.167582,0.589253,1.592779,2.160429,-0.326491,2.986907
0.020000,13.708934,6.172756,0.621970,1.635844,2.153226,-0.360130,2.978683
0.020000,13.675827,6.178341,0.655545,1.678748,2.145234,-0.399609,2.970304
0.020000,13.641926,6.184354,0.689975,1.721495,2.137350,-0.394189,2.961777
0.020000,13.607242,6.190815,0.725256,1.764068,2.128631,-0.435944,2.953113
0.020000,13.571783,6.197740,0.761385,1.806454,2.119302,-0.466466,2.944319
0.020000,13.535559,6.205148,0.798358,1.848648,2.109679,-0.481174,2.935407
0.020000,13.498583,6.213057,0.836171,1.890637,2.099445,-0.511689,2.926387
0.020000,13.460864,6.221483,0.874819,1.932412,2.088785,-0.532989,2.917269
0.020000,13.422415,6.230442,0.914299,1.973967,2.077714,-0.553550,2.908065
0.020000,13.383247,6.239951,0.954604,2.015288,2.066061,-0.582672,2.898787
0.020000,13.343373,6.250026,0.995732,2.056369,2.054047,-0.600709,2.889448
0.020000,13.302805,6.260682,1.037676,2.097202,2.041647,-0.619995,2.880059
0.020000,13.261556,6.271931,1.080431,2.137778,2.028799,-0.642379,2.870635
0.020000,13.219639,6.283790,1.123993,2.178090,2.015637,-0.658108,2.861189
0.020000,13.177068,6.296269,1.168356,2.218134,2.002180,-0.672855,2.851733
0.020000,13.133855,6.309381,1.213514,2.257902,1.988391,-0.689450,2.842284
0.020000,13.090015,6.323136,1.259462,2.297390,1.974401,-0.699471,2.832854
0.020000,13.045560,6.337546,1.306193,2.336593,1.960156,-0.712264,2.823459
0.020000,13.000504,6.352618,1.353704,2.375508,1.945733,-0.721137,2.814114
0.020000,12.954860,6.368361,1.401986,2.414132,1.931195,-0.726922,2.804833
0.020000,12.908641,6.384783,1.451035,2.452462,1.916540,-0.732727,2.795631
0.020000,12.861860,6.401887,1.500845,2.490498,1.901801,-0.736975,2.786523
0.020000,12.814730,6.419604,1.551196,2.517538,1.351987,-27.490698,2.777563
0.020000,12.767758,6.437737,1.601546,2.517507,-0.001562,-67.677438,2.768853
0.020000,12.721442,6.456072,1.651359,2.490635,-1.343606,-67.102231,2.760485
0.020000,12.676067,6.474465,1.700321,2.448076,-2.127923,-39.215849,2.752503
0.020000,12.631714,6.492848,1.748332,2.400578,-2.374895,-12.348565,2.744911
0.020000,12.588368,6.511190,1.795399,2.353337,-2.362076,0.640963,2.737698
0.020000,12.546015,6.529464,1.841526,2.306352,-2.349254,0.641060,2.730849
0.020000,12.504641,6.547644,1.886718,2.259621,-2.336548,0.635317,2.724351
0.020000,12.464231,6.565706,1.930981,2.213141,-2.323978,0.628514,2.718192
0.020000,12.424772,6.583628,1.974319,2.166911,-2.311494,0.624203,2.712358
0.020000,12.386251,6.601389,2.016738,2.120927,-2.299243,0.612543,2.706838
0.020000,12.348654,6.618968,2.058242,2.075182,-2.287209,0.601682,2.701619
0.020000,12.311970,6.636349,2.098835,2.029674,-2.275398,0.590538,2.696689
0.020000,12.276185,6.653513,2.138523,1.984397,-2.263883,0.575770,2.692035
0.020000,12.241290,6.670445,2.177310,1.939345,-2.252566,0.565858,2.687647
0.020000,12.207271,6.687132,2.215200,1.894514,-2.241584,0.549115,2.683512
0.020000,12.174120,6.703558,2.252198,1.849898,-2.230806,0.538866,2.679621
0.020000,12.141825,6.719712,2.288308,1.805488,-2.220464,0.517108,2.675962
0.020000,12.110377,6.735582,2.323534,1.761284,-2.210224,0.512023,2.672526
0.020000,12.079766,6.751158,2.357879,1.717276,-2.200387,0.491810,2.669300
0.020000,12.049984,6.766430,2.391348,1.673460,-2.190827,0.478018,2.666277
0.020000,12.021022,6.781388,2.423945,1.629829,-2.181520,0.465327,2.663447
0.020000,11.992872,6.796024,2.455672,1.586379,-2.172497,0.451174,2.660799
0.020000,11.965527,6.810331,2.486534,1.543103,-2.163827,0.433507,2.658326
0.020000,11.938979,6.824302,2.516534,1.499996,-2.155314,0.425618,2.656018
0.020000,11.913221,6.837931,2.545675,1.457053,-2.147193,0.406065,2.653868
0.020000,11.888247,6.851211,2.573961,1.414267,-2.139277,0.395801,2.651867
0.020000,11.864051,6.864138,2.601394,1.371635,-2.131607,0.383522,2.650007
0.020000,11.840627,6.876706,2.627977,1.329150,-2.124262,0.367233,2.648280
0.020000,11.817969,6.888911,2.653713,1.286806,-2.117160,0.355094,2.646680
0.020000,11.796073,6.900750,2.678605,1.244601,-2.110258,0.345090,2.645200
0.020000,11.774933,6.912219,2.702655,1.202528,-2.103654,0.330198,2.643832
0.020000,11.754545,6.923315,2.725867,1.160583,-2.097277,0.318855,2.642570
0.020000,11.734904,6.934034,2.748242,1.118760,-2.091143,0.306734,2.641408
0.020000,11.716008,6.944375,2.769783,1.077054,-2.085274,0.293408,2.640339
0.020000,11.697851,6.954336,2.790492,1.035462,-2.079591,0.284172,2.639359
0.020000,11.680431,6.963913,2.810372,0.993979,-2.074185,0.270320,2.638461
0.020000,11.663744,6.973106,2.829424,0.952599,-2.068967,0.260875,2.637639
0.020000,11.647786,6.981914,2.847650,0.911319,-2.064030,0.246836,2.636890
0.020000,11.632556,6.990334,2.865053,0.870134,-2.059257,0.238688,2.636208
0.020000,11.618051,6.998366,2.881634,0.829039,-2.054735,0.226077,2.635588
0.020000,11.604268,7.006009,2.897394,0.788030,-2.050455,0.213995,2.635026
0.020000,11.591204,7.013262,2.912336,0.747103,-2.046344,0.205570,2.634518
0.020000,11.578858,7.020124,2.926462,0.706253,-2.042494,0.192509,2.634060
0.020000,11.567227,7.026595,2.939771,0.665477,-2.038829,0.183246,2.633648
0.020000,11.556311,7.032675,2.952266,0.624769,-2.035401,0.171407,2.633279
0.020000,11.546106,7.038362,2.963949,0.584125,-2.032165,0.161760,2.632949
0.020000,11.536612,7.043658,2.974820,0.543542,-2.029156,0.150495,2.632655
0.020000,11.527828,7.048561,2.984880,0.503015,-2.026345,0.140502,2.632394
0.020000,11.519751,7.053071,2.994131,0.462540,-2.023764,0.129095,2.632164
0.020000,11.512381,7.057189,3.002573,0.422112,-2.021374,0.119469,2.631962
0.020000,11.505717,7.060914,3.010208,0.381728,-2.019213,0.108037,2.631786
0.020000,11.499758,7.064247,3.017035,0.341384,-2.017217,0.099802,2.631634
0.020000,11.494503,7.067187,3.023057,0.301074,-2.015489,0.086400,2.631504
0.020000,11.489951,7.069733,3.028273,0.260796,-2.013923,0.078306,2.631395
0.020000,11.486102,7.071888,3.032684,0.220544,-2.012594,0.066460,2.631305
0.020000,11.482955,7.073649,3.036290,0.180315,-2.011442,0.057610,2.631232
0.020000,11.480510,7.075018,3.039092,0.140104,-2.010525,0.045853,2.631177
0.020000,11.478767,7.075994,3.041090,0.099908,-2.009802,0.036133,2.631139
0.020000,11.477724,7.076578,3.042285,0.059723,-2.009284,0.025884,2.631116
0.020000,11.477293,7.076819,3.042779,0.024702,-1.751048,12.911817,2.631106
0.020000,11.477208,7.076867,3.042876,0.004886,-0.990798,38.012497,2.631104
0.020000,11.477208,7.076867,3.042876,0.000000,-0.244285,37.325686,2.631104
