dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.327587,6.511673,0.000199,0.019939,0.996945,49.847244,3.142423
0.020000,14.327587,6.511673,0.000997,0.059817,1.993890,49.847244,3.142184
0.020000,14.327587,6.511673,0.002592,0.099694,1.993890,-0.000000,3.141705
0.020000,14.325570,6.511673,0.004985,0.139572,1.993890,0.000000,3.140988
0.020000,14.322380,6.511677,0.008175,0.179450,1.993890,-0.000000,3.140032
0.020000,14.318392,6.511685,0.012163,0.219328,1.993890,-0.000000,3.138836
0.020000,14.313607,6.511702,0.016948,0.259206,1.993890,0.000000,3.137402
0.020000,14.308024,6.511730,0.022531,0.299083,1.993890,0.000000,3.135729
0.020000,14.301644,6.511773,0.028911,0.338961,1.993890,0.000000,3.133817
0.020000,14.294466,6.511837,0.036089,0.378839,1.993890,-0.000000,3.131666
0.020000,14.286491,6.511926,0.044065,0.418717,1.993890,0.000000,3.129277
0.020000,14.277719,6.512045,0.052838,0.458595,1.993890,-0.000000,3.126650
0.020000,14.268149,6.512202,0.062409,0.498472,1.993890,-0.000000,3.123784
0.020000,14.257783,6.512403,0.072777,0.538350,1.993890,0.000000,3.120681
0.020000,14.246620,6.512655,0.083943,0.578228,1.993890,-0.000000,3.117341
0.020000,14.234661,6.512966,0.095906,0.618106,1.993890,0.000000,3.113765
0.020000,14.221906,6.513346,0.108667,0.657984,1.993890,-0.000000,3.109952
0.020000,14.208355,6.513802,0.122225,0.697861,1.993890,0.000000,3.105904
0.020000,14.194009,6.514345,0.136581,0.737739,1.993890,0.000000,3.101622
0.020000,14.178869,6.514985,0.151735,0.777617,1.993890,0.000000,3.097107
0.020000,14.162935,6.515732,0.167686,0.817495,1.993890,-0.000000,3.092359
0.020000,14.146209,6.516598,0.184435,0.857373,1.993890,0.000000,3.087382
0.020000,14.128691,6.517594,0.201981,0.897250,1.993890,0.000000,3.082175
0.020000,14.110383,6.518733,0.220325,0.937128,1.993890,0.000000,3.076742
0.020000,14.091285,6.520028,0.239466,0.977006,1.993890,0.000000,3.071084
0.020000,14.071400,6.521491,0.259405,1.016884,1.993890,-0.000000,3.065204
0.020000,14.050729,6.523136,0.280142,1.056762,1.993890,0.000000,3.059105
0.020000,14.029274,6.524978,0.301676,1.096639,1.993890,-0.000000,3.052789
0.020000,14.007037,6.527032,0.324007,1.136517,1.993890,0.000000,3.046261
0.020000,13.984021,6.529311,0.347136,1.176395,1.993890,0.000000,3.039523
0.020000,13.960227,6.531831,0.371063,1.216273,1.993890,-0.000000,3.032580
0.020000,13.935660,6.534609,0.395787,1.256151,1.993890,0.000000,3.025437
0.020000,13.910321,6.537660,0.421309,1.296028,1.993890,-0.000000,3.018099
0.020000,13.884215,6.541000,0.447628,1.335906,1.993890,0.000000,3.010570
0.020000,13.857344,6.544647,0.474745,1.375784,1.993890,0.000000,3.002858
