dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.327263,6.901672,0.000199,0.019939,0.996945,49.847244,3.142423
0.020000,14.327356,6.901672,0.000293,0.004663,-0.763772,-88.035841,3.142184
0.020000,14.327543,6.901673,0.000479,0.009326,0.233110,49.844092,3.141705
0.020000,14.325806,6.901673,0.002216,0.086851,3.876244,182.156681,3.140988
0.020000,14.322989,6.901676,0.005033,0.140862,2.700599,-58.782251,3.140032
0.020000,14.319467,6.901684,0.008555,0.176078,1.760785,-46.990652,3.138836
0.020000,14.315241,6.901698,0.012781,0.211300,1.761103,0.015899,3.137402
0.020000,14.310311,6.901723,0.017711,0.246518,1.760888,-0.010759,3.135729
0.020000,14.304676,6.901762,0.023346,0.281738,1.760976,0.004369,3.133817
0.020000,14.298337,6.901818,0.029685,0.316962,1.761207,0.011546,3.131666
0.020000,14.291294,6.901896,0.036729,0.352189,1.761368,0.008060,3.129277
0.020000,14.283546,6.902002,0.044478,0.387422,1.761640,0.013635,3.126650
0.020000,14.275094,6.902140,0.052931,0.422658,1.761796,0.007800,3.123784
0.020000,14.265938,6.902317,0.062089,0.457906,1.762414,0.030868,3.120681
0.020000,14.256077,6.902540,0.071952,0.493156,1.762503,0.004474,3.117341
0.020000,14.245512,6.902815,0.082520,0.528420,1.763194,0.034515,3.113765
0.020000,14.234243,6.903150,0.093794,0.563695,1.763740,0.027298,3.109952
0.020000,14.222270,6.903554,0.105774,0.598989,1.764735,0.049779,3.105904
0.020000,14.209594,6.904033,0.118460,0.634297,1.765399,0.033186,3.101622
0.020000,14.196213,6.904599,0.131853,0.669630,1.766609,0.060513,3.097107
0.020000,14.182129,6.905259,0.145952,0.704982,1.767607,0.049895,3.092359
0.020000,14.167341,6.906025,0.160760,0.740372,1.769508,0.095052,3.087382
0.020000,14.151850,6.906906,0.176275,0.775786,1.770727,0.060927,3.082175
0.020000,14.135657,6.907913,0.192500,0.811238,1.772587,0.093035,3.076742
0.020000,14.118761,6.909059,0.209435,0.846742,1.775186,0.129930,3.071084
0.020000,14.101163,6.910354,0.227081,0.882284,1.777081,0.094774,3.065204
0.020000,14.082863,6.911810,0.245438,0.917882,1.779941,0.142972,3.059105
0.020000,14.063862,6.913442,0.264509,0.953539,1.782815,0.143707,3.052789
0.020000,14.044161,6.915261,0.284294,0.989269,1.786528,0.185658,3.046261
0.020000,14.023759,6.917281,0.304796,1.025067,1.789881,0.167624,3.039523
0.020000,14.002658,6.919516,0.326015,1.060947,1.794005,0.206220,3.032580
0.020000,13.980859,6.921981,0.347953,1.096920,1.798667,0.233098,3.025437
0.020000,13.958361,6.924690,0.370613,1.132987,1.803340,0.233646,3.018099
0.020000,13.935167,6.927658,0.393996,1.169161,1.808681,0.267070,3.010570
0.020000,13.911277,6.930900,0.418105,1.205451,1.814511,0.291479,3.002858
0.020000,13.886692,6.934432,0.442942,1.241864,1.820661,0.307516,2.994968
0.020000,13.861414,6.938269,0.468511,1.278414,1.827509,0.342385,2.986907
0.020000,13.835442,6.942429,0.494813,1.315108,1.834695,0.359326,2.978683
0.020000,13.808780,6.946926,0.521852,1.351951,1.842140,0.372242,2.970304
0.020000,13.781428,6.951778,0.549631,1.388963,1.850576,0.421808,2.961777
0.020000,13.753387,6.957001,0.578154,1.426148,1.859250,0.433675,2.953113
0.020000,13.724660,6.962612,0.607424,1.463514,1.868340,0.454490,2.944319
0.020000,13.695247,6.968627,0.637446,1.501076,1.878095,0.487784,2.935407
0.020000,13.665151,6.975064,0.668223,1.538841,1.888249,0.507663,2.926387
0.020000,13.634373,6.981939,0.699759,1.576820,1.898930,0.534074,2.917269
0.020000,13.602915,6.989270,0.732060,1.615022,1.910127,0.559865,2.908065
0.020000,13.570780,6.997072,0.765129,1.653456,1.921669,0.577094,2.898787
0.020000,13.537968,7.005362,0.798971,1.692130,1.933699,0.601512,2.889448
0.020000,13.504483,7.014157,0.833592,1.731053,1.946155,0.622777,2.880059
0.020000,13.470326,7.023473,0.868997,1.770232,1.958936,0.639053,2.870635
0.020000,13.435499,7.033326,0.905190,1.809674,1.972099,0.658137,2.861189
0.020000,13.400005,7.043730,0.942178,1.849386,1.985602,0.675159,2.851733
