dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.228182,1.396242,0.000197,0.019683,0.984130,49.206500,3.140646
0.020000,14.228301,1.396241,0.000316,0.005975,-0.685395,-83.476247,3.140952
0.020000,14.228540,1.396241,0.000555,0.011947,0.298639,49.201705,3.141565
0.020000,14.226608,1.396240,0.002487,0.096574,4.231313,196.633668,3.142484
0.020000,14.223937,1.396236,0.005158,0.133567,1.849673,-119.081977,3.143709
0.020000,14.220598,1.396227,0.008497,0.166964,1.669834,-8.991936,3.145240
0.020000,14.216591,1.396209,0.012504,0.200352,1.669410,-0.021219,3.147078
0.020000,14.211916,1.396178,0.017179,0.233746,1.669690,0.013984,3.149222
0.020000,14.206574,1.396131,0.022522,0.267138,1.669591,-0.004935,3.151673
0.020000,14.200563,1.396062,0.028533,0.300541,1.670143,0.027598,3.154429
0.020000,14.193885,1.395966,0.035212,0.333940,1.669958,-0.009222,3.157491
0.020000,14.186539,1.395837,0.042559,0.367345,1.670248,0.014481,3.160859
0.020000,14.178526,1.395667,0.050574,0.400766,1.671091,0.042147,3.164532
0.020000,14.169845,1.395451,0.059258,0.434190,1.671196,0.005255,3.168509
0.020000,14.160496,1.395179,0.068610,0.467631,1.672040,0.042198,3.172790
0.020000,14.150480,1.394844,0.078632,0.501090,1.672925,0.044255,3.177374
0.020000,14.139796,1.394435,0.089324,0.534570,1.674032,0.055341,3.182260
0.020000,14.128445,1.393944,0.100685,0.568083,1.675646,0.080713,3.187446
0.020000,14.116427,1.393359,0.112718,0.601624,1.677032,0.069301,3.192930
0.020000,14.103741,1.392671,0.125422,0.635206,1.679084,0.102606,3.198711
0.020000,14.090389,1.391866,0.138798,0.668833,1.681387,0.115127,3.204787
0.020000,14.076370,1.390935,0.152849,0.702513,1.684002,0.130776,3.211153
0.020000,14.061683,1.389862,0.167574,0.736267,1.687659,0.182814,3.217808
0.020000,14.046331,1.388636,0.182976,0.770084,1.690865,0.160335,3.224747
0.020000,14.030311,1.387243,0.199056,0.803989,1.695251,0.219262,3.231966
0.020000,14.013626,1.385668,0.215815,0.837987,1.699908,0.232847,3.239461
0.020000,13.996274,1.383896,0.233257,0.872095,1.705383,0.273785,3.247225
0.020000,13.978256,1.381912,0.251384,0.906324,1.711477,0.304674,3.255252
0.020000,13.959573,1.379701,0.270197,0.940682,1.717871,0.319706,3.263536
0.020000,13.940224,1.377246,0.289701,0.975194,1.725634,0.388150,3.272069
0.020000,13.920210,1.374530,0.309899,1.009871,1.733850,0.410801,3.280843
0.020000,13.899532,1.371537,0.330793,1.044722,1.742520,0.433498,3.289848
0.020000,13.878188,1.368248,0.352389,1.079776,1.752694,0.508717,3.299074
0.020000,13.856180,1.364647,0.374689,1.115043,1.763361,0.533320,3.308510
0.020000,13.833508,1.360714,0.397700,1.150536,1.774643,0.564138,3.318144
0.020000,13.810172,1.356432,0.421426,1.186283,1.787360,0.635820,3.327965
0.020000,13.786172,1.351782,0.445872,1.222296,1.800664,0.665204,3.337957
0.020000,13.761509,1.346746,0.471043,1.258590,1.814689,0.701283,3.348106
0.020000,13.736184,1.341303,0.496947,1.295190,1.829985,0.764785,3.358398
0.020000,13.710195,1.335436,0.523589,1.332108,1.845928,0.797124,3.368815
0.020000,13.683545,1.329126,0.550977,1.369360,1.862614,0.834344,3.379340
0.020000,13.656233,1.322353,0.579116,1.406968,1.880355,0.887049,3.389955
0.020000,13.628259,1.315099,0.608015,1.444942,1.898726,0.918509,3.400642
0.020000,13.599624,1.307346,0.637681,1.483298,1.917782,0.952823,3.411380
0.020000,13.570329,1.299074,0.668122,1.522050,1.937630,0.992419,3.422150
