dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.228551,1.786241,0.000197,0.019683,0.984130,49.206500,3.140646
0.020000,14.228551,1.786241,0.000984,0.059048,1.968260,49.206500,3.140952
0.020000,14.228551,1.786241,0.002559,0.098413,1.968260,0.000000,3.141565
0.020000,14.226261,1.786240,0.004921,0.137778,1.968260,0.000000,3.142484
0.020000,14.223112,1.786236,0.008070,0.177143,1.968260,0.000000,3.143709
0.020000,14.219175,1.786224,0.012006,0.216509,1.968260,0.000000,3.145240
0.020000,14.214451,1.786203,0.016730,0.255874,1.968260,0.000000,3.147078
0.020000,14.208940,1.786167,0.022241,0.295239,1.968260,-0.000000,3.149222
0.020000,14.202642,1.786111,0.028540,0.334604,1.968260,0.000000,3.151673
0.020000,14.195557,1.786030,0.035626,0.373969,1.968260,0.000000,3.154429
0.020000,14.187685,1.785916,0.043499,0.413335,1.968260,-0.000000,3.157491
0.020000,14.179026,1.785764,0.052159,0.452700,1.968260,-0.000000,3.160859
0.020000,14.169580,1.785565,0.061607,0.492065,1.968260,0.000000,3.164532
0.020000,14.159349,1.785310,0.071841,0.531430,1.968260,-0.000000,3.168509
0.020000,14.148331,1.784990,0.082864,0.570795,1.968260,0.000000,3.172790
0.020000,14.136528,1.784594,0.094673,0.610161,1.968260,0.000000,3.177374
0.020000,14.123940,1.784113,0.107270,0.649526,1.968260,-0.000000,3.182260
0.020000,14.110569,1.783534,0.120654,0.688891,1.968260,0.000000,3.187446
0.020000,14.096414,1.782845,0.134826,0.728256,1.968260,0.000000,3.192930
0.020000,14.081477,1.782035,0.149785,0.767621,1.968260,-0.000000,3.198711
0.020000,14.065760,1.781088,0.165531,0.806987,1.968260,0.000000,3.204787
0.020000,14.049263,1.779991,0.182064,0.846352,1.968260,0.000000,3.211153
0.020000,14.031988,1.778730,0.199385,0.885717,1.968260,-0.000000,3.217808
0.020000,14.013938,1.777289,0.217493,0.925082,1.968260,0.000000,3.224747
0.020000,13.995113,1.775651,0.236388,0.964447,1.968260,0.000000,3.231966
0.020000,13.975518,1.773801,0.256071,1.003813,1.968260,0.000000,3.239461
0.020000,13.955154,1.771722,0.276541,1.043178,1.968260,-0.000000,3.247225
0.020000,13.934025,1.769396,0.297798,1.082543,1.968260,0.000000,3.255252
0.020000,13.912133,1.766805,0.319842,1.121908,1.968260,0.000000,3.263536
0.020000,13.889483,1.763931,0.342674,1.161273,1.968260,0.000000,3.272069
0.020000,13.866078,1.760755,0.366293,1.200639,1.968260,-0.000000,3.280843
0.020000,13.841924,1.757259,0.390700,1.240004,1.968260,0.000000,3.289848
0.020000,13.817024,1.753422,0.415893,1.279369,1.968260,0.000000,3.299074
0.020000,13.791384,1.749226,0.441874,1.318734,1.968260,-0.000000,3.308510
0.020000,13.765010,1.744652,0.468643,1.358099,1.968260,0.000000,3.318144
0.020000,13.737906,1.739678,0.496198,1.397465,1.968260,-0.000000,3.327965
0.020000,13.710081,1.734287,0.524541,1.436830,1.968260,0.000000,3.337957
0.020000,13.681540,1.728459,0.553672,1.476195,1.968260,-0.000000,3.348106
0.020000,13.652290,1.722173,0.583589,1.515560,1.968260,0.000000,3.358398
0.020000,13.622339,1.715412,0.614294,1.554925,1.968260,0.000000,3.368815
0.020000,13.591695,1.708156,0.645786,1.594291,1.968260,-0.000000,3.379340
0.020000,13.560364,1.700387,0.678066,1.633656,1.968260,0.000000,3.389955
0.020000,13.528356,1.692087,0.711132,1.673021,1.968260,-0.000000,3.400642
0.020000,13.495679,1.683239,0.744986,1.712386,1.968260,0.000000,3.411380
0.020000,13.462341,1.673825,0.779628,1.751751,1.968260,-0.000000,3.422150
0.020000,13.428352,1.663832,0.815056,1.791117,1.968260,0.000000,3.432930
0.020000,13.393719,1.653242,0.851272,1.830482,1.968260,-0.000000,3.443700
0.020000,13.358451,1.642042,0.888276,1.869847,1.968260,-0.000000,3.454436
0.020000,13.322558,1.630219,0.926066,1.909212,1.968260,0.000000,3.465117
0.020000,13.286048,1.617760,0.964644,1.948577,1.968260,-0.000000,3.475720
0.020000,13.248928,1.604654,1.004009,1.987943,1.968260,0.000000,3.486221
0.020000,13.211208,1.590892,1.044162,2.027308,1.968260,-0.000000,3.496599
0.020000,13.172895,1.576464,1.085102,2.066673,1.968260,0.000000,3.506828
0.020000,13.133996,1.561363,1.126829,2.106038,1.968260,0.000000,3.516887
0.020000,13.094519,1.545584,1.169343,2.145403,1.968260,0.000000,3.526751
0.020000,13.054469,1.529120,1.212645,2.184769,1.968260,0.000000,3.536397
0.020000,13.014074,1.512065,1.256493,2.200081,0.765601,-60.132965,3.545752
0.020000,12.973916,1.494675,1.300255,2.176027,-1.202659,-98.413000,3.554673
0.020000,12.934491,1.477196,1.343381,2.136662,-1.968260,-38.280035,3.563059
0.020000,12.895925,1.459722,1.385721,2.097297,-1.968260,0.000000,3.570901
0.020000,12.858208,1.442287,1.427273,2.057932,-1.968260,0.000000,3.578220
0.020000,12.821327,1.424921,1.468038,2.018567,-1.968260,-0.000000,3.585040
0.020000,12.785271,1.407653,1.508016,1.979201,-1.968260,0.000000,3.591382
0.020000,12.750029,1.390509,1.547206,1.939836,-1.968260,0.000000,3.597267
0.020000,12.715591,1.373515,1.585609,1.900471,-1.968260,-0.000000,3.602716
0.020000,12.681947,1.356692,1.623225,1.861106,-1.968260,0.000000,3.607751
0.020000,12.649087,1.340062,1.660054,1.821741,-1.968260,-0.000000,3.612392
0.020000,12.617002,1.323645,1.696095,1.782375,-1.968260,0.000000,3.616656
0.020000,12.585684,1.307458,1.731349,1.743010,-1.968260,-0.000000,3.620565
0.020000,12.555125,1.291518,1.765815,1.703645,-1.968260,-0.000000,3.624137
0.020000,12.525317,1.275841,1.799495,1.664280,-1.968260,0.000000,3.627388
0.020000,12.496254,1.260440,1.832386,1.624915,-1.968260,-0.000000,3.630337
0.020000,12.467928,1.245328,1.864491,1.585549,-1.968260,0.000000,3.633001
0.020000,12.440334,1.230516,1.895808,1.546184,-1.968260,-0.000000,3.635395
0.020000,12.413467,1.216017,1.926338,1.506819,-1.968260,0.000000,3.637536
0.020000,12.387322,1.201838,1.956081,1.467454,-1.968260,-0.000000,3.639439
0.020000,12.361893,1.187989,1.985037,1.428089,-1.968260,0.000000,3.641119
