dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.228920,2.176241,0.000197,0.019683,0.984130,49.206500,3.140646
0.020000,14.228801,2.176241,0.000316,0.005975,-0.685395,-83.476247,3.140952
0.020000,14.228562,2.176241,0.000555,0.011947,0.298639,49.201705,3.141565
0.020000,14.225914,2.176240,0.003204,0.132413,6.023277,286.231904,3.142484
0.020000,14.222287,2.176235,0.006831,0.181352,2.446944,-178.816654,3.143709
0.020000,14.217753,2.176222,0.011365,0.226697,2.267248,-8.984826,3.145240
0.020000,14.212312,2.176197,0.016805,0.272029,2.266629,-0.030954,3.147078
0.020000,14.205965,2.176155,0.023152,0.317367,2.266902,0.013695,3.149222
0.020000,14.198711,2.176091,0.030406,0.362699,2.266570,-0.016632,3.151673
0.020000,14.190551,2.175997,0.038567,0.408039,2.266993,0.021147,3.154429
0.020000,14.181485,2.175867,0.047634,0.453364,2.266248,-0.037241,3.157491
0.020000,14.171513,2.175692,0.057608,0.498682,2.265933,-0.015727,3.160859
0.020000,14.160635,2.175462,0.068488,0.544004,2.266106,0.008628,3.164532
0.020000,14.148852,2.175168,0.080274,0.589304,2.264957,-0.057446,3.168509
0.020000,14.136166,2.174800,0.092966,0.634592,2.264430,-0.026349,3.172790
0.020000,14.122576,2.174344,0.106563,0.679862,2.263512,-0.045923,3.177374
0.020000,14.108085,2.173790,0.121066,0.725110,2.262375,-0.056811,3.182260
0.020000,14.092692,2.173124,0.136472,0.770337,2.261332,-0.052146,3.187446
0.020000,14.076401,2.172332,0.152783,0.815523,2.259304,-0.101416,3.192930
0.020000,14.059213,2.171399,0.169996,0.860671,2.257418,-0.094309,3.198711
0.020000,14.041130,2.170310,0.188112,0.905771,2.255021,-0.119862,3.204787
0.020000,14.022156,2.169048,0.207128,0.950814,2.252105,-0.145807,3.211153
0.020000,14.002293,2.167598,0.227044,0.995805,2.249558,-0.127321,3.217808
0.020000,13.981545,2.165941,0.247858,1.040710,2.245267,-0.214560,3.224747
0.020000,13.959916,2.164060,0.269569,1.085537,2.241334,-0.196643,3.231966
0.020000,13.937410,2.161935,0.292174,1.130265,2.236433,-0.245047,3.239461
0.020000,13.914034,2.159548,0.315672,1.174889,2.231204,-0.261480,3.247225
0.020000,13.889793,2.156879,0.340060,1.219395,2.225276,-0.296383,3.255252
0.020000,13.864693,2.153909,0.365335,1.263758,2.218130,-0.357277,3.263536
0.020000,13.838741,2.150616,0.391495,1.307980,2.211113,-0.350865,3.272069
