dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.273000,6.499999,0.000200,0.019995,0.999730,49.986504,1.570798
0.020000,10.273000,6.500139,0.000340,0.006991,-0.650171,-82.495034,1.570796
0.020000,10.273000,6.501740,0.001941,0.080043,3.652583,215.137660,1.570793
0.020000,10.273000,6.504141,0.004342,0.120064,2.001049,-82.576703,1.570788
0.020000,10.273000,6.507343,0.007544,0.160084,2.001022,-0.001350,1.570781
0.020000,10.273000,6.511345,0.011546,0.200104,2.000986,-0.001800,1.570773
0.020000,10.273000,6.516148,0.016348,0.240123,2.000941,-0.002251,1.570764
0.020000,10.273000,6.521750,0.021951,0.280140,2.000886,-0.002701,1.570752
0.020000,10.273001,6.528154,0.028354,0.320157,2.000823,-0.003151,1.570740
0.020000,10.273001,6.535357,0.035558,0.360172,2.000751,-0.003601,1.570726
0.020000,10.273002,6.543361,0.043561,0.400185,2.000670,-0.004051,1.570711
0.020000,10.273003,6.552165,0.052365,0.440197,2.000580,-0.004501,1.570695
0.020000,10.273004,6.561769,0.061969,0.480207,2.000481,-0.004951,1.570678
0.020000,10.273005,6.572173,0.072374,0.520214,2.000373,-0.005401,1.570660
0.020000,10.273007,6.583377,0.083578,0.560219,2.000256,-0.005852,1.570641
0.020000,10.273009,6.595382,0.095582,0.600222,2.000130,-0.006302,1.570621
0.020000,10.273011,6.608186,0.108387,0.640222,1.999995,-0.006752,1.570601
0.020000,10.273014,6.621791,0.121991,0.680219,1.999851,-0.007202,1.570580
0.020000,10.273017,6.636195,0.136395,0.720213,1.999698,-0.007652,1.570559
0.020000,10.273021,6.651399,0.151600,0.760203,1.999536,-0.008102,1.570538
0.020000,10.273025,6.667403,0.167603,0.800191,1.999365,-0.008552,1.570517
0.020000,10.273030,6.684206,0.184407,0.840174,1.999185,-0.009002,1.570497
0.020000,10.273036,6.701809,0.202010,0.880154,1.998996,-0.009453,1.570477
0.020000,10.273042,6.720212,0.220413,0.920130,1.998798,-0.009903,1.570457
0.020000,10.273048,6.739414,0.239615,0.960102,1.998591,-0.010353,1.570439
0.020000,10.273056,6.759415,0.259616,1.000070,1.998375,-0.010803,1.570421
0.020000,10.273064,6.780216,0.280417,1.040033,1.998150,-0.011253,1.570405
0.020000,10.273072,6.801816,0.302016,1.079991,1.997916,-0.011703,1.570391
0.020000,10.273081,6.824215,0.324415,1.119944,1.997673,-0.012153,1.570378
0.020000,10.273091,6.847413,0.347613,1.159893,1.997421,-0.012603,1.570368
0.020000,10.273102,6.871409,0.371610,1.199836,1.997159,-0.013054,1.570359
0.020000,10.273113,6.896205,0.396405,1.239774,1.996889,-0.013504,1.570354
0.020000,10.273124,6.921599,0.421800,1.269709,1.496737,-25.007616,1.570351
0.020000,10.273135,6.947124,0.447324,1.276226,0.325890,-58.542332,1.570352
0.020000,10.273146,6.972310,0.472511,1.259332,-0.844734,-58.531210,1.570355
0.020000,10.273157,6.996828,0.497028,1.225866,-1.673302,-41.428394,1.570362
0.020000,10.273167,7.020544,0.520745,1.185827,-2.001941,-16.431973,1.570370
0.020000,10.273177,7.043460,0.543660,1.145793,-2.001674,0.013350,1.570382
0.020000,10.273186,7.065575,0.565776,1.105765,-2.001416,0.012900,1.570395
0.020000,10.273194,7.086890,0.587091,1.065742,-2.001167,0.012450,1.570410
0.020000,10.273202,7.107404,0.607605,1.025723,-2.000927,0.011999,1.570426
0.020000,10.273209,7.127119,0.627319,0.985709,-2.000696,0.011549,1.570444
0.020000,10.273216,7.146033,0.646233,0.945700,-2.000474,0.011099,1.570463
0.020000,10.273222,7.164147,0.664347,0.905694,-2.000261,0.010649,1.570482
0.020000,10.273227,7.181460,0.681661,0.865693,-2.000057,0.010199,1.570503
0.020000,10.273232,7.197974,0.698175,0.825696,-1.999862,0.009749,1.570523
0.020000,10.273236,7.213688,0.713889,0.785703,-1.999676,0.009299,1.570544
0.020000,10.273239,7.228603,0.728803,0.745713,-1.999499,0.008849,1.570565
0.020000,10.273242,7.242717,0.742918,0.705726,-1.999331,0.008398,1.570586
0.020000,10.273245,7.256032,0.756233,0.665743,-1.999172,0.007948,1.570606
0.020000,10.273247,7.268547,0.768748,0.625762,-1.999022,0.007498,1.570626
0.020000,10.273249,7.280263,0.780463,0.585784,-1.998881,0.007048,1.570646
0.020000,10.273251,7.291179,0.791380,0.545809,-1.998749,0.006598,1.570664
0.020000,10.273252,7.301296,0.801496,0.505837,-1.998627,0.006148,1.570682
0.020000,10.273253,7.310613,0.810814,0.465867,-1.998513,0.005698,1.570699
0.020000,10.273254,7.319131,0.819332,0.425899,-1.998408,0.005248,1.570715
0.020000,10.273254,7.326850,0.827050,0.385932,-1.998312,0.004797,1.570729
0.020000,10.273255,7.333769,0.833970,0.345968,-1.998225,0.004347,1.570743
0.020000,10.273255,7.339889,0.840090,0.306005,-1.998147,0.003897,1.570755
0.020000,10.273255,7.345210,0.845411,0.266043,-1.998078,0.003447,1.570765
0.020000,10.273255,7.349732,0.849932,0.226083,-1.998018,0.002997,1.570774
0.020000,10.273255,7.353454,0.853655,0.186124,-1.997967,0.002547,1.570782
0.020000,10.273256,7.356378,0.856578,0.146165,-1.997925,0.002097,1.570788
0.020000,10.273256,7.358502,0.858702,0.106207,-1.997892,0.001647,1.570792
0.020000,10.273256,7.359827,0.860027,0.066250,-1.997868,0.001196,1.570795
0.020000,10.273256,7.360421,0.860621,0.029709,-1.827052,8.540814,1.570796
0.020000,10.273256,7.360552,0.860753,0.006573,-1.156783,33.513452,1.570796
0.020000,10.273256,7.360552,0.860753,0.000000,-0.328660,41.406134,1.570796
