dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.663000,6.500000,0.000200,0.019995,0.999730,49.986504,1.570798
0.020000,10.663000,6.500139,0.001000,0.059984,1.999460,49.986504,1.570796
0.020000,10.663000,6.501739,0.002599,0.099973,1.999460,0.000000,1.570793
0.020000,10.663000,6.504138,0.004999,0.139962,1.999460,-0.000000,1.570788
0.020000,10.663000,6.507337,0.008198,0.179951,1.999460,0.000000,1.570781
0.020000,10.663000,6.511336,0.012197,0.219941,1.999460,-0.000000,1.570773
0.020000,10.663000,6.516135,0.016995,0.259930,1.999460,0.000000,1.570764
0.020000,10.663000,6.521733,0.022594,0.299919,1.999460,0.000000,1.570752
0.020000,10.663001,6.528132,0.028992,0.339908,1.999460,-0.000000,1.570740
0.020000,10.663001,6.535330,0.036190,0.379897,1.999460,0.000000,1.570726
0.020000,10.663002,6.543328,0.044188,0.419887,1.999460,0.000000,1.570711
0.020000,10.663003,6.552125,0.052986,0.459876,1.999460,0.000000,1.570695
0.020000,10.663004,6.561723,0.062583,0.499865,1.999460,-0.000000,1.570678
0.020000,10.663005,6.572120,0.072980,0.539854,1.999460,0.000000,1.570660
0.020000,10.663007,6.583317,0.084177,0.579843,1.999460,-0.000000,1.570641
0.020000,10.663009,6.595313,0.096174,0.619833,1.999460,0.000000,1.570621
0.020000,10.663011,6.608110,0.108971,0.659822,1.999460,-0.000000,1.570601
0.020000,10.663014,6.621706,0.122567,0.699811,1.999460,0.000000,1.570580
0.020000,10.663017,6.636102,0.136963,0.739800,1.999460,-0.000000,1.570559
0.020000,10.663021,6.651298,0.152159,0.779789,1.999460,0.000000,1.570538
0.020000,10.663025,6.667294,0.168155,0.819779,1.999460,0.000000,1.570517
0.020000,10.663030,6.684090,0.184950,0.859768,1.999460,-0.000000,1.570497
0.020000,10.663036,6.701685,0.202545,0.899757,1.999460,0.000000,1.570477
0.020000,10.663042,6.720080,0.220940,0.939746,1.999460,0.000000,1.570457
0.020000,10.663048,6.739275,0.240135,0.979735,1.999460,-0.000000,1.570439
0.020000,10.663056,6.759269,0.260130,1.019725,1.999460,0.000000,1.570421
0.020000,10.663064,6.780064,0.280924,1.059714,1.999460,0.000000,1.570405
0.020000,10.663072,6.801658,0.302518,1.099703,1.999460,0.000000,1.570391
0.020000,10.663081,6.824052,0.324912,1.139692,1.999460,-0.000000,1.570378
0.020000,10.663091,6.847245,0.348106,1.179681,1.999460,0.000000,1.570368
