dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.053000,6.500001,0.000200,0.019995,0.999730,49.986504,1.570798
0.020000,11.053000,6.500139,0.000338,0.006927,-0.653401,-82.656573,1.570796
0.020000,11.053000,6.501737,0.001937,0.079914,3.649370,215.138560,1.570793
0.020000,11.053000,6.504135,0.004334,0.119871,1.997872,-82.574903,1.570788
0.020000,11.053000,6.507331,0.007531,0.159829,1.997899,0.001350,1.570781
0.020000,11.053000,6.511327,0.011527,0.199788,1.997935,0.001800,1.570773
0.020000,11.053000,6.516122,0.016321,0.239748,1.997980,0.002251,1.570764
0.020000,11.053000,6.521716,0.021916,0.279708,1.998034,0.002701,1.570752
0.020000,11.053001,6.528110,0.028309,0.319670,1.998097,0.003151,1.570740
0.020000,11.053001,6.535302,0.035502,0.359634,1.998169,0.003601,1.570726
0.020000,11.053002,6.543294,0.043494,0.399599,1.998250,0.004051,1.570711
0.020000,11.053003,6.552086,0.052285,0.439565,1.998340,0.004501,1.570695
0.020000,11.053004,6.561676,0.061876,0.479534,1.998439,0.004951,1.570678
0.020000,11.053005,6.572066,0.072266,0.519505,1.998547,0.005401,1.570660
0.020000,11.053007,6.583256,0.083455,0.559478,1.998664,0.005852,1.570641
0.020000,11.053009,6.595245,0.095444,0.599454,1.998790,0.006302,1.570621
0.020000,11.053011,6.608034,0.108233,0.639433,1.998925,0.006752,1.570601
0.020000,11.053014,6.621622,0.121821,0.679414,1.999069,0.007202,1.570580
0.020000,11.053017,6.636010,0.136209,0.719399,1.999222,0.007652,1.570559
0.020000,11.053021,6.651198,0.151397,0.759386,1.999384,0.008102,1.570538
0.020000,11.053025,6.667185,0.167385,0.799377,1.999555,0.008552,1.570517
0.020000,11.053030,6.683973,0.184172,0.839372,1.999735,0.009002,1.570497
0.020000,11.053036,6.701560,0.201759,0.879371,1.999924,0.009453,1.570477
0.020000,11.053042,6.719948,0.220147,0.919373,2.000122,0.009903,1.570457
0.020000,11.053048,6.739135,0.239335,0.959380,2.000329,0.010353,1.570439
0.020000,11.053056,6.759123,0.259322,0.999391,2.000545,0.010803,1.570421
0.020000,11.053064,6.779911,0.280110,1.039406,2.000771,0.011253,1.570405
0.020000,11.053072,6.801500,0.301699,1.079426,2.001005,0.011703,1.570391
0.020000,11.053081,6.823889,0.324088,1.119451,2.001248,0.012153,1.570378
0.020000,11.053091,6.847078,0.347278,1.159481,2.001500,0.012603,1.570368
0.020000,11.053102,6.871069,0.371268,1.199516,2.001761,0.013054,1.570359
0.020000,11.053113,6.895860,0.396059,1.239557,2.002031,0.013504,1.570354
0.020000,11.053124,6.921252,0.421451,1.269606,1.502453,-24.978888,1.570351
0.020000,11.053135,6.946777,0.446976,1.276245,0.331961,-58.524609,1.570352
0.020000,11.053146,6.971966,0.472166,1.259470,-0.838754,-58.535731,1.570355
0.020000,11.053157,6.996488,0.496688,1.226115,-1.667767,-41.450680,1.570362
0.020000,11.053167,7.020212,0.520411,1.186175,-1.996979,-16.460598,1.570370
0.020000,11.053177,7.043136,0.543336,1.146230,-1.997246,-0.013350,1.570382
0.020000,11.053186,7.065262,0.565462,1.106280,-1.997504,-0.012900,1.570395
0.020000,11.053194,7.086589,0.586788,1.066325,-1.997753,-0.012450,1.570410
0.020000,11.053202,7.107116,0.607315,1.026365,-1.997993,-0.011999,1.570426
0.020000,11.053209,7.126844,0.627043,0.986401,-1.998224,-0.011549,1.570444
0.020000,11.053216,7.145773,0.645972,0.946432,-1.998446,-0.011099,1.570463
0.020000,11.053222,7.163902,0.664101,0.906459,-1.998659,-0.010649,1.570482
0.020000,11.053227,7.181231,0.681431,0.866481,-1.998863,-0.010199,1.570503
0.020000,11.053232,7.197761,0.697961,0.826500,-1.999058,-0.009749,1.570523
0.020000,11.053236,7.213492,0.713691,0.786515,-1.999244,-0.009299,1.570544
0.020000,11.053239,7.228422,0.728622,0.746527,-1.999421,-0.008849,1.570565
0.020000,11.053242,7.242553,0.742752,0.706535,-1.999589,-0.008398,1.570586
0.020000,11.053245,7.255884,0.756083,0.666540,-1.999748,-0.007948,1.570606
0.020000,11.053247,7.268414,0.768614,0.626542,-1.999898,-0.007498,1.570626
0.020000,11.053249,7.280145,0.780345,0.586541,-2.000039,-0.007048,1.570646
0.020000,11.053251,7.291076,0.791276,0.546538,-2.000171,-0.006598,1.570664
0.020000,11.053252,7.301207,0.801406,0.506532,-2.000294,-0.006148,1.570682
0.020000,11.053253,7.310537,0.810737,0.466524,-2.000408,-0.005698,1.570699
0.020000,11.053254,7.319067,0.819267,0.426514,-2.000513,-0.005248,1.570715
0.020000,11.053254,7.326797,0.826997,0.386501,-2.000609,-0.004797,1.570729
0.020000,11.053255,7.333727,0.833927,0.346488,-2.000696,-0.004347,1.570743
0.020000,11.053255,7.339857,0.840056,0.306472,-2.000774,-0.003897,1.570755
0.020000,11.053255,7.345186,0.845385,0.266455,-2.000842,-0.003447,1.570765
0.020000,11.053255,7.349715,0.849914,0.226437,-2.000902,-0.002997,1.570774
0.020000,11.053255,7.353443,0.853642,0.186418,-2.000953,-0.002547,1.570782
0.020000,11.053256,7.356371,0.856570,0.146398,-2.000995,-0.002097,1.570788
0.020000,11.053256,7.358498,0.858698,0.106378,-2.001028,-0.001647,1.570792
0.020000,11.053256,7.359826,0.860025,0.066357,-2.001052,-0.001196,1.570795
0.020000,11.053256,7.360421,0.860620,0.029757,-1.829990,8.553118,1.570796
0.020000,11.053256,7.360552,0.860752,0.006584,-1.158650,33.566985,1.570796
0.020000,11.053256,7.360552,0.860752,0.000000,-0.329191,41.472941,1.570796
