dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.458335,2.246980,0.000200,0.019955,0.997727,49.886364,6.280830
0.020000,2.458184,2.246981,0.000351,0.007574,-0.619029,-80.837833,6.281219
0.020000,2.457881,2.246981,0.000654,0.015152,0.378910,49.896973,6.281996
0.020000,2.457426,2.246981,0.001109,0.022739,0.379332,0.021110,6.283162
0.020000,2.459964,2.246983,0.003647,0.126918,5.208957,241.481216,0.001534
0.020000,2.463195,2.246991,0.006878,0.161533,1.730770,-173.909342,0.003483
0.020000,2.467070,2.247009,0.010752,0.193731,1.609860,-6.045496,0.005828
0.020000,2.471587,2.247042,0.015270,0.225877,1.607336,-0.126181,0.008571
0.020000,2.476746,2.247094,0.020429,0.257941,1.603177,-0.207980,0.011715
0.020000,2.482544,2.247172,0.026228,0.289949,1.600429,-0.137375,0.015265
0.020000,2.488981,2.247283,0.032665,0.321871,1.596062,-0.218382,0.019225
0.020000,2.496053,2.247435,0.039739,0.353710,1.591982,-0.203997,0.023600
0.020000,2.503759,2.247635,0.047448,0.385426,1.585804,-0.308873,0.028394
0.020000,2.512096,2.247894,0.055789,0.417047,1.581043,-0.238036,0.033613
0.020000,2.521061,2.248221,0.064760,0.448543,1.574774,-0.313480,0.039262
0.020000,2.530652,2.248627,0.074359,0.479969,1.571306,-0.173376,0.045348
0.020000,2.540864,2.249123,0.084583,0.511212,1.562148,-0.457932,0.051877
0.020000,2.551695,2.249724,0.095431,0.542399,1.559340,-0.140365,0.058855
0.020000,2.563141,2.250441,0.106900,0.573408,1.550469,-0.443542,0.066289
0.020000,2.575197,2.251289,0.118985,0.604298,1.544519,-0.297512,0.074184
0.020000,2.587860,2.252283,0.131687,0.635074,1.538764,-0.287773,0.082548
0.020000,2.601124,2.253439,0.145002,0.665756,1.534135,-0.231417,0.091387
0.020000,2.614986,2.254775,0.158928,0.696275,1.525956,-0.408969,0.100706
0.020000,2.629439,2.256307,0.173462,0.726707,1.521568,-0.219410,0.110510
0.020000,2.644479,2.258054,0.188603,0.757060,1.517685,-0.194127,0.120805
0.020000,2.660100,2.260036,0.204349,0.787326,1.513278,-0.220361,0.131595
0.020000,2.676297,2.262273,0.220699,0.817499,1.508660,-0.230893,0.142883
0.020000,2.693063,2.264785,0.237653,0.847683,1.509175,0.025729,0.154672
0.020000,2.710393,2.267597,0.255209,0.877804,1.506049,-0.156293,0.166961
0.020000,2.728280,2.270729,0.273368,0.907958,1.507728,0.083942,0.179751
0.020000,2.746718,2.274206,0.292131,0.938156,1.509899,0.108553,0.193038
0.020000,2.765700,2.278052,0.311500,0.968416,1.512994,0.154743,0.206819
0.020000,2.785222,2.282294,0.331477,0.998864,1.522382,0.469410,0.221088
0.020000,2.805276,2.286957,0.352066,1.029429,1.528254,0.293610,0.235835
0.020000,2.825855,2.292068,0.373270,1.060237,1.540430,0.608783,0.251048
0.020000,2.846954,2.297655,0.395097,1.091325,1.554386,0.697836,0.266713
0.020000,2.868567,2.303748,0.417552,1.122762,1.571835,0.872415,0.282813
0.020000,2.890688,2.310375,0.440644,1.154600,1.591902,1.003364,0.299327
0.020000,2.913311,2.317566,0.464382,1.186917,1.615872,1.198516,0.316231
0.020000,2.936430,2.325353,0.488778,1.219759,1.642087,1.310746,0.333496
0.020000,2.960040,2.333766,0.513842,1.253216,1.672869,1.539090,0.351092
0.020000,2.984136,2.342838,0.539589,1.287350,1.706672,1.690146,0.368985
0.020000,3.008713,2.352599,0.566033,1.322215,1.743236,1.828197,0.387136
0.020000,3.033765,2.363083,0.593191,1.357885,1.783532,2.014791,0.405505
0.020000,3.059288,2.374323,0.621079,1.394420,1.826728,2.159817,0.424046
0.020000,3.085278,2.386349,0.649717,1.431864,1.872208,2.273990,0.442714
0.020000,3.111729,2.399196,0.679122,1.470274,1.920501,2.414677,0.461458
0.020000,3.138636,2.412894,0.709316,1.509676,1.970080,2.478950,0.480229
0.020000,3.165996,2.427475,0.740318,1.550110,2.021708,2.581402,0.498973
0.020000,3.193802,2.442969,0.772150,1.591590,2.074015,2.615338,0.517636
0.020000,3.222051,2.459405,0.804832,1.634125,2.126744,2.636431,0.536164
0.020000,3.250737,2.476811,0.838386,1.677717,2.179593,2.642444,0.554504
0.020000,3.279857,2.495214,0.872834,1.722358,2.232050,2.622858,0.572601
0.020000,3.309404,2.514639,0.908194,1.768028,2.283493,2.572175,0.590402
0.020000,3.339375,2.535108,0.944488,1.814702,2.333705,2.510561,0.607857
0.020000,3.369766,2.556643,0.981735,1.862348,2.382287,2.429113,0.624915
0.020000,3.400573,2.579260,1.019954,1.910919,2.428592,2.315247,0.641529
0.020000,3.431794,2.602978,1.059161,1.960389,2.473492,2.245030,0.657652
0.020000,3.463426,2.627809,1.099375,2.010694,2.515219,2.086313,0.673242
0.020000,3.495468,2.653765,1.140611,2.061798,2.555240,2.001053,0.688259
0.020000,3.527921,2.680853,1.182884,2.113654,2.592766,1.876301,0.702663
0.020000,3.560787,2.709081,1.226208,2.166210,2.627794,1.751419,0.716418
0.020000,3.594070,2.738451,1.270597,2.219427,2.660875,1.654045,0.729491
0.020000,3.627775,2.768966,1.316062,2.273273,2.692298,1.571144,0.741849
0.020000,3.661909,2.800622,1.362617,2.327704,2.721536,1.461886,0.753463
0.020000,3.696484,2.833416,1.410270,2.382694,2.749497,1.398070,0.764303
0.020000,3.731380,2.867212,1.458850,2.428957,2.313145,-21.817597,0.774306
0.020000,3.766349,2.901732,1.507986,2.456848,1.394571,-45.928714,0.783390
0.020000,3.801279,2.936812,1.557491,2.475218,0.918484,-23.804359,0.791532
0.020000,3.836191,2.972417,1.607356,2.493282,0.903238,-0.762286,0.798748
0.020000,3.871109,3.008512,1.657578,2.511064,0.889090,-0.707399,0.805053
0.020000,3.906058,3.045065,1.708150,2.528589,0.876256,-0.641718,0.810458
0.020000,3.941062,3.082042,1.759067,2.545888,0.864908,-0.567364,0.814977
0.020000,3.976150,3.119411,1.810327,2.562991,0.855186,-0.486135,0.818618
0.020000,4.011349,3.157140,1.861926,2.579935,0.847195,-0.399549,0.821391
0.020000,4.046688,3.195198,1.913861,2.596755,0.841017,-0.308896,0.823301
0.020000,4.082198,3.233553,1.966131,2.613490,0.836711,-0.215285,0.824352
0.020000,4.117911,3.272176,2.018734,2.630176,0.834317,-0.119688,0.824549
0.020000,4.153860,3.311035,2.071671,2.646853,0.833857,-0.022991,0.823889
0.020000,4.190078,3.350101,2.124943,2.663560,0.835337,0.073963,0.822374
0.020000,4.226600,3.389341,2.178549,2.680335,0.838743,0.170331,0.819997
0.020000,4.263463,3.428725,2.232494,2.697217,0.844116,0.268617,0.816755
0.020000,4.300705,3.468221,2.286778,2.714242,0.851226,0.355529,0.812640
0.020000,4.338299,3.507729,2.341315,2.726853,0.630563,-11.033146,0.807652
0.020000,4.376075,3.547000,2.395806,2.724523,-0.116518,-37.354078,0.801819
0.020000,4.413831,3.585765,2.449920,2.705683,-0.941959,-41.272021,0.795191
0.020000,4.451505,3.623907,2.503530,2.680517,-1.258311,-15.817622,0.787806
0.020000,4.489109,3.661392,2.556627,2.654831,-1.284304,-1.299656,0.779693
0.020000,4.526655,3.698191,2.609199,2.628614,-1.310876,-1.328580,0.770877
0.020000,4.564151,3.734274,2.661236,2.601871,-1.337140,-1.313202,0.761385
0.020000,4.601603,3.769612,2.712728,2.574596,-1.363730,-1.329517,0.751246
0.020000,4.639013,3.804180,2.763664,2.546775,-1.391079,-1.367442,0.740487
0.020000,4.676381,3.837951,2.814031,2.518392,-1.419127,-1.402396,0.729136
0.020000,4.713706,3.870902,2.863820,2.489434,-1.447892,-1.438253,0.717224
0.020000,4.750982,3.903010,2.913017,2.459867,-1.478364,-1.523578,0.704781
0.020000,4.788199,3.934253,2.961611,2.429671,-1.509778,-1.570711,0.691841
0.020000,4.825347,3.964614,3.009587,2.398823,-1.542425,-1.632350,0.678435
0.020000,4.862412,3.994073,3.056933,2.367291,-1.576614,-1.709477,0.664600
0.020000,4.899376,4.022615,3.103634,2.335047,-1.612177,-1.778122,0.650372
0.020000,4.936219,4.050226,3.149676,2.302076,-1.648551,-1.818719,0.635788
0.020000,4.972920,4.076894,3.195042,2.268337,-1.686963,-1.920605,0.620887
0.020000,5.009453,4.102610,3.239719,2.233818,-1.725935,-1.948583,0.605710
0.020000,5.045792,4.127367,3.283689,2.198500,-1.765897,-1.998122,0.590298
0.020000,5.081907,4.151159,3.326936,2.162367,-1.806642,-2.037219,0.574692
0.020000,5.117766,4.173984,3.369444,2.125412,-1.847761,-2.055974,0.558934
0.020000,5.153339,4.195845,3.411197,2.087629,-1.889150,-2.069459,0.543068
0.020000,5.188590,4.216743,3.452177,2.049019,-1.930515,-2.068245,0.527135
0.020000,5.223486,4.236685,3.492369,2.009591,-1.971389,-2.043669,0.511177
0.020000,5.257990,4.255680,3.531756,1.969357,-2.011706,-2.015851,0.495236
0.020000,5.292067,4.273739,3.570323,1.928331,-2.051306,-1.979997,0.479352
0.020000,5.325682,4.290876,3.608054,1.886551,-2.088987,-1.884069,0.463564
0.020000,5.358798,4.307109,3.644935,1.844033,-2.125885,-1.844923,0.447910
0.020000,5.391381,4.322455,3.680951,1.800808,-2.161264,-1.768923,0.432426
