dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.456499,1.466982,0.000200,0.019955,0.997727,49.886364,6.280830
0.020000,2.456650,1.466982,0.000351,0.007574,-0.619029,-80.837833,6.281219
0.020000,2.456953,1.466982,0.000654,0.015152,0.378910,49.896973,6.281996
0.020000,2.457408,1.466981,0.001109,0.022739,0.379332,0.021110,6.283162
0.020000,2.461161,1.466984,0.004862,0.187640,8.245044,393.285595,0.001534
0.020000,2.465912,1.466996,0.009613,0.237560,2.496023,-287.451068,0.003483
0.020000,2.471615,1.467023,0.015316,0.285174,2.380686,-5.766866,0.005828
0.020000,2.478272,1.467071,0.021973,0.332855,2.384058,0.168604,0.008571
0.020000,2.485883,1.467148,0.029585,0.380578,2.386129,0.103556,0.011715
0.020000,2.494451,1.467263,0.038153,0.428405,2.391357,0.261406,0.015265
0.020000,2.503975,1.467428,0.047679,0.476309,2.395227,0.193487,0.019225
0.020000,2.514459,1.467652,0.058166,0.524319,2.400501,0.263704,0.023600
0.020000,2.525903,1.467950,0.069613,0.572391,2.403578,0.153854,0.028394
0.020000,2.538309,1.468334,0.082025,0.620583,2.409590,0.300610,0.033613
0.020000,2.551677,1.468822,0.095402,0.668865,2.414105,0.225739,0.039262
0.020000,2.566011,1.469428,0.109749,0.717334,2.423446,0.467044,0.045348
0.020000,2.581310,1.470173,0.125066,0.765830,2.424803,0.067870,0.051877
0.020000,2.597576,1.471074,0.141357,0.814550,2.436040,0.561841,0.058855
0.020000,2.614808,1.472154,0.158623,0.863318,2.438395,0.117751,0.066289
0.020000,2.633008,1.473434,0.176867,0.912221,2.445140,0.337236,0.074184
0.020000,2.652174,1.474939,0.196093,0.961261,2.451980,0.342014,0.082548
0.020000,2.672307,1.476694,0.216302,1.010462,2.460085,0.405283,0.091387
0.020000,2.693403,1.478727,0.237496,1.059704,2.462065,0.098964,0.100706
0.020000,2.715461,1.481065,0.259678,1.109079,2.468741,0.333818,0.110510
0.020000,2.738478,1.483739,0.282849,1.158575,2.474798,0.302843,0.120805
0.020000,2.762449,1.486780,0.307012,1.208140,2.478261,0.173159,0.131595
0.020000,2.787367,1.490221,0.332166,1.257723,2.479162,0.045031,0.142883
0.020000,2.813226,1.494097,0.358315,1.307428,2.485266,0.305229,0.154672
0.020000,2.840018,1.498443,0.385456,1.357080,2.482573,-0.134688,0.166961
0.020000,2.867731,1.503296,0.413592,1.406751,2.483562,0.049445,0.179751
0.020000,2.896354,1.508693,0.442719,1.456372,2.481030,-0.126584,0.193038
0.020000,2.925872,1.514675,0.472836,1.505873,2.475054,-0.298801,0.206819
0.020000,2.956269,1.521279,0.503943,1.555341,2.473403,-0.082523,0.221088
0.020000,2.987526,1.528547,0.536034,1.604545,2.460231,-0.658642,0.235835
0.020000,3.019622,1.536519,0.569105,1.653550,2.450245,-0.499269,0.251048
0.020000,3.052533,1.545234,0.603150,1.702268,2.435873,-0.718629,0.266713
0.020000,3.086233,1.554734,0.638164,1.750654,2.419290,-0.829145,0.282813
0.020000,3.120692,1.565058,0.674136,1.798628,2.398717,-1.028648,0.299327
0.020000,3.155880,1.576243,0.711059,1.846144,2.375826,-1.144545,0.316231
0.020000,3.191761,1.588328,0.748921,1.893101,2.347819,-1.400335,0.333496
0.020000,3.228300,1.601348,0.787710,1.939465,2.318220,-1.479938,0.351092
0.020000,3.265458,1.615336,0.827413,1.985159,2.284681,-1.676955,0.368985
0.020000,3.303192,1.630324,0.868015,2.030099,2.247028,-1.882667,0.387136
0.020000,3.341461,1.646339,0.909500,2.074242,2.207143,-1.994255,0.405505
0.020000,3.380221,1.663406,0.951851,2.117528,2.164294,-2.142454,0.424046
0.020000,3.419424,1.681547,0.995049,2.159893,2.118263,-2.301529,0.442714
0.020000,3.459027,1.700781,1.039075,2.201308,2.070720,-2.377169,0.461458
0.020000,3.498982,1.721121,1.083909,2.241715,2.020359,-2.518036,0.480229
0.020000,3.539244,1.742577,1.129531,2.281103,1.969425,-2.546705,0.498973
0.020000,3.579767,1.765155,1.175920,2.319444,1.917044,-2.619029,0.517636
0.020000,3.620508,1.788859,1.223055,2.356725,1.864057,-2.649390,0.536164
0.020000,3.661424,1.813685,1.270914,2.392950,1.811221,-2.641797,0.554504
0.020000,3.702476,1.839629,1.319476,2.428129,1.758947,-2.613674,0.572601
0.020000,3.743626,1.866680,1.368722,2.462277,1.707427,-2.576023,0.590402
0.020000,3.784841,1.894827,1.418630,2.495424,1.657317,-2.505481,0.607857
0.020000,3.826088,1.924053,1.469182,2.527601,1.608888,-2.421433,0.624915
0.020000,3.867341,1.954339,1.520359,2.558840,1.561933,-2.347784,0.641529
0.020000,3.908577,1.985663,1.572143,2.589202,1.518116,-2.190831,0.657652
0.020000,3.949775,2.018002,1.624517,2.618710,1.475399,-2.135859,0.673242
0.020000,3.990919,2.051329,1.677466,2.647428,1.435882,-1.975829,0.688259
0.020000,4.031998,2.085616,1.730974,2.675398,1.398497,-1.869260,0.702663
0.020000,4.073004,2.120834,1.785027,2.702660,1.363083,-1.770684,0.716418
0.020000,4.113932,2.156951,1.839612,2.729260,1.330024,-1.652955,0.729491
0.020000,4.154783,2.193933,1.894717,2.755245,1.299220,-1.540213,0.741849
0.020000,4.195560,2.231749,1.950330,2.780634,1.269485,-1.486779,0.753463
0.020000,4.236271,2.270361,2.006439,2.805460,1.241297,-1.409357,0.764303
0.020000,4.276772,2.309585,2.062820,2.819068,0.680386,-28.045553,0.774306
0.020000,4.316784,2.349082,2.119043,2.811135,-0.396622,-53.850427,0.783390
0.020000,4.356195,2.388662,2.174898,2.792769,-0.918333,-26.085537,0.791532
0.020000,4.395048,2.428286,2.230393,2.774707,-0.903105,0.761411,0.798748
0.020000,4.433386,2.467915,2.285531,2.756927,-0.888967,0.706892,0.805053
0.020000,4.471248,2.507515,2.340319,2.739405,-0.876139,0.641372,0.810458
0.020000,4.508676,2.547052,2.394761,2.722109,-0.864800,0.566992,0.814977
0.020000,4.545708,2.586491,2.448862,2.705007,-0.855088,0.485595,0.818618
0.020000,4.582382,2.625801,2.502623,2.688065,-0.847113,0.398758,0.821391
0.020000,4.618735,2.664950,2.556048,2.671245,-0.840956,0.307834,0.823301
0.020000,4.654803,2.703908,2.609138,2.654512,-0.836676,0.213987,0.824352
0.020000,4.690620,2.742643,2.661894,2.637826,-0.834311,0.118239,0.824549
0.020000,4.726219,2.781125,2.714317,2.621148,-0.833881,0.021507,0.823889
0.020000,4.761633,2.819323,2.766406,2.604440,-0.835388,-0.075352,0.822374
0.020000,4.796892,2.857207,2.818160,2.587664,-0.838818,-0.171505,0.819997
0.020000,4.832027,2.894745,2.869575,2.570782,-0.844076,-0.262882,0.816755
0.020000,4.867067,2.931905,2.920650,2.553757,-0.851283,-0.360324,0.812640
0.020000,4.901979,2.968596,2.971297,2.532316,-1.072033,-11.037508,0.807652
0.020000,4.936600,3.004588,3.021237,2.497035,-1.764060,-34.601349,0.801819
0.020000,4.970749,3.039649,3.070181,2.447179,-2.492801,-36.437057,0.795191
0.020000,5.004375,3.073693,3.118031,2.392519,-2.732976,-12.008751,0.787806
0.020000,5.037497,3.106711,3.164799,2.338395,-2.706220,1.337804,0.779693
0.020000,5.070131,3.138697,3.210495,2.284788,-2.680326,1.294696,0.770877
0.020000,5.102292,3.169646,3.255129,2.231709,-2.653976,1.317493,0.761385
0.020000,5.133991,3.199558,3.298712,2.179164,-2.627248,1.336390,0.751246
0.020000,5.165237,3.228430,3.341256,2.127163,-2.600069,1.358935,0.740487
0.020000,5.196037,3.256265,3.382770,2.075723,-2.571999,1.403546,0.729136
0.020000,5.226397,3.283068,3.423267,2.024868,-2.542727,1.463589,0.717224
0.020000,5.256318,3.308842,3.462760,1.974612,-2.512788,1.496956,0.704781
0.020000,5.285805,3.333596,3.501259,1.924985,-2.481344,1.572157,0.691841
0.020000,5.314856,3.357341,3.538780,1.876015,-2.448502,1.642118,0.678435
0.020000,5.343473,3.380086,3.575334,1.827727,-2.414438,1.703207,0.664600
0.020000,5.371652,3.401845,3.610937,1.780146,-2.379024,1.770690,0.650372
0.020000,5.399392,3.422635,3.645603,1.733308,-2.341925,1.854953,0.635788
0.020000,5.426691,3.442472,3.679348,1.687223,-2.304228,1.884837,0.620887
0.020000,5.453543,3.461374,3.712186,1.641922,-2.265047,1.959064,0.605710
0.020000,5.479947,3.479362,3.744135,1.597422,-2.225012,2.001748,0.590298
0.020000,5.505896,3.496458,3.775209,1.553735,-2.184326,2.034307,0.574692
0.020000,5.531387,3.512684,3.805427,1.510873,-2.143103,2.061137,0.558934
0.020000,5.556416,3.528065,3.834804,1.468839,-2.101718,2.069254,0.543068
0.020000,5.580976,3.542626,3.863356,1.427630,-2.060436,2.064089,0.527135
0.020000,5.605065,3.556393,3.891101,1.387242,-2.019422,2.050744,0.511177
0.020000,5.628677,3.569391,3.918054,1.347659,-1.979121,2.015047,0.495236
0.020000,5.651807,3.581649,3.944232,1.308861,-1.939897,1.961160,0.479352
0.020000,5.674450,3.593194,3.969648,1.270834,-1.901391,1.925304,0.463564
0.020000,5.696603,3.604053,3.994319,1.233538,-1.864792,1.829948,0.447910
0.020000,5.718259,3.614253,4.018258,1.196938,-1.829968,1.741233,0.432426
0.020000,5.739415,3.623823,4.041478,1.161002,-1.796822,1.657263,0.417146
0.020000,5.760067,3.632790,4.063992,1.125696,-1.765312,1.575499,0.402102
0.020000,5.780208,3.641181,4.085811,1.090967,-1.736445,1.443387,0.387323
0.020000,5.799835,3.649022,4.106947,1.056776,-1.709521,1.346193,0.372837
0.020000,5.818943,3.656340,4.127408,1.023068,-1.685408,1.205626,0.358670
0.020000,5.837527,3.663161,4.147204,0.989804,-1.663198,1.110535,0.344843
0.020000,5.855582,3.669510,4.166343,0.956951,-1.642666,1.026587,0.331378
0.020000,5.873104,3.675411,4.184832,0.924432,-1.625930,0.836796,0.318293
0.020000,5.890088,3.680888,4.202676,0.892242,-1.609522,0.820379,0.305602
0.020000,5.906528,3.685964,4.219883,0.860310,-1.596599,0.646193,0.293321
0.020000,5.922421,3.690661,4.236455,0.828609,-1.585048,0.577542,0.281461
0.020000,5.937761,3.695002,4.252397,0.797118,-1.574566,0.524099,0.270032
0.020000,5.952543,3.699006,4.267712,0.765747,-1.568542,0.301171,0.259042
0.020000,5.966763,3.702694,4.282403,0.734542,-1.560217,0.416277,0.248497
0.020000,5.980417,3.706085,4.296471,0.703423,-1.555968,0.212416,0.238404
0.020000,5.993499,3.709198,4.309919,0.672378,-1.552278,0.184504,0.228765
0.020000,6.006006,3.712050,4.322747,0.641400,-1.548864,0.170710,0.219583
0.020000,6.017933,3.714657,4.334955,0.610418,-1.549136,-0.013610,0.210860
0.020000,6.029276,3.717036,4.346545,0.579493,-1.546203,0.146663,0.202597
